kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 1, spring 3, Wednesday,610,89.5
switch,lgw,Year 1, spring 3, Wednesday,620,18.0
switch,lgw,Year 1, spring 3, Wednesday,630,18.6
switch,lgw,Year 1, spring 3, Wednesday,640,17.1
switch,lgw,Year 1, spring 3, Wednesday,650,17.8
switch,lgw,Year 1, spring 3, Wednesday,700,18.1
switch,lgw,Year 1, spring 3, Wednesday,710,19.5
switch,lgw,Year 1, spring 3, Wednesday,720,17.3
switch,lgw,Year 1, spring 3, Wednesday,730,17.2
switch,lgw,Year 1, spring 3, Wednesday,740,17.1
switch,lgw,Year 1, spring 3, Wednesday,750,17.0
switch,lgw,Year 1, spring 3, Wednesday,800,20.1
switch,lgw,Year 1, spring 3, Wednesday,810,17.6
switch,lgw,Year 1, spring 3, Wednesday,820,16.5
switch,lgw,Year 1, spring 3, Wednesday,830,17.6
switch,lgw,Year 1, spring 3, Wednesday,840,17.7
switch,lgw,Year 1, spring 3, Wednesday,850,18.6
switch,lgw,Year 1, spring 3, Wednesday,900,18.7
switchdetail,lgw,Year 1, spring 3, Wednesday,600,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,610,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,620,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,630,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,640,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,650,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,700,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,710,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,720,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,730,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,740,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,750,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,800,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,810,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,820,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,830,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,840,0,0.0
switchdetail,lgw,Year 1, spring 3, Wednesday,850,0,0.0
lag,lgw,Year 1, spring 3, Wednesday,2,201.7
lag,lgw,Year 1, spring 3, Wednesday,22,305.5
lag,lgw,Year 1, spring 3, Wednesday,190,112.7
lag,lgw,Year 1, spring 3, Wednesday,923,79.7
lag,lgw,Year 1, spring 3, Wednesday,1015,135.1
lag,lgw,Year 1, spring 3, Wednesday,1174,728.2
lag,lgw,Year 1, spring 3, Wednesday,1204,81.0
lag,lgw,Year 1, spring 3, Wednesday,1461,3769.2
lag,lgw,Year 1, spring 3, Wednesday,1462,97.9
lag,lgw,Year 1, spring 3, Wednesday,2020,91.6
lag,lgw,Year 1, spring 3, Wednesday,2088,89.5
lag,lgw,Year 1, spring 3, Wednesday,2253,103.8
lag,lgw,Year 1, spring 3, Wednesday,4322,68.9
lag,lgw,Year 1, spring 3, Wednesday,4425,86.3
lag,lgw,Year 1, spring 3, Wednesday,4501,53.0
lag,lgw,Year 1, spring 3, Wednesday,4516,86.6
frame,lgw,Year 1, spring 3, Wednesday,5120,21.0
frame,lgw,Year 1, spring 3, Wednesday,5121,21.1
frame,lgw,Year 1, spring 3, Wednesday,5122,21.6
frame,lgw,Year 1, spring 3, Wednesday,5123,0.1
frame,lgw,Year 1, spring 3, Wednesday,5124,21.1
frame,lgw,Year 1, spring 3, Wednesday,5125,21.6
frame,lgw,Year 1, spring 3, Wednesday,5126,21.1
frame,lgw,Year 1, spring 3, Wednesday,5127,0.1
frame,lgw,Year 1, spring 3, Wednesday,5128,20.8
frame,lgw,Year 1, spring 3, Wednesday,5129,21.1
frame,lgw,Year 1, spring 3, Wednesday,5130,21.3
frame,lgw,Year 1, spring 3, Wednesday,5131,21.1
frame,lgw,Year 1, spring 3, Wednesday,5132,0.2
frame,lgw,Year 1, spring 3, Wednesday,5133,22.0
frame,lgw,Year 1, spring 3, Wednesday,5134,21.7
frame,lgw,Year 1, spring 3, Wednesday,5135,21.3
frame,lgw,Year 1, spring 3, Wednesday,5136,0.1
frame,lgw,Year 1, spring 3, Wednesday,5137,21.2
frame,lgw,Year 1, spring 3, Wednesday,5138,21.6
frame,lgw,Year 1, spring 3, Wednesday,5139,20.8
frame,lgw,Year 1, spring 3, Wednesday,5140,20.9
frame,lgw,Year 1, spring 3, Wednesday,5141,0.1
frame,lgw,Year 1, spring 3, Wednesday,5142,21.3
frame,lgw,Year 1, spring 3, Wednesday,5143,21.1
frame,lgw,Year 1, spring 3, Wednesday,5144,21.0
frame,lgw,Year 1, spring 3, Wednesday,5145,21.3
frame,lgw,Year 1, spring 3, Wednesday,5146,0.1
frame,lgw,Year 1, spring 3, Wednesday,5147,21.1
frame,lgw,Year 1, spring 3, Wednesday,5148,21.6
frame,lgw,Year 1, spring 3, Wednesday,5149,22.2
frame,lgw,Year 1, spring 3, Wednesday,5150,0.4
frame,lgw,Year 1, spring 3, Wednesday,5151,22.2
frame,lgw,Year 1, spring 3, Wednesday,5152,22.5
frame,lgw,Year 1, spring 3, Wednesday,5153,21.4
frame,lgw,Year 1, spring 3, Wednesday,5154,0.1
frame,lgw,Year 1, spring 3, Wednesday,5155,21.4
frame,lgw,Year 1, spring 3, Wednesday,5156,21.1
frame,lgw,Year 1, spring 3, Wednesday,5157,21.6
frame,lgw,Year 1, spring 3, Wednesday,5158,0.1
frame,lgw,Year 1, spring 3, Wednesday,5159,21.1
frame,lgw,Year 1, spring 3, Wednesday,5160,21.3
frame,lgw,Year 1, spring 3, Wednesday,5161,21.3
frame,lgw,Year 1, spring 3, Wednesday,5162,22.2
frame,lgw,Year 1, spring 3, Wednesday,5163,0.3
frame,lgw,Year 1, spring 3, Wednesday,5164,21.6
frame,lgw,Year 1, spring 3, Wednesday,5165,22.2
frame,lgw,Year 1, spring 3, Wednesday,5166,21.0
frame,lgw,Year 1, spring 3, Wednesday,5167,0.1
frame,lgw,Year 1, spring 3, Wednesday,5168,21.3
frame,lgw,Year 1, spring 3, Wednesday,5169,21.2
frame,lgw,Year 1, spring 3, Wednesday,5170,22.0
frame,lgw,Year 1, spring 3, Wednesday,5171,21.5
frame,lgw,Year 1, spring 3, Wednesday,5172,0.1
frame,lgw,Year 1, spring 3, Wednesday,5173,21.0
frame,lgw,Year 1, spring 3, Wednesday,5174,21.2
frame,lgw,Year 1, spring 3, Wednesday,5175,21.4
frame,lgw,Year 1, spring 3, Wednesday,5176,0.1
frame,lgw,Year 1, spring 3, Wednesday,5177,21.5
frame,lgw,Year 1, spring 3, Wednesday,5178,24.6
frame,lgw,Year 1, spring 3, Wednesday,5179,21.7
frame,lgw,Year 1, spring 3, Wednesday,5180,0.1
frame,lgw,Year 1, spring 3, Wednesday,5181,21.1
frame,lgw,Year 1, spring 3, Wednesday,5182,21.3
frame,lgw,Year 1, spring 3, Wednesday,5183,21.3
frame,lgw,Year 1, spring 3, Wednesday,5184,21.6
frame,lgw,Year 1, spring 3, Wednesday,5185,0.1
frame,lgw,Year 1, spring 3, Wednesday,5186,21.3
frame,lgw,Year 1, spring 3, Wednesday,5187,21.1
frame,lgw,Year 1, spring 3, Wednesday,5188,21.6
frame,lgw,Year 1, spring 3, Wednesday,5189,0.1
frame,lgw,Year 1, spring 3, Wednesday,5190,21.3
frame,lgw,Year 1, spring 3, Wednesday,5191,21.9
frame,lgw,Year 1, spring 3, Wednesday,5192,21.5
frame,lgw,Year 1, spring 3, Wednesday,5193,0.1
frame,lgw,Year 1, spring 3, Wednesday,5194,21.2
frame,lgw,Year 1, spring 3, Wednesday,5195,21.5
frame,lgw,Year 1, spring 3, Wednesday,5196,21.5
frame,lgw,Year 1, spring 3, Wednesday,5197,22.3
frame,lgw,Year 1, spring 3, Wednesday,5198,0.1
frame,lgw,Year 1, spring 3, Wednesday,5199,20.9
frame,lgw,Year 1, spring 3, Wednesday,5200,21.0
frame,lgw,Year 1, spring 3, Wednesday,5201,21.1
frame,lgw,Year 1, spring 3, Wednesday,5202,21.5
frame,lgw,Year 1, spring 3, Wednesday,5203,0.4
frame,lgw,Year 1, spring 3, Wednesday,5204,21.2
frame,lgw,Year 1, spring 3, Wednesday,5205,21.1
frame,lgw,Year 1, spring 3, Wednesday,5206,21.2
frame,lgw,Year 1, spring 3, Wednesday,5207,0.1
frame,lgw,Year 1, spring 3, Wednesday,5208,21.1
frame,lgw,Year 1, spring 3, Wednesday,5209,21.3
frame,lgw,Year 1, spring 3, Wednesday,5210,21.3
frame,lgw,Year 1, spring 3, Wednesday,5211,22.1
frame,lgw,Year 1, spring 3, Wednesday,5212,0.2
frame,lgw,Year 1, spring 3, Wednesday,5213,21.9
frame,lgw,Year 1, spring 3, Wednesday,5214,21.6
frame,lgw,Year 1, spring 3, Wednesday,5215,21.5
frame,lgw,Year 1, spring 3, Wednesday,5216,0.1
frame,lgw,Year 1, spring 3, Wednesday,5217,21.2
frame,lgw,Year 1, spring 3, Wednesday,5218,21.3
frame,lgw,Year 1, spring 3, Wednesday,5219,21.2
frame,lgw,Year 1, spring 3, Wednesday,5220,0.1
frame,lgw,Year 1, spring 3, Wednesday,5221,22.1
frame,lgw,Year 1, spring 3, Wednesday,5222,21.0
frame,lgw,Year 1, spring 3, Wednesday,5223,21.1
frame,lgw,Year 1, spring 3, Wednesday,5224,21.9
frame,lgw,Year 1, spring 3, Wednesday,5225,0.2
frame,lgw,Year 1, spring 3, Wednesday,5226,21.6
frame,lgw,Year 1, spring 3, Wednesday,5227,21.2
frame,lgw,Year 1, spring 3, Wednesday,5228,20.8
frame,lgw,Year 1, spring 3, Wednesday,5229,0.1
frame,lgw,Year 1, spring 3, Wednesday,5230,21.7
frame,lgw,Year 1, spring 3, Wednesday,5231,21.0
frame,lgw,Year 1, spring 3, Wednesday,5232,21.3
frame,lgw,Year 1, spring 3, Wednesday,5233,21.7
frame,lgw,Year 1, spring 3, Wednesday,5234,0.1
frame,lgw,Year 1, spring 3, Wednesday,5235,21.6
frame,lgw,Year 1, spring 3, Wednesday,5236,21.1
frame,lgw,Year 1, spring 3, Wednesday,5237,21.4
frame,lgw,Year 1, spring 3, Wednesday,5238,0.1
frame,lgw,Year 1, spring 3, Wednesday,5239,21.4
frame,lgw,Year 1, spring 3, Wednesday,5240,21.0
frame,lgw,Year 1, spring 3, Wednesday,5241,21.5
frame,lgw,Year 1, spring 3, Wednesday,5242,22.1
frame,lgw,Year 1, spring 3, Wednesday,5243,0.1
frame,lgw,Year 1, spring 3, Wednesday,5244,21.6
frame,lgw,Year 1, spring 3, Wednesday,5245,21.4
frame,lgw,Year 1, spring 3, Wednesday,5246,21.1
frame,lgw,Year 1, spring 3, Wednesday,5247,0.1
frame,lgw,Year 1, spring 3, Wednesday,5248,21.3
frame,lgw,Year 1, spring 3, Wednesday,5249,21.1
frame,lgw,Year 1, spring 3, Wednesday,5250,20.9
frame,lgw,Year 1, spring 3, Wednesday,5251,21.2
frame,lgw,Year 1, spring 3, Wednesday,5252,0.1
frame,lgw,Year 1, spring 3, Wednesday,5253,21.7
frame,lgw,Year 1, spring 3, Wednesday,5254,21.1
frame,lgw,Year 1, spring 3, Wednesday,5255,21.7
frame,lgw,Year 1, spring 3, Wednesday,5256,21.3
frame,lgw,Year 1, spring 3, Wednesday,5257,0.5
frame,lgw,Year 1, spring 3, Wednesday,5258,21.2
frame,lgw,Year 1, spring 3, Wednesday,5259,21.1
frame,lgw,Year 1, spring 3, Wednesday,5260,21.4
frame,lgw,Year 1, spring 3, Wednesday,5261,0.1
frame,lgw,Year 1, spring 3, Wednesday,5262,22.0
frame,lgw,Year 1, spring 3, Wednesday,5263,21.0
frame,lgw,Year 1, spring 3, Wednesday,5264,21.2
frame,lgw,Year 1, spring 3, Wednesday,5265,21.6
frame,lgw,Year 1, spring 3, Wednesday,5266,0.1
frame,lgw,Year 1, spring 3, Wednesday,5267,22.0
frame,lgw,Year 1, spring 3, Wednesday,5268,21.5
