kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,lgw,Year 1, spring 4, Thursday,2,170.9
lag,lgw,Year 1, spring 4, Thursday,31,334.4
lag,lgw,Year 1, spring 4, Thursday,65,132.8
lag,lgw,Year 1, spring 4, Thursday,3815,68.4
lag,lgw,Year 1, spring 4, Thursday,3864,144.3
lag,lgw,Year 1, spring 4, Thursday,4023,746.3
lag,lgw,Year 1, spring 4, Thursday,4053,114.5
lag,lgw,Year 1, spring 4, Thursday,4150,198.1
lag,lgw,Year 1, spring 4, Thursday,5498,73.7
lag,lgw,Year 1, spring 4, Thursday,5581,3981.4
lag,lgw,Year 1, spring 4, Thursday,5582,110.7
lag,lgw,Year 1, spring 4, Thursday,5585,53.3
lag,lgw,Year 1, spring 4, Thursday,5662,137.5
lag,lgw,Year 1, spring 4, Thursday,5701,51.4
lag,lgw,Year 1, spring 4, Thursday,5846,135.6
lag,lgw,Year 1, spring 4, Thursday,5994,373.4
frame,lgw,Year 1, spring 4, Thursday,5120,21.2
frame,lgw,Year 1, spring 4, Thursday,5121,20.9
frame,lgw,Year 1, spring 4, Thursday,5122,0.1
frame,lgw,Year 1, spring 4, Thursday,5123,21.0
frame,lgw,Year 1, spring 4, Thursday,5124,21.2
frame,lgw,Year 1, spring 4, Thursday,5125,21.3
frame,lgw,Year 1, spring 4, Thursday,5126,21.0
frame,lgw,Year 1, spring 4, Thursday,5127,0.1
frame,lgw,Year 1, spring 4, Thursday,5128,21.0
frame,lgw,Year 1, spring 4, Thursday,5129,21.1
frame,lgw,Year 1, spring 4, Thursday,5130,21.8
frame,lgw,Year 1, spring 4, Thursday,5131,21.1
frame,lgw,Year 1, spring 4, Thursday,5132,0.2
frame,lgw,Year 1, spring 4, Thursday,5133,21.4
frame,lgw,Year 1, spring 4, Thursday,5134,21.0
frame,lgw,Year 1, spring 4, Thursday,5135,20.9
frame,lgw,Year 1, spring 4, Thursday,5136,0.2
frame,lgw,Year 1, spring 4, Thursday,5137,21.5
frame,lgw,Year 1, spring 4, Thursday,5138,20.8
