kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, summer 2, Tuesday,5195,16.6
frame,lgw,Year 1, summer 2, Tuesday,5196,16.6
frame,lgw,Year 1, summer 2, Tuesday,5197,16.7
frame,lgw,Year 1, summer 2, Tuesday,5198,17.2
frame,lgw,Year 1, summer 2, Tuesday,5199,17.8
frame,lgw,Year 1, summer 2, Tuesday,5200,15.0
frame,lgw,Year 1, summer 2, Tuesday,5201,16.7
frame,lgw,Year 1, summer 2, Tuesday,5202,16.9
frame,lgw,Year 1, summer 2, Tuesday,5203,16.5
frame,lgw,Year 1, summer 2, Tuesday,5204,16.7
frame,lgw,Year 1, summer 2, Tuesday,5205,17.0
frame,lgw,Year 1, summer 2, Tuesday,5206,16.3
frame,lgw,Year 1, summer 2, Tuesday,5207,16.6
frame,lgw,Year 1, summer 2, Tuesday,5208,16.7
frame,lgw,Year 1, summer 2, Tuesday,5209,16.6
frame,lgw,Year 1, summer 2, Tuesday,5210,16.8
frame,lgw,Year 1, summer 2, Tuesday,5211,16.6
frame,lgw,Year 1, summer 2, Tuesday,5212,16.7
frame,lgw,Year 1, summer 2, Tuesday,5213,16.7
frame,lgw,Year 1, summer 2, Tuesday,5214,16.7
frame,lgw,Year 1, summer 2, Tuesday,5215,16.7
frame,lgw,Year 1, summer 2, Tuesday,5216,16.5
frame,lgw,Year 1, summer 2, Tuesday,5217,16.7
frame,lgw,Year 1, summer 2, Tuesday,5218,16.7
frame,lgw,Year 1, summer 2, Tuesday,5219,16.6
frame,lgw,Year 1, summer 2, Tuesday,5220,16.7
frame,lgw,Year 1, summer 2, Tuesday,5221,16.7
frame,lgw,Year 1, summer 2, Tuesday,5222,16.6
frame,lgw,Year 1, summer 2, Tuesday,5223,16.7
frame,lgw,Year 1, summer 2, Tuesday,5224,16.7
frame,lgw,Year 1, summer 2, Tuesday,5225,16.7
frame,lgw,Year 1, summer 2, Tuesday,5226,16.9
frame,lgw,Year 1, summer 2, Tuesday,5227,16.4
frame,lgw,Year 1, summer 2, Tuesday,5228,16.7
frame,lgw,Year 1, summer 2, Tuesday,5229,16.6
frame,lgw,Year 1, summer 2, Tuesday,5230,16.7
frame,lgw,Year 1, summer 2, Tuesday,5231,16.6
frame,lgw,Year 1, summer 2, Tuesday,5232,16.7
frame,lgw,Year 1, summer 2, Tuesday,5233,17.3
frame,lgw,Year 1, summer 2, Tuesday,5234,16.1
frame,lgw,Year 1, summer 2, Tuesday,5235,16.7
frame,lgw,Year 1, summer 2, Tuesday,5236,16.7
frame,lgw,Year 1, summer 2, Tuesday,5237,16.7
frame,lgw,Year 1, summer 2, Tuesday,5238,16.7
frame,lgw,Year 1, summer 2, Tuesday,5239,16.7
frame,lgw,Year 1, summer 2, Tuesday,5240,16.8
frame,lgw,Year 1, summer 2, Tuesday,5241,16.6
frame,lgw,Year 1, summer 2, Tuesday,5242,16.6
frame,lgw,Year 1, summer 2, Tuesday,5243,16.7
frame,lgw,Year 1, summer 2, Tuesday,5244,16.7
frame,lgw,Year 1, summer 2, Tuesday,5245,16.8
frame,lgw,Year 1, summer 2, Tuesday,5246,16.7
frame,lgw,Year 1, summer 2, Tuesday,5247,21.0
frame,lgw,Year 1, summer 2, Tuesday,5248,12.6
frame,lgw,Year 1, summer 2, Tuesday,5249,16.3
frame,lgw,Year 1, summer 2, Tuesday,5250,16.7
frame,lgw,Year 1, summer 2, Tuesday,5251,16.6
frame,lgw,Year 1, summer 2, Tuesday,5252,16.7
frame,lgw,Year 1, summer 2, Tuesday,5253,16.6
frame,lgw,Year 1, summer 2, Tuesday,5254,16.8
frame,lgw,Year 1, summer 2, Tuesday,5255,16.6
frame,lgw,Year 1, summer 2, Tuesday,5256,16.7
frame,lgw,Year 1, summer 2, Tuesday,5257,16.6
frame,lgw,Year 1, summer 2, Tuesday,5258,16.7
frame,lgw,Year 1, summer 2, Tuesday,5259,16.6
frame,lgw,Year 1, summer 2, Tuesday,5260,16.7
