kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 2, summer 28, Sunday,610,187.0
switchdetail,lgw,Year 2, summer 28, Sunday,600,442,0.0
lag,lgw,Year 2, summer 28, Sunday,2,168.6
lag,lgw,Year 2, summer 28, Sunday,21,325.2
lag,lgw,Year 2, summer 28, Sunday,65,84.1
lag,lgw,Year 2, summer 28, Sunday,2192,305.5
lag,lgw,Year 2, summer 28, Sunday,2350,875.1
lag,lgw,Year 2, summer 28, Sunday,2433,101.0
lag,lgw,Year 2, summer 28, Sunday,2606,5324.0
lag,lgw,Year 2, summer 28, Sunday,2607,190.4
lag,lgw,Year 2, summer 28, Sunday,2610,54.8
lag,lgw,Year 2, summer 28, Sunday,2796,66.3
lag,lgw,Year 2, summer 28, Sunday,2797,151.5
lag,lgw,Year 2, summer 28, Sunday,3502,249.0
lag,lgw,Year 2, summer 28, Sunday,3787,187.0
lag,lgw,Year 2, summer 28, Sunday,3789,53.4
lag,lgw,Year 2, summer 28, Sunday,4581,63.4
lag,lgw,Year 2, summer 28, Sunday,4893,157.6
frame,lgw,Year 2, summer 28, Sunday,5120,16.7
frame,lgw,Year 2, summer 28, Sunday,5121,17.4
frame,lgw,Year 2, summer 28, Sunday,5122,16.2
frame,lgw,Year 2, summer 28, Sunday,5123,16.5
frame,lgw,Year 2, summer 28, Sunday,5124,16.7
frame,lgw,Year 2, summer 28, Sunday,5125,16.5
frame,lgw,Year 2, summer 28, Sunday,5126,17.2
frame,lgw,Year 2, summer 28, Sunday,5127,16.1
frame,lgw,Year 2, summer 28, Sunday,5128,16.7
frame,lgw,Year 2, summer 28, Sunday,5129,16.9
frame,lgw,Year 2, summer 28, Sunday,5130,18.6
frame,lgw,Year 2, summer 28, Sunday,5131,14.7
frame,lgw,Year 2, summer 28, Sunday,5132,17.7
frame,lgw,Year 2, summer 28, Sunday,5133,15.8
frame,lgw,Year 2, summer 28, Sunday,5134,16.4
frame,lgw,Year 2, summer 28, Sunday,5135,16.7
frame,lgw,Year 2, summer 28, Sunday,5136,17.0
frame,lgw,Year 2, summer 28, Sunday,5137,17.3
frame,lgw,Year 2, summer 28, Sunday,5138,15.8
frame,lgw,Year 2, summer 28, Sunday,5139,16.7
frame,lgw,Year 2, summer 28, Sunday,5140,17.3
frame,lgw,Year 2, summer 28, Sunday,5141,16.1
frame,lgw,Year 2, summer 28, Sunday,5142,16.6
frame,lgw,Year 2, summer 28, Sunday,5143,16.6
frame,lgw,Year 2, summer 28, Sunday,5144,16.8
frame,lgw,Year 2, summer 28, Sunday,5145,16.6
frame,lgw,Year 2, summer 28, Sunday,5146,16.9
frame,lgw,Year 2, summer 28, Sunday,5147,16.5
frame,lgw,Year 2, summer 28, Sunday,5148,16.7
frame,lgw,Year 2, summer 28, Sunday,5149,17.0
frame,lgw,Year 2, summer 28, Sunday,5150,16.4
frame,lgw,Year 2, summer 28, Sunday,5151,19.0
frame,lgw,Year 2, summer 28, Sunday,5152,14.3
frame,lgw,Year 2, summer 28, Sunday,5153,16.7
frame,lgw,Year 2, summer 28, Sunday,5154,16.6
frame,lgw,Year 2, summer 28, Sunday,5155,16.7
frame,lgw,Year 2, summer 28, Sunday,5156,16.6
frame,lgw,Year 2, summer 28, Sunday,5157,16.9
frame,lgw,Year 2, summer 28, Sunday,5158,17.0
frame,lgw,Year 2, summer 28, Sunday,5159,16.3
frame,lgw,Year 2, summer 28, Sunday,5160,16.5
frame,lgw,Year 2, summer 28, Sunday,5161,16.7
frame,lgw,Year 2, summer 28, Sunday,5162,16.9
frame,lgw,Year 2, summer 28, Sunday,5163,16.5
frame,lgw,Year 2, summer 28, Sunday,5164,16.6
frame,lgw,Year 2, summer 28, Sunday,5165,17.7
frame,lgw,Year 2, summer 28, Sunday,5166,15.8
frame,lgw,Year 2, summer 28, Sunday,5167,16.5
frame,lgw,Year 2, summer 28, Sunday,5168,16.7
frame,lgw,Year 2, summer 28, Sunday,5169,16.7
frame,lgw,Year 2, summer 28, Sunday,5170,16.8
frame,lgw,Year 2, summer 28, Sunday,5171,16.7
frame,lgw,Year 2, summer 28, Sunday,5172,18.3
frame,lgw,Year 2, summer 28, Sunday,5173,15.0
frame,lgw,Year 2, summer 28, Sunday,5174,16.6
frame,lgw,Year 2, summer 28, Sunday,5175,16.6
frame,lgw,Year 2, summer 28, Sunday,5176,16.7
frame,lgw,Year 2, summer 28, Sunday,5177,16.7
frame,lgw,Year 2, summer 28, Sunday,5178,16.9
frame,lgw,Year 2, summer 28, Sunday,5179,16.5
frame,lgw,Year 2, summer 28, Sunday,5180,16.6
frame,lgw,Year 2, summer 28, Sunday,5181,16.7
frame,lgw,Year 2, summer 28, Sunday,5182,16.7
frame,lgw,Year 2, summer 28, Sunday,5183,16.7
frame,lgw,Year 2, summer 28, Sunday,5184,16.6
frame,lgw,Year 2, summer 28, Sunday,5185,16.6
