kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,lgw,Year 1, spring 1, Monday,2,3655.0
lag,lgw,Year 1, spring 1, Monday,24,413.7
lag,lgw,Year 1, spring 1, Monday,54,175.1
lag,lgw,Year 1, spring 1, Monday,362,107.5
lag,lgw,Year 1, spring 1, Monday,989,57.3
lag,lgw,Year 1, spring 1, Monday,1085,98.8
lag,lgw,Year 1, spring 1, Monday,5678,117.5
frame,lgw,Year 1, spring 1, Monday,5120,16.6
frame,lgw,Year 1, spring 1, Monday,5121,16.7
frame,lgw,Year 1, spring 1, Monday,5122,16.8
frame,lgw,Year 1, spring 1, Monday,5123,16.5
frame,lgw,Year 1, spring 1, Monday,5124,16.8
frame,lgw,Year 1, spring 1, Monday,5125,16.7
frame,lgw,Year 1, spring 1, Monday,5126,16.5
frame,lgw,Year 1, spring 1, Monday,5127,16.7
frame,lgw,Year 1, spring 1, Monday,5128,16.8
frame,lgw,Year 1, spring 1, Monday,5129,16.6
frame,lgw,Year 1, spring 1, Monday,5130,16.6
frame,lgw,Year 1, spring 1, Monday,5131,17.4
frame,lgw,Year 1, spring 1, Monday,5132,16.0
frame,lgw,Year 1, spring 1, Monday,5133,16.6
frame,lgw,Year 1, spring 1, Monday,5134,16.7
frame,lgw,Year 1, spring 1, Monday,5135,16.6
frame,lgw,Year 1, spring 1, Monday,5136,16.7
frame,lgw,Year 1, spring 1, Monday,5137,16.9
frame,lgw,Year 1, spring 1, Monday,5138,17.0
frame,lgw,Year 1, spring 1, Monday,5139,16.0
frame,lgw,Year 1, spring 1, Monday,5140,16.6
frame,lgw,Year 1, spring 1, Monday,5141,17.0
frame,lgw,Year 1, spring 1, Monday,5142,16.3
frame,lgw,Year 1, spring 1, Monday,5143,16.7
frame,lgw,Year 1, spring 1, Monday,5144,17.0
frame,lgw,Year 1, spring 1, Monday,5145,16.4
frame,lgw,Year 1, spring 1, Monday,5146,16.7
frame,lgw,Year 1, spring 1, Monday,5147,16.6
frame,lgw,Year 1, spring 1, Monday,5148,16.7
frame,lgw,Year 1, spring 1, Monday,5149,16.6
frame,lgw,Year 1, spring 1, Monday,5150,16.7
frame,lgw,Year 1, spring 1, Monday,5151,16.8
frame,lgw,Year 1, spring 1, Monday,5152,16.5
frame,lgw,Year 1, spring 1, Monday,5153,16.6
frame,lgw,Year 1, spring 1, Monday,5154,16.7
frame,lgw,Year 1, spring 1, Monday,5155,16.6
frame,lgw,Year 1, spring 1, Monday,5156,16.8
frame,lgw,Year 1, spring 1, Monday,5157,16.7
frame,lgw,Year 1, spring 1, Monday,5158,16.6
frame,lgw,Year 1, spring 1, Monday,5159,16.6
frame,lgw,Year 1, spring 1, Monday,5160,16.7
frame,lgw,Year 1, spring 1, Monday,5161,16.7
frame,lgw,Year 1, spring 1, Monday,5162,16.7
frame,lgw,Year 1, spring 1, Monday,5163,16.6
frame,lgw,Year 1, spring 1, Monday,5164,16.7
frame,lgw,Year 1, spring 1, Monday,5165,16.8
frame,lgw,Year 1, spring 1, Monday,5166,16.5
frame,lgw,Year 1, spring 1, Monday,5167,16.7
frame,lgw,Year 1, spring 1, Monday,5168,16.6
frame,lgw,Year 1, spring 1, Monday,5169,16.7
frame,lgw,Year 1, spring 1, Monday,5170,16.7
frame,lgw,Year 1, spring 1, Monday,5171,16.6
frame,lgw,Year 1, spring 1, Monday,5172,16.7
frame,lgw,Year 1, spring 1, Monday,5173,16.6
frame,lgw,Year 1, spring 1, Monday,5174,16.6
frame,lgw,Year 1, spring 1, Monday,5175,16.7
frame,lgw,Year 1, spring 1, Monday,5176,16.9
frame,lgw,Year 1, spring 1, Monday,5177,16.5
frame,lgw,Year 1, spring 1, Monday,5178,16.7
frame,lgw,Year 1, spring 1, Monday,5179,16.7
