kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,lgw,Year 1, spring 4, Thursday,2,180.7
lag,lgw,Year 1, spring 4, Thursday,31,268.0
lag,lgw,Year 1, spring 4, Thursday,59,153.2
lag,lgw,Year 1, spring 4, Thursday,723,110.1
lag,lgw,Year 1, spring 4, Thursday,882,559.2
lag,lgw,Year 1, spring 4, Thursday,912,67.7
lag,lgw,Year 1, spring 4, Thursday,1127,3168.2
lag,lgw,Year 1, spring 4, Thursday,1128,99.6
lag,lgw,Year 1, spring 4, Thursday,1200,99.5
lag,lgw,Year 1, spring 4, Thursday,1328,124.4
frame,lgw,Year 1, spring 4, Thursday,1024,16.7
frame,lgw,Year 1, spring 4, Thursday,1025,16.7
frame,lgw,Year 1, spring 4, Thursday,1026,16.7
frame,lgw,Year 1, spring 4, Thursday,1027,16.6
frame,lgw,Year 1, spring 4, Thursday,1028,16.7
frame,lgw,Year 1, spring 4, Thursday,1029,16.9
frame,lgw,Year 1, spring 4, Thursday,1030,16.5
frame,lgw,Year 1, spring 4, Thursday,1031,16.7
frame,lgw,Year 1, spring 4, Thursday,1032,16.7
frame,lgw,Year 1, spring 4, Thursday,1033,16.7
frame,lgw,Year 1, spring 4, Thursday,1034,16.7
frame,lgw,Year 1, spring 4, Thursday,1035,16.7
frame,lgw,Year 1, spring 4, Thursday,1036,16.7
frame,lgw,Year 1, spring 4, Thursday,1037,16.7
frame,lgw,Year 1, spring 4, Thursday,1038,16.7
frame,lgw,Year 1, spring 4, Thursday,1039,16.7
frame,lgw,Year 1, spring 4, Thursday,1040,16.7
frame,lgw,Year 1, spring 4, Thursday,1041,16.7
frame,lgw,Year 1, spring 4, Thursday,1042,16.7
frame,lgw,Year 1, spring 4, Thursday,1043,16.7
frame,lgw,Year 1, spring 4, Thursday,1044,16.6
frame,lgw,Year 1, spring 4, Thursday,1045,16.7
frame,lgw,Year 1, spring 4, Thursday,1046,16.7
frame,lgw,Year 1, spring 4, Thursday,1047,16.6
frame,lgw,Year 1, spring 4, Thursday,1048,16.7
frame,lgw,Year 1, spring 4, Thursday,1049,16.7
frame,lgw,Year 1, spring 4, Thursday,1050,16.8
frame,lgw,Year 1, spring 4, Thursday,1051,16.6
frame,lgw,Year 1, spring 4, Thursday,1052,16.7
frame,lgw,Year 1, spring 4, Thursday,1053,16.8
frame,lgw,Year 1, spring 4, Thursday,1054,16.6
frame,lgw,Year 1, spring 4, Thursday,1055,16.8
frame,lgw,Year 1, spring 4, Thursday,1056,16.5
frame,lgw,Year 1, spring 4, Thursday,1057,16.7
frame,lgw,Year 1, spring 4, Thursday,1058,16.7
frame,lgw,Year 1, spring 4, Thursday,1059,16.6
frame,lgw,Year 1, spring 4, Thursday,1060,16.7
frame,lgw,Year 1, spring 4, Thursday,1061,16.7
frame,lgw,Year 1, spring 4, Thursday,1062,16.7
frame,lgw,Year 1, spring 4, Thursday,1063,16.7
frame,lgw,Year 1, spring 4, Thursday,1064,16.7
frame,lgw,Year 1, spring 4, Thursday,1065,16.6
frame,lgw,Year 1, spring 4, Thursday,1066,16.7
frame,lgw,Year 1, spring 4, Thursday,1067,16.7
frame,lgw,Year 1, spring 4, Thursday,1068,16.7
frame,lgw,Year 1, spring 4, Thursday,1069,16.7
frame,lgw,Year 1, spring 4, Thursday,1070,16.6
frame,lgw,Year 1, spring 4, Thursday,1071,16.7
frame,lgw,Year 1, spring 4, Thursday,1072,16.7
frame,lgw,Year 1, spring 4, Thursday,1073,16.7
frame,lgw,Year 1, spring 4, Thursday,1074,16.7
frame,lgw,Year 1, spring 4, Thursday,1075,16.6
frame,lgw,Year 1, spring 4, Thursday,1076,16.7
frame,lgw,Year 1, spring 4, Thursday,1077,16.7
frame,lgw,Year 1, spring 4, Thursday,1078,16.7
frame,lgw,Year 1, spring 4, Thursday,1079,16.7
frame,lgw,Year 1, spring 4, Thursday,1080,16.7
frame,lgw,Year 1, spring 4, Thursday,1081,16.7
frame,lgw,Year 1, spring 4, Thursday,1082,16.6
frame,lgw,Year 1, spring 4, Thursday,1083,16.7
frame,lgw,Year 1, spring 4, Thursday,1084,16.7
frame,lgw,Year 1, spring 4, Thursday,1085,16.7
frame,lgw,Year 1, spring 4, Thursday,1086,16.7
frame,lgw,Year 1, spring 4, Thursday,1087,16.7
frame,lgw,Year 1, spring 4, Thursday,1088,16.7
frame,lgw,Year 1, spring 4, Thursday,1089,16.8
frame,lgw,Year 1, spring 4, Thursday,1090,16.5
frame,lgw,Year 1, spring 4, Thursday,1091,16.7
frame,lgw,Year 1, spring 4, Thursday,1092,16.7
frame,lgw,Year 1, spring 4, Thursday,1093,16.8
frame,lgw,Year 1, spring 4, Thursday,1094,16.6
frame,lgw,Year 1, spring 4, Thursday,1095,16.6
frame,lgw,Year 1, spring 4, Thursday,1096,16.7
frame,lgw,Year 1, spring 4, Thursday,1097,16.7
frame,lgw,Year 1, spring 4, Thursday,1098,16.7
frame,lgw,Year 1, spring 4, Thursday,1099,16.6
frame,lgw,Year 1, spring 4, Thursday,1100,16.7
frame,lgw,Year 1, spring 4, Thursday,1101,16.7
frame,lgw,Year 1, spring 4, Thursday,1102,16.7
frame,lgw,Year 1, spring 4, Thursday,1103,16.7
frame,lgw,Year 1, spring 4, Thursday,1104,16.7
frame,lgw,Year 1, spring 4, Thursday,1105,16.7
frame,lgw,Year 1, spring 4, Thursday,1106,16.7
frame,lgw,Year 1, spring 4, Thursday,1107,16.6
frame,lgw,Year 1, spring 4, Thursday,1108,16.7
frame,lgw,Year 1, spring 4, Thursday,1109,16.6
frame,lgw,Year 1, spring 4, Thursday,1110,16.7
frame,lgw,Year 1, spring 4, Thursday,1111,16.7
frame,lgw,Year 1, spring 4, Thursday,1112,16.7
frame,lgw,Year 1, spring 4, Thursday,1113,16.6
frame,lgw,Year 1, spring 4, Thursday,1114,16.7
frame,lgw,Year 1, spring 4, Thursday,1115,16.7
frame,lgw,Year 1, spring 4, Thursday,1116,16.7
frame,lgw,Year 1, spring 4, Thursday,1117,16.7
frame,lgw,Year 1, spring 4, Thursday,1118,16.8
frame,lgw,Year 1, spring 4, Thursday,1119,16.5
frame,lgw,Year 1, spring 4, Thursday,1120,16.7
frame,lgw,Year 1, spring 4, Thursday,1121,16.6
frame,lgw,Year 1, spring 4, Thursday,1122,16.7
frame,lgw,Year 1, spring 4, Thursday,1123,16.7
frame,lgw,Year 1, spring 4, Thursday,1124,16.7
frame,lgw,Year 1, spring 4, Thursday,1125,17.8
frame,lgw,Year 1, spring 4, Thursday,1126,500.0
frame,lgw,Year 1, spring 4, Thursday,1127,99.6
frame,lgw,Year 1, spring 4, Thursday,1128,0.2
frame,lgw,Year 1, spring 4, Thursday,1129,0.1
frame,lgw,Year 1, spring 4, Thursday,1130,40.4
frame,lgw,Year 1, spring 4, Thursday,1131,2.7
frame,lgw,Year 1, spring 4, Thursday,1132,0.2
frame,lgw,Year 1, spring 4, Thursday,1133,0.1
frame,lgw,Year 1, spring 4, Thursday,1134,0.1
frame,lgw,Year 1, spring 4, Thursday,1135,0.1
frame,lgw,Year 1, spring 4, Thursday,1136,0.1
frame,lgw,Year 1, spring 4, Thursday,1137,0.1
frame,lgw,Year 1, spring 4, Thursday,1138,0.1
frame,lgw,Year 1, spring 4, Thursday,1139,0.1
frame,lgw,Year 1, spring 4, Thursday,1140,0.1
frame,lgw,Year 1, spring 4, Thursday,1141,3.5
frame,lgw,Year 1, spring 4, Thursday,1142,0.2
frame,lgw,Year 1, spring 4, Thursday,1143,0.1
frame,lgw,Year 1, spring 4, Thursday,1144,0.1
frame,lgw,Year 1, spring 4, Thursday,1145,0.1
frame,lgw,Year 1, spring 4, Thursday,1146,0.1
frame,lgw,Year 1, spring 4, Thursday,1147,0.1
frame,lgw,Year 1, spring 4, Thursday,1148,0.1
frame,lgw,Year 1, spring 4, Thursday,1149,0.1
frame,lgw,Year 1, spring 4, Thursday,1150,0.1
frame,lgw,Year 1, spring 4, Thursday,1151,0.1
frame,lgw,Year 1, spring 4, Thursday,1152,0.1
frame,lgw,Year 1, spring 4, Thursday,1153,0.1
frame,lgw,Year 1, spring 4, Thursday,1154,0.1
frame,lgw,Year 1, spring 4, Thursday,1155,0.1
frame,lgw,Year 1, spring 4, Thursday,1156,1.2
frame,lgw,Year 1, spring 4, Thursday,1157,1.1
frame,lgw,Year 1, spring 4, Thursday,1158,0.2
frame,lgw,Year 1, spring 4, Thursday,1159,0.2
frame,lgw,Year 1, spring 4, Thursday,1160,13.6
