kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 4, Thursday,5201,13.0
frame,lgw,Year 1, spring 4, Thursday,5202,16.7
frame,lgw,Year 1, spring 4, Thursday,5203,16.6
frame,lgw,Year 1, spring 4, Thursday,5204,16.8
frame,lgw,Year 1, spring 4, Thursday,5205,16.4
frame,lgw,Year 1, spring 4, Thursday,5206,16.7
frame,lgw,Year 1, spring 4, Thursday,5207,16.6
frame,lgw,Year 1, spring 4, Thursday,5208,16.7
frame,lgw,Year 1, spring 4, Thursday,5209,20.5
frame,lgw,Year 1, spring 4, Thursday,5210,12.9
frame,lgw,Year 1, spring 4, Thursday,5211,16.8
frame,lgw,Year 1, spring 4, Thursday,5212,16.5
frame,lgw,Year 1, spring 4, Thursday,5213,16.7
frame,lgw,Year 1, spring 4, Thursday,5214,16.6
frame,lgw,Year 1, spring 4, Thursday,5215,16.8
frame,lgw,Year 1, spring 4, Thursday,5216,16.5
frame,lgw,Year 1, spring 4, Thursday,5217,16.7
frame,lgw,Year 1, spring 4, Thursday,5218,16.7
frame,lgw,Year 1, spring 4, Thursday,5219,16.7
frame,lgw,Year 1, spring 4, Thursday,5220,16.6
frame,lgw,Year 1, spring 4, Thursday,5221,16.8
frame,lgw,Year 1, spring 4, Thursday,5222,16.6
frame,lgw,Year 1, spring 4, Thursday,5223,17.3
frame,lgw,Year 1, spring 4, Thursday,5224,16.0
frame,lgw,Year 1, spring 4, Thursday,5225,16.7
frame,lgw,Year 1, spring 4, Thursday,5226,16.8
frame,lgw,Year 1, spring 4, Thursday,5227,16.6
frame,lgw,Year 1, spring 4, Thursday,5228,16.7
frame,lgw,Year 1, spring 4, Thursday,5229,16.8
frame,lgw,Year 1, spring 4, Thursday,5230,16.6
frame,lgw,Year 1, spring 4, Thursday,5231,16.6
frame,lgw,Year 1, spring 4, Thursday,5232,16.7
frame,lgw,Year 1, spring 4, Thursday,5233,16.7
frame,lgw,Year 1, spring 4, Thursday,5234,16.8
frame,lgw,Year 1, spring 4, Thursday,5235,16.6
frame,lgw,Year 1, spring 4, Thursday,5236,16.6
frame,lgw,Year 1, spring 4, Thursday,5237,16.8
frame,lgw,Year 1, spring 4, Thursday,5238,16.5
frame,lgw,Year 1, spring 4, Thursday,5239,16.7
frame,lgw,Year 1, spring 4, Thursday,5240,16.7
frame,lgw,Year 1, spring 4, Thursday,5241,16.7
frame,lgw,Year 1, spring 4, Thursday,5242,17.5
frame,lgw,Year 1, spring 4, Thursday,5243,15.9
frame,lgw,Year 1, spring 4, Thursday,5244,16.7
frame,lgw,Year 1, spring 4, Thursday,5245,16.5
frame,lgw,Year 1, spring 4, Thursday,5246,16.7
frame,lgw,Year 1, spring 4, Thursday,5247,16.6
frame,lgw,Year 1, spring 4, Thursday,5248,16.7
frame,lgw,Year 1, spring 4, Thursday,5249,16.6
frame,lgw,Year 1, spring 4, Thursday,5250,16.7
frame,lgw,Year 1, spring 4, Thursday,5251,16.7
frame,lgw,Year 1, spring 4, Thursday,5252,16.7
frame,lgw,Year 1, spring 4, Thursday,5253,16.9
frame,lgw,Year 1, spring 4, Thursday,5254,16.5
frame,lgw,Year 1, spring 4, Thursday,5255,19.7
frame,lgw,Year 1, spring 4, Thursday,5256,13.6
frame,lgw,Year 1, spring 4, Thursday,5257,17.0
frame,lgw,Year 1, spring 4, Thursday,5258,16.2
frame,lgw,Year 1, spring 4, Thursday,5259,16.9
frame,lgw,Year 1, spring 4, Thursday,5260,16.5
frame,lgw,Year 1, spring 4, Thursday,5261,16.7
frame,lgw,Year 1, spring 4, Thursday,5262,16.6
frame,lgw,Year 1, spring 4, Thursday,5263,16.7
frame,lgw,Year 1, spring 4, Thursday,5264,16.7
frame,lgw,Year 1, spring 4, Thursday,5265,16.6
frame,lgw,Year 1, spring 4, Thursday,5266,16.8
frame,lgw,Year 1, spring 4, Thursday,5267,16.5
frame,lgw,Year 1, spring 4, Thursday,5268,16.8
frame,lgw,Year 1, spring 4, Thursday,5269,16.5
frame,lgw,Year 1, spring 4, Thursday,5270,16.7
frame,lgw,Year 1, spring 4, Thursday,5271,16.6
frame,lgw,Year 1, spring 4, Thursday,5272,17.7
frame,lgw,Year 1, spring 4, Thursday,5273,15.6
frame,lgw,Year 1, spring 4, Thursday,5274,16.8
frame,lgw,Year 1, spring 4, Thursday,5275,16.5
frame,lgw,Year 1, spring 4, Thursday,5276,16.8
frame,lgw,Year 1, spring 4, Thursday,5277,16.7
frame,lgw,Year 1, spring 4, Thursday,5278,16.6
frame,lgw,Year 1, spring 4, Thursday,5279,16.7
frame,lgw,Year 1, spring 4, Thursday,5280,16.8
frame,lgw,Year 1, spring 4, Thursday,5281,16.7
frame,lgw,Year 1, spring 4, Thursday,5282,16.6
frame,lgw,Year 1, spring 4, Thursday,5283,16.7
frame,lgw,Year 1, spring 4, Thursday,5284,16.6
frame,lgw,Year 1, spring 4, Thursday,5285,16.6
frame,lgw,Year 1, spring 4, Thursday,5286,16.6
frame,lgw,Year 1, spring 4, Thursday,5287,16.7
frame,lgw,Year 1, spring 4, Thursday,5288,16.7
frame,lgw,Year 1, spring 4, Thursday,5289,16.7
frame,lgw,Year 1, spring 4, Thursday,5290,16.7
frame,lgw,Year 1, spring 4, Thursday,5291,16.6
frame,lgw,Year 1, spring 4, Thursday,5292,16.6
frame,lgw,Year 1, spring 4, Thursday,5293,16.7
frame,lgw,Year 1, spring 4, Thursday,5294,16.7
frame,lgw,Year 1, spring 4, Thursday,5295,16.6
frame,lgw,Year 1, spring 4, Thursday,5296,16.7
frame,lgw,Year 1, spring 4, Thursday,5297,16.7
frame,lgw,Year 1, spring 4, Thursday,5298,16.8
frame,lgw,Year 1, spring 4, Thursday,5299,16.6
frame,lgw,Year 1, spring 4, Thursday,5300,16.6
frame,lgw,Year 1, spring 4, Thursday,5301,16.7
frame,lgw,Year 1, spring 4, Thursday,5302,16.6
frame,lgw,Year 1, spring 4, Thursday,5303,16.8
frame,lgw,Year 1, spring 4, Thursday,5304,16.6
frame,lgw,Year 1, spring 4, Thursday,5305,16.7
frame,lgw,Year 1, spring 4, Thursday,5306,16.6
frame,lgw,Year 1, spring 4, Thursday,5307,16.6
