kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 1, spring 4, Thursday,610,83.0
switch,lgw,Year 1, spring 4, Thursday,620,20.2
switch,lgw,Year 1, spring 4, Thursday,630,19.2
switch,lgw,Year 1, spring 4, Thursday,640,17.1
switch,lgw,Year 1, spring 4, Thursday,650,20.3
switch,lgw,Year 1, spring 4, Thursday,700,20.1
switchdetail,lgw,Year 1, spring 4, Thursday,600,0,0.0
switchdetail,lgw,Year 1, spring 4, Thursday,610,0,0.0
switchdetail,lgw,Year 1, spring 4, Thursday,620,0,0.0
switchdetail,lgw,Year 1, spring 4, Thursday,630,0,0.0
switchdetail,lgw,Year 1, spring 4, Thursday,640,0,0.0
switchdetail,lgw,Year 1, spring 4, Thursday,650,0,0.0
lag,lgw,Year 1, spring 4, Thursday,2,154.6
lag,lgw,Year 1, spring 4, Thursday,31,347.0
lag,lgw,Year 1, spring 4, Thursday,93,93.0
lag,lgw,Year 1, spring 4, Thursday,1644,55.6
lag,lgw,Year 1, spring 4, Thursday,1645,150.4
lag,lgw,Year 1, spring 4, Thursday,1804,739.4
lag,lgw,Year 1, spring 4, Thursday,1834,59.5
lag,lgw,Year 1, spring 4, Thursday,2100,3916.1
lag,lgw,Year 1, spring 4, Thursday,2101,94.9
lag,lgw,Year 1, spring 4, Thursday,2104,50.1
lag,lgw,Year 1, spring 4, Thursday,2346,59.7
lag,lgw,Year 1, spring 4, Thursday,2347,94.2
lag,lgw,Year 1, spring 4, Thursday,2437,83.0
lag,lgw,Year 1, spring 4, Thursday,2877,54.7
lag,lgw,Year 1, spring 4, Thursday,3691,138.2
lag,lgw,Year 1, spring 4, Thursday,5876,93.3
lag,lgw,Year 1, spring 4, Thursday,5967,88.3
frame,lgw,Year 1, spring 4, Thursday,5120,16.7
frame,lgw,Year 1, spring 4, Thursday,5121,16.8
frame,lgw,Year 1, spring 4, Thursday,5122,16.5
frame,lgw,Year 1, spring 4, Thursday,5123,16.8
frame,lgw,Year 1, spring 4, Thursday,5124,16.6
frame,lgw,Year 1, spring 4, Thursday,5125,16.6
frame,lgw,Year 1, spring 4, Thursday,5126,16.7
frame,lgw,Year 1, spring 4, Thursday,5127,16.8
frame,lgw,Year 1, spring 4, Thursday,5128,16.6
frame,lgw,Year 1, spring 4, Thursday,5129,16.6
frame,lgw,Year 1, spring 4, Thursday,5130,16.7
frame,lgw,Year 1, spring 4, Thursday,5131,16.8
frame,lgw,Year 1, spring 4, Thursday,5132,16.7
frame,lgw,Year 1, spring 4, Thursday,5133,16.6
frame,lgw,Year 1, spring 4, Thursday,5134,16.7
frame,lgw,Year 1, spring 4, Thursday,5135,16.6
frame,lgw,Year 1, spring 4, Thursday,5136,16.7
frame,lgw,Year 1, spring 4, Thursday,5137,16.7
frame,lgw,Year 1, spring 4, Thursday,5138,16.7
frame,lgw,Year 1, spring 4, Thursday,5139,16.8
frame,lgw,Year 1, spring 4, Thursday,5140,16.6
frame,lgw,Year 1, spring 4, Thursday,5141,16.7
frame,lgw,Year 1, spring 4, Thursday,5142,16.6
frame,lgw,Year 1, spring 4, Thursday,5143,16.8
frame,lgw,Year 1, spring 4, Thursday,5144,16.6
frame,lgw,Year 1, spring 4, Thursday,5145,16.7
frame,lgw,Year 1, spring 4, Thursday,5146,16.6
frame,lgw,Year 1, spring 4, Thursday,5147,16.7
frame,lgw,Year 1, spring 4, Thursday,5148,16.7
frame,lgw,Year 1, spring 4, Thursday,5149,16.7
frame,lgw,Year 1, spring 4, Thursday,5150,16.7
frame,lgw,Year 1, spring 4, Thursday,5151,16.8
frame,lgw,Year 1, spring 4, Thursday,5152,16.5
frame,lgw,Year 1, spring 4, Thursday,5153,16.7
frame,lgw,Year 1, spring 4, Thursday,5154,16.6
frame,lgw,Year 1, spring 4, Thursday,5155,16.6
frame,lgw,Year 1, spring 4, Thursday,5156,16.7
frame,lgw,Year 1, spring 4, Thursday,5157,16.7
frame,lgw,Year 1, spring 4, Thursday,5158,16.6
frame,lgw,Year 1, spring 4, Thursday,5159,16.7
frame,lgw,Year 1, spring 4, Thursday,5160,16.7
frame,lgw,Year 1, spring 4, Thursday,5161,16.7
frame,lgw,Year 1, spring 4, Thursday,5162,16.7
frame,lgw,Year 1, spring 4, Thursday,5163,16.8
frame,lgw,Year 1, spring 4, Thursday,5164,16.7
frame,lgw,Year 1, spring 4, Thursday,5165,16.6
frame,lgw,Year 1, spring 4, Thursday,5166,16.6
frame,lgw,Year 1, spring 4, Thursday,5167,16.6
frame,lgw,Year 1, spring 4, Thursday,5168,16.7
frame,lgw,Year 1, spring 4, Thursday,5169,16.7
frame,lgw,Year 1, spring 4, Thursday,5170,16.6
frame,lgw,Year 1, spring 4, Thursday,5171,17.7
frame,lgw,Year 1, spring 4, Thursday,5172,16.2
frame,lgw,Year 1, spring 4, Thursday,5173,16.3
frame,lgw,Year 1, spring 4, Thursday,5174,16.7
frame,lgw,Year 1, spring 4, Thursday,5175,16.6
frame,lgw,Year 1, spring 4, Thursday,5176,16.7
frame,lgw,Year 1, spring 4, Thursday,5177,16.7
frame,lgw,Year 1, spring 4, Thursday,5178,16.5
frame,lgw,Year 1, spring 4, Thursday,5179,16.7
frame,lgw,Year 1, spring 4, Thursday,5180,16.7
frame,lgw,Year 1, spring 4, Thursday,5181,16.7
frame,lgw,Year 1, spring 4, Thursday,5182,16.7
frame,lgw,Year 1, spring 4, Thursday,5183,16.7
frame,lgw,Year 1, spring 4, Thursday,5184,16.7
frame,lgw,Year 1, spring 4, Thursday,5185,16.6
frame,lgw,Year 1, spring 4, Thursday,5186,16.7
frame,lgw,Year 1, spring 4, Thursday,5187,16.6
frame,lgw,Year 1, spring 4, Thursday,5188,16.7
frame,lgw,Year 1, spring 4, Thursday,5189,16.7
frame,lgw,Year 1, spring 4, Thursday,5190,16.6
frame,lgw,Year 1, spring 4, Thursday,5191,16.8
frame,lgw,Year 1, spring 4, Thursday,5192,16.5
frame,lgw,Year 1, spring 4, Thursday,5193,16.7
frame,lgw,Year 1, spring 4, Thursday,5194,16.7
frame,lgw,Year 1, spring 4, Thursday,5195,16.7
frame,lgw,Year 1, spring 4, Thursday,5196,16.6
frame,lgw,Year 1, spring 4, Thursday,5197,16.7
frame,lgw,Year 1, spring 4, Thursday,5198,16.7
frame,lgw,Year 1, spring 4, Thursday,5199,16.7
frame,lgw,Year 1, spring 4, Thursday,5200,16.8
frame,lgw,Year 1, spring 4, Thursday,5201,16.5
frame,lgw,Year 1, spring 4, Thursday,5202,16.7
frame,lgw,Year 1, spring 4, Thursday,5203,16.6
frame,lgw,Year 1, spring 4, Thursday,5204,16.7
frame,lgw,Year 1, spring 4, Thursday,5205,16.7
frame,lgw,Year 1, spring 4, Thursday,5206,16.6
frame,lgw,Year 1, spring 4, Thursday,5207,16.7
frame,lgw,Year 1, spring 4, Thursday,5208,16.7
frame,lgw,Year 1, spring 4, Thursday,5209,16.6
frame,lgw,Year 1, spring 4, Thursday,5210,16.7
frame,lgw,Year 1, spring 4, Thursday,5211,16.8
frame,lgw,Year 1, spring 4, Thursday,5212,16.5
frame,lgw,Year 1, spring 4, Thursday,5213,16.8
frame,lgw,Year 1, spring 4, Thursday,5214,16.6
frame,lgw,Year 1, spring 4, Thursday,5215,16.7
frame,lgw,Year 1, spring 4, Thursday,5216,16.6
frame,lgw,Year 1, spring 4, Thursday,5217,16.7
frame,lgw,Year 1, spring 4, Thursday,5218,16.6
frame,lgw,Year 1, spring 4, Thursday,5219,16.7
frame,lgw,Year 1, spring 4, Thursday,5220,16.7
frame,lgw,Year 1, spring 4, Thursday,5221,16.8
frame,lgw,Year 1, spring 4, Thursday,5222,16.5
frame,lgw,Year 1, spring 4, Thursday,5223,16.6
frame,lgw,Year 1, spring 4, Thursday,5224,16.7
frame,lgw,Year 1, spring 4, Thursday,5225,16.7
frame,lgw,Year 1, spring 4, Thursday,5226,16.7
frame,lgw,Year 1, spring 4, Thursday,5227,16.5
frame,lgw,Year 1, spring 4, Thursday,5228,16.8
frame,lgw,Year 1, spring 4, Thursday,5229,16.6
frame,lgw,Year 1, spring 4, Thursday,5230,16.6
frame,lgw,Year 1, spring 4, Thursday,5231,16.7
frame,lgw,Year 1, spring 4, Thursday,5232,16.7
frame,lgw,Year 1, spring 4, Thursday,5233,16.6
frame,lgw,Year 1, spring 4, Thursday,5234,16.7
frame,lgw,Year 1, spring 4, Thursday,5235,16.7
frame,lgw,Year 1, spring 4, Thursday,5236,16.9
frame,lgw,Year 1, spring 4, Thursday,5237,16.6
frame,lgw,Year 1, spring 4, Thursday,5238,16.5
frame,lgw,Year 1, spring 4, Thursday,5239,16.6
frame,lgw,Year 1, spring 4, Thursday,5240,16.6
frame,lgw,Year 1, spring 4, Thursday,5241,16.8
frame,lgw,Year 1, spring 4, Thursday,5242,16.6
frame,lgw,Year 1, spring 4, Thursday,5243,16.7
frame,lgw,Year 1, spring 4, Thursday,5244,16.6
frame,lgw,Year 1, spring 4, Thursday,5245,16.6
frame,lgw,Year 1, spring 4, Thursday,5246,16.6
frame,lgw,Year 1, spring 4, Thursday,5247,16.7
frame,lgw,Year 1, spring 4, Thursday,5248,16.7
frame,lgw,Year 1, spring 4, Thursday,5249,16.6
frame,lgw,Year 1, spring 4, Thursday,5250,16.7
frame,lgw,Year 1, spring 4, Thursday,5251,16.7
frame,lgw,Year 1, spring 4, Thursday,5252,16.7
frame,lgw,Year 1, spring 4, Thursday,5253,16.6
frame,lgw,Year 1, spring 4, Thursday,5254,16.7
frame,lgw,Year 1, spring 4, Thursday,5255,16.7
frame,lgw,Year 1, spring 4, Thursday,5256,16.7
frame,lgw,Year 1, spring 4, Thursday,5257,16.7
frame,lgw,Year 1, spring 4, Thursday,5258,16.6
frame,lgw,Year 1, spring 4, Thursday,5259,16.6
frame,lgw,Year 1, spring 4, Thursday,5260,16.6
frame,lgw,Year 1, spring 4, Thursday,5261,16.7
frame,lgw,Year 1, spring 4, Thursday,5262,16.7
frame,lgw,Year 1, spring 4, Thursday,5263,16.8
frame,lgw,Year 1, spring 4, Thursday,5264,16.5
frame,lgw,Year 1, spring 4, Thursday,5265,16.7
frame,lgw,Year 1, spring 4, Thursday,5266,16.6
frame,lgw,Year 1, spring 4, Thursday,5267,16.6
frame,lgw,Year 1, spring 4, Thursday,5268,16.7
frame,lgw,Year 1, spring 4, Thursday,5269,16.7
frame,lgw,Year 1, spring 4, Thursday,5270,16.6
frame,lgw,Year 1, spring 4, Thursday,5271,16.7
frame,lgw,Year 1, spring 4, Thursday,5272,16.7
frame,lgw,Year 1, spring 4, Thursday,5273,16.7
frame,lgw,Year 1, spring 4, Thursday,5274,16.7
frame,lgw,Year 1, spring 4, Thursday,5275,16.7
frame,lgw,Year 1, spring 4, Thursday,5276,16.7
frame,lgw,Year 1, spring 4, Thursday,5277,16.6
frame,lgw,Year 1, spring 4, Thursday,5278,16.7
frame,lgw,Year 1, spring 4, Thursday,5279,16.6
frame,lgw,Year 1, spring 4, Thursday,5280,16.7
frame,lgw,Year 1, spring 4, Thursday,5281,16.6
frame,lgw,Year 1, spring 4, Thursday,5282,16.7
frame,lgw,Year 1, spring 4, Thursday,5283,16.6
frame,lgw,Year 1, spring 4, Thursday,5284,16.7
frame,lgw,Year 1, spring 4, Thursday,5285,16.6
frame,lgw,Year 1, spring 4, Thursday,5286,16.7
frame,lgw,Year 1, spring 4, Thursday,5287,17.1
frame,lgw,Year 1, spring 4, Thursday,5288,16.3
frame,lgw,Year 1, spring 4, Thursday,5289,16.7
frame,lgw,Year 1, spring 4, Thursday,5290,16.6
frame,lgw,Year 1, spring 4, Thursday,5291,16.7
frame,lgw,Year 1, spring 4, Thursday,5292,16.8
frame,lgw,Year 1, spring 4, Thursday,5293,16.6
frame,lgw,Year 1, spring 4, Thursday,5294,16.6
frame,lgw,Year 1, spring 4, Thursday,5295,16.7
frame,lgw,Year 1, spring 4, Thursday,5296,16.9
frame,lgw,Year 1, spring 4, Thursday,5297,16.5
frame,lgw,Year 1, spring 4, Thursday,5298,16.7
frame,lgw,Year 1, spring 4, Thursday,5299,16.7
frame,lgw,Year 1, spring 4, Thursday,5300,16.7
frame,lgw,Year 1, spring 4, Thursday,5301,16.6
frame,lgw,Year 1, spring 4, Thursday,5302,16.7
frame,lgw,Year 1, spring 4, Thursday,5303,16.6
frame,lgw,Year 1, spring 4, Thursday,5304,16.7
frame,lgw,Year 1, spring 4, Thursday,5305,16.7
frame,lgw,Year 1, spring 4, Thursday,5306,16.7
frame,lgw,Year 1, spring 4, Thursday,5307,16.7
frame,lgw,Year 1, spring 4, Thursday,5308,16.8
frame,lgw,Year 1, spring 4, Thursday,5309,16.5
frame,lgw,Year 1, spring 4, Thursday,5310,16.7
frame,lgw,Year 1, spring 4, Thursday,5311,16.7
frame,lgw,Year 1, spring 4, Thursday,5312,16.6
frame,lgw,Year 1, spring 4, Thursday,5313,16.7
frame,lgw,Year 1, spring 4, Thursday,5314,16.8
frame,lgw,Year 1, spring 4, Thursday,5315,16.5
frame,lgw,Year 1, spring 4, Thursday,5316,16.7
frame,lgw,Year 1, spring 4, Thursday,5317,16.7
frame,lgw,Year 1, spring 4, Thursday,5318,16.5
frame,lgw,Year 1, spring 4, Thursday,5319,16.7
frame,lgw,Year 1, spring 4, Thursday,5320,17.0
frame,lgw,Year 1, spring 4, Thursday,5321,16.4
frame,lgw,Year 1, spring 4, Thursday,5322,16.6
frame,lgw,Year 1, spring 4, Thursday,5323,17.0
frame,lgw,Year 1, spring 4, Thursday,5324,16.4
frame,lgw,Year 1, spring 4, Thursday,5325,16.6
frame,lgw,Year 1, spring 4, Thursday,5326,16.7
frame,lgw,Year 1, spring 4, Thursday,5327,16.6
frame,lgw,Year 1, spring 4, Thursday,5328,16.8
frame,lgw,Year 1, spring 4, Thursday,5329,16.8
frame,lgw,Year 1, spring 4, Thursday,5330,16.4
frame,lgw,Year 1, spring 4, Thursday,5331,16.7
frame,lgw,Year 1, spring 4, Thursday,5332,16.8
frame,lgw,Year 1, spring 4, Thursday,5333,16.5
frame,lgw,Year 1, spring 4, Thursday,5334,16.7
frame,lgw,Year 1, spring 4, Thursday,5335,16.7
frame,lgw,Year 1, spring 4, Thursday,5336,16.6
frame,lgw,Year 1, spring 4, Thursday,5337,16.7
frame,lgw,Year 1, spring 4, Thursday,5338,16.7
frame,lgw,Year 1, spring 4, Thursday,5339,16.6
frame,lgw,Year 1, spring 4, Thursday,5340,16.7
frame,lgw,Year 1, spring 4, Thursday,5341,16.7
frame,lgw,Year 1, spring 4, Thursday,5342,16.8
frame,lgw,Year 1, spring 4, Thursday,5343,16.6
frame,lgw,Year 1, spring 4, Thursday,5344,16.6
frame,lgw,Year 1, spring 4, Thursday,5345,16.7
frame,lgw,Year 1, spring 4, Thursday,5346,16.7
frame,lgw,Year 1, spring 4, Thursday,5347,16.7
frame,lgw,Year 1, spring 4, Thursday,5348,16.7
frame,lgw,Year 1, spring 4, Thursday,5349,16.7
frame,lgw,Year 1, spring 4, Thursday,5350,16.6
frame,lgw,Year 1, spring 4, Thursday,5351,16.7
frame,lgw,Year 1, spring 4, Thursday,5352,16.9
frame,lgw,Year 1, spring 4, Thursday,5353,16.5
frame,lgw,Year 1, spring 4, Thursday,5354,16.8
frame,lgw,Year 1, spring 4, Thursday,5355,16.6
frame,lgw,Year 1, spring 4, Thursday,5356,16.6
frame,lgw,Year 1, spring 4, Thursday,5357,16.6
frame,lgw,Year 1, spring 4, Thursday,5358,16.7
frame,lgw,Year 1, spring 4, Thursday,5359,16.7
frame,lgw,Year 1, spring 4, Thursday,5360,16.7
frame,lgw,Year 1, spring 4, Thursday,5361,16.8
frame,lgw,Year 1, spring 4, Thursday,5362,16.6
frame,lgw,Year 1, spring 4, Thursday,5363,16.7
frame,lgw,Year 1, spring 4, Thursday,5364,16.7
frame,lgw,Year 1, spring 4, Thursday,5365,16.7
frame,lgw,Year 1, spring 4, Thursday,5366,16.6
frame,lgw,Year 1, spring 4, Thursday,5367,16.8
frame,lgw,Year 1, spring 4, Thursday,5368,16.6
frame,lgw,Year 1, spring 4, Thursday,5369,16.6
frame,lgw,Year 1, spring 4, Thursday,5370,16.7
frame,lgw,Year 1, spring 4, Thursday,5371,16.6
frame,lgw,Year 1, spring 4, Thursday,5372,16.7
frame,lgw,Year 1, spring 4, Thursday,5373,20.5
frame,lgw,Year 1, spring 4, Thursday,5374,12.8
frame,lgw,Year 1, spring 4, Thursday,5375,16.7
frame,lgw,Year 1, spring 4, Thursday,5376,17.4
frame,lgw,Year 1, spring 4, Thursday,5377,16.7
frame,lgw,Year 1, spring 4, Thursday,5378,16.0
frame,lgw,Year 1, spring 4, Thursday,5379,16.8
frame,lgw,Year 1, spring 4, Thursday,5380,16.6
frame,lgw,Year 1, spring 4, Thursday,5381,16.6
frame,lgw,Year 1, spring 4, Thursday,5382,16.8
frame,lgw,Year 1, spring 4, Thursday,5383,16.5
frame,lgw,Year 1, spring 4, Thursday,5384,16.7
frame,lgw,Year 1, spring 4, Thursday,5385,16.8
frame,lgw,Year 1, spring 4, Thursday,5386,16.6
frame,lgw,Year 1, spring 4, Thursday,5387,16.6
frame,lgw,Year 1, spring 4, Thursday,5388,16.7
frame,lgw,Year 1, spring 4, Thursday,5389,16.7
frame,lgw,Year 1, spring 4, Thursday,5390,16.9
frame,lgw,Year 1, spring 4, Thursday,5391,16.4
frame,lgw,Year 1, spring 4, Thursday,5392,16.8
frame,lgw,Year 1, spring 4, Thursday,5393,16.6
frame,lgw,Year 1, spring 4, Thursday,5394,16.6
frame,lgw,Year 1, spring 4, Thursday,5395,16.9
frame,lgw,Year 1, spring 4, Thursday,5396,16.5
frame,lgw,Year 1, spring 4, Thursday,5397,16.6
frame,lgw,Year 1, spring 4, Thursday,5398,16.6
frame,lgw,Year 1, spring 4, Thursday,5399,16.7
frame,lgw,Year 1, spring 4, Thursday,5400,16.6
frame,lgw,Year 1, spring 4, Thursday,5401,16.7
frame,lgw,Year 1, spring 4, Thursday,5402,16.7
frame,lgw,Year 1, spring 4, Thursday,5403,16.7
frame,lgw,Year 1, spring 4, Thursday,5404,16.6
frame,lgw,Year 1, spring 4, Thursday,5405,16.7
frame,lgw,Year 1, spring 4, Thursday,5406,16.9
frame,lgw,Year 1, spring 4, Thursday,5407,16.5
frame,lgw,Year 1, spring 4, Thursday,5408,16.7
frame,lgw,Year 1, spring 4, Thursday,5409,16.4
frame,lgw,Year 1, spring 4, Thursday,5410,16.7
frame,lgw,Year 1, spring 4, Thursday,5411,16.7
frame,lgw,Year 1, spring 4, Thursday,5412,16.8
frame,lgw,Year 1, spring 4, Thursday,5413,16.7
frame,lgw,Year 1, spring 4, Thursday,5414,16.7
frame,lgw,Year 1, spring 4, Thursday,5415,17.5
frame,lgw,Year 1, spring 4, Thursday,5416,16.2
frame,lgw,Year 1, spring 4, Thursday,5417,16.3
frame,lgw,Year 1, spring 4, Thursday,5418,16.6
frame,lgw,Year 1, spring 4, Thursday,5419,17.0
frame,lgw,Year 1, spring 4, Thursday,5420,16.6
frame,lgw,Year 1, spring 4, Thursday,5421,16.5
frame,lgw,Year 1, spring 4, Thursday,5422,16.6
frame,lgw,Year 1, spring 4, Thursday,5423,16.6
