kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 1, spring 4, Thursday,610,83.4
switch,lgw,Year 1, spring 4, Thursday,620,19.2
switch,lgw,Year 1, spring 4, Thursday,630,19.3
switch,lgw,Year 1, spring 4, Thursday,640,18.9
switchdetail,lgw,Year 1, spring 4, Thursday,600,0,0.0
switchdetail,lgw,Year 1, spring 4, Thursday,610,0,0.0
switchdetail,lgw,Year 1, spring 4, Thursday,620,0,0.0
switchdetail,lgw,Year 1, spring 4, Thursday,630,0,0.0
lag,lgw,Year 1, spring 4, Thursday,2,195.8
lag,lgw,Year 1, spring 4, Thursday,28,256.3
lag,lgw,Year 1, spring 4, Thursday,133,141.4
lag,lgw,Year 1, spring 4, Thursday,2169,144.2
lag,lgw,Year 1, spring 4, Thursday,2328,552.7
lag,lgw,Year 1, spring 4, Thursday,2358,101.1
lag,lgw,Year 1, spring 4, Thursday,2511,208.2
lag,lgw,Year 1, spring 4, Thursday,2938,69.2
lag,lgw,Year 1, spring 4, Thursday,3044,3520.8
lag,lgw,Year 1, spring 4, Thursday,3045,120.8
lag,lgw,Year 1, spring 4, Thursday,3205,110.0
lag,lgw,Year 1, spring 4, Thursday,3385,85.6
lag,lgw,Year 1, spring 4, Thursday,3468,83.4
lag,lgw,Year 1, spring 4, Thursday,4735,126.6
frame,lgw,Year 1, spring 4, Thursday,4096,16.6
frame,lgw,Year 1, spring 4, Thursday,4097,16.6
frame,lgw,Year 1, spring 4, Thursday,4098,16.7
frame,lgw,Year 1, spring 4, Thursday,4099,16.6
frame,lgw,Year 1, spring 4, Thursday,4100,16.6
frame,lgw,Year 1, spring 4, Thursday,4101,16.7
frame,lgw,Year 1, spring 4, Thursday,4102,16.7
frame,lgw,Year 1, spring 4, Thursday,4103,16.6
frame,lgw,Year 1, spring 4, Thursday,4104,16.7
frame,lgw,Year 1, spring 4, Thursday,4105,16.8
frame,lgw,Year 1, spring 4, Thursday,4106,16.5
frame,lgw,Year 1, spring 4, Thursday,4107,16.6
frame,lgw,Year 1, spring 4, Thursday,4108,16.7
frame,lgw,Year 1, spring 4, Thursday,4109,16.6
frame,lgw,Year 1, spring 4, Thursday,4110,16.7
frame,lgw,Year 1, spring 4, Thursday,4111,16.7
frame,lgw,Year 1, spring 4, Thursday,4112,16.7
frame,lgw,Year 1, spring 4, Thursday,4113,16.7
frame,lgw,Year 1, spring 4, Thursday,4114,16.7
frame,lgw,Year 1, spring 4, Thursday,4115,16.6
frame,lgw,Year 1, spring 4, Thursday,4116,16.8
frame,lgw,Year 1, spring 4, Thursday,4117,16.7
frame,lgw,Year 1, spring 4, Thursday,4118,16.6
frame,lgw,Year 1, spring 4, Thursday,4119,16.6
frame,lgw,Year 1, spring 4, Thursday,4120,17.0
