kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 1, Monday,5228,20.9
frame,lgw,Year 1, spring 1, Monday,5229,20.9
frame,lgw,Year 1, spring 1, Monday,5230,21.3
frame,lgw,Year 1, spring 1, Monday,5231,20.9
frame,lgw,Year 1, spring 1, Monday,5232,0.1
frame,lgw,Year 1, spring 1, Monday,5233,21.4
frame,lgw,Year 1, spring 1, Monday,5234,21.1
frame,lgw,Year 1, spring 1, Monday,5235,20.9
frame,lgw,Year 1, spring 1, Monday,5236,21.4
frame,lgw,Year 1, spring 1, Monday,5237,0.2
frame,lgw,Year 1, spring 1, Monday,5238,21.5
frame,lgw,Year 1, spring 1, Monday,5239,21.3
frame,lgw,Year 1, spring 1, Monday,5240,20.9
frame,lgw,Year 1, spring 1, Monday,5241,0.1
frame,lgw,Year 1, spring 1, Monday,5242,21.0
frame,lgw,Year 1, spring 1, Monday,5243,21.2
frame,lgw,Year 1, spring 1, Monday,5244,21.6
frame,lgw,Year 1, spring 1, Monday,5245,21.1
frame,lgw,Year 1, spring 1, Monday,5246,0.1
frame,lgw,Year 1, spring 1, Monday,5247,21.2
frame,lgw,Year 1, spring 1, Monday,5248,21.1
frame,lgw,Year 1, spring 1, Monday,5249,21.5
frame,lgw,Year 1, spring 1, Monday,5250,0.1
frame,lgw,Year 1, spring 1, Monday,5251,21.4
frame,lgw,Year 1, spring 1, Monday,5252,21.9
frame,lgw,Year 1, spring 1, Monday,5253,21.1
frame,lgw,Year 1, spring 1, Monday,5254,21.0
frame,lgw,Year 1, spring 1, Monday,5255,0.1
frame,lgw,Year 1, spring 1, Monday,5256,21.1
frame,lgw,Year 1, spring 1, Monday,5257,21.1
frame,lgw,Year 1, spring 1, Monday,5258,20.7
frame,lgw,Year 1, spring 1, Monday,5259,20.8
frame,lgw,Year 1, spring 1, Monday,5260,0.1
frame,lgw,Year 1, spring 1, Monday,5261,21.8
frame,lgw,Year 1, spring 1, Monday,5262,21.0
frame,lgw,Year 1, spring 1, Monday,5263,21.2
frame,lgw,Year 1, spring 1, Monday,5264,0.1
frame,lgw,Year 1, spring 1, Monday,5265,21.3
frame,lgw,Year 1, spring 1, Monday,5266,21.3
frame,lgw,Year 1, spring 1, Monday,5267,21.2
frame,lgw,Year 1, spring 1, Monday,5268,21.7
frame,lgw,Year 1, spring 1, Monday,5269,0.1
frame,lgw,Year 1, spring 1, Monday,5270,21.0
frame,lgw,Year 1, spring 1, Monday,5271,21.7
frame,lgw,Year 1, spring 1, Monday,5272,22.1
frame,lgw,Year 1, spring 1, Monday,5273,0.1
frame,lgw,Year 1, spring 1, Monday,5274,20.9
frame,lgw,Year 1, spring 1, Monday,5275,21.1
frame,lgw,Year 1, spring 1, Monday,5276,20.8
frame,lgw,Year 1, spring 1, Monday,5277,21.3
frame,lgw,Year 1, spring 1, Monday,5278,0.1
frame,lgw,Year 1, spring 1, Monday,5279,21.0
frame,lgw,Year 1, spring 1, Monday,5280,21.1
frame,lgw,Year 1, spring 1, Monday,5281,20.8
frame,lgw,Year 1, spring 1, Monday,5282,20.7
frame,lgw,Year 1, spring 1, Monday,5283,0.1
frame,lgw,Year 1, spring 1, Monday,5284,21.0
frame,lgw,Year 1, spring 1, Monday,5285,21.2
frame,lgw,Year 1, spring 1, Monday,5286,21.0
frame,lgw,Year 1, spring 1, Monday,5287,21.1
frame,lgw,Year 1, spring 1, Monday,5288,0.1
frame,lgw,Year 1, spring 1, Monday,5289,21.0
frame,lgw,Year 1, spring 1, Monday,5290,20.9
frame,lgw,Year 1, spring 1, Monday,5291,20.8
frame,lgw,Year 1, spring 1, Monday,5292,21.4
frame,lgw,Year 1, spring 1, Monday,5293,0.2
frame,lgw,Year 1, spring 1, Monday,5294,21.6
frame,lgw,Year 1, spring 1, Monday,5295,21.0
frame,lgw,Year 1, spring 1, Monday,5296,20.9
frame,lgw,Year 1, spring 1, Monday,5297,0.2
frame,lgw,Year 1, spring 1, Monday,5298,22.4
frame,lgw,Year 1, spring 1, Monday,5299,21.6
frame,lgw,Year 1, spring 1, Monday,5300,21.6
frame,lgw,Year 1, spring 1, Monday,5301,0.1
frame,lgw,Year 1, spring 1, Monday,5302,21.1
frame,lgw,Year 1, spring 1, Monday,5303,21.2
frame,lgw,Year 1, spring 1, Monday,5304,21.9
frame,lgw,Year 1, spring 1, Monday,5305,21.1
frame,lgw,Year 1, spring 1, Monday,5306,0.1
frame,lgw,Year 1, spring 1, Monday,5307,21.1
frame,lgw,Year 1, spring 1, Monday,5308,21.0
frame,lgw,Year 1, spring 1, Monday,5309,21.6
frame,lgw,Year 1, spring 1, Monday,5310,0.1
frame,lgw,Year 1, spring 1, Monday,5311,20.9
frame,lgw,Year 1, spring 1, Monday,5312,21.4
frame,lgw,Year 1, spring 1, Monday,5313,21.1
frame,lgw,Year 1, spring 1, Monday,5314,21.3
frame,lgw,Year 1, spring 1, Monday,5315,0.1
frame,lgw,Year 1, spring 1, Monday,5316,21.3
frame,lgw,Year 1, spring 1, Monday,5317,21.0
frame,lgw,Year 1, spring 1, Monday,5318,21.1
frame,lgw,Year 1, spring 1, Monday,5319,21.2
frame,lgw,Year 1, spring 1, Monday,5320,0.1
frame,lgw,Year 1, spring 1, Monday,5321,21.3
frame,lgw,Year 1, spring 1, Monday,5322,21.4
frame,lgw,Year 1, spring 1, Monday,5323,20.9
frame,lgw,Year 1, spring 1, Monday,5324,0.1
frame,lgw,Year 1, spring 1, Monday,5325,21.0
frame,lgw,Year 1, spring 1, Monday,5326,21.2
frame,lgw,Year 1, spring 1, Monday,5327,20.9
frame,lgw,Year 1, spring 1, Monday,5328,21.4
frame,lgw,Year 1, spring 1, Monday,5329,0.2
frame,lgw,Year 1, spring 1, Monday,5330,21.3
frame,lgw,Year 1, spring 1, Monday,5331,21.2
frame,lgw,Year 1, spring 1, Monday,5332,21.6
frame,lgw,Year 1, spring 1, Monday,5333,21.0
frame,lgw,Year 1, spring 1, Monday,5334,0.1
frame,lgw,Year 1, spring 1, Monday,5335,20.9
frame,lgw,Year 1, spring 1, Monday,5336,21.1
frame,lgw,Year 1, spring 1, Monday,5337,21.2
frame,lgw,Year 1, spring 1, Monday,5338,21.0
frame,lgw,Year 1, spring 1, Monday,5339,0.1
frame,lgw,Year 1, spring 1, Monday,5340,21.3
frame,lgw,Year 1, spring 1, Monday,5341,21.3
frame,lgw,Year 1, spring 1, Monday,5342,21.6
