kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 2, summer 28, Sunday,610,202.1
switch,lgw,Year 2, summer 28, Sunday,620,118.6
switch,lgw,Year 2, summer 28, Sunday,630,127.1
switch,lgw,Year 2, summer 28, Sunday,640,140.5
switchdetail,lgw,Year 2, summer 28, Sunday,600,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,610,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,620,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,630,443,0.0
lag,lgw,Year 2, summer 28, Sunday,2,225.9
lag,lgw,Year 2, summer 28, Sunday,24,324.4
lag,lgw,Year 2, summer 28, Sunday,69,105.4
lag,lgw,Year 2, summer 28, Sunday,1202,855.1
lag,lgw,Year 2, summer 28, Sunday,1300,86.2
lag,lgw,Year 2, summer 28, Sunday,1476,4890.1
lag,lgw,Year 2, summer 28, Sunday,1477,131.3
lag,lgw,Year 2, summer 28, Sunday,1480,58.0
lag,lgw,Year 2, summer 28, Sunday,1658,58.8
lag,lgw,Year 2, summer 28, Sunday,1659,143.6
lag,lgw,Year 2, summer 28, Sunday,2183,75.3
lag,lgw,Year 2, summer 28, Sunday,2539,136.5
lag,lgw,Year 2, summer 28, Sunday,2739,72.6
lag,lgw,Year 2, summer 28, Sunday,2879,82.5
lag,lgw,Year 2, summer 28, Sunday,2962,64.3
lag,lgw,Year 2, summer 28, Sunday,3041,74.5
lag,lgw,Year 2, summer 28, Sunday,3045,202.1
lag,lgw,Year 2, summer 28, Sunday,3919,118.6
lag,lgw,Year 2, summer 28, Sunday,4794,127.1
lag,lgw,Year 2, summer 28, Sunday,5749,140.5
frame,lgw,Year 2, summer 28, Sunday,5120,16.0
frame,lgw,Year 2, summer 28, Sunday,5121,16.7
frame,lgw,Year 2, summer 28, Sunday,5122,16.7
frame,lgw,Year 2, summer 28, Sunday,5123,16.6
frame,lgw,Year 2, summer 28, Sunday,5124,16.6
frame,lgw,Year 2, summer 28, Sunday,5125,16.9
frame,lgw,Year 2, summer 28, Sunday,5126,16.6
frame,lgw,Year 2, summer 28, Sunday,5127,16.5
frame,lgw,Year 2, summer 28, Sunday,5128,16.7
frame,lgw,Year 2, summer 28, Sunday,5129,16.8
frame,lgw,Year 2, summer 28, Sunday,5130,16.8
frame,lgw,Year 2, summer 28, Sunday,5131,16.5
frame,lgw,Year 2, summer 28, Sunday,5132,16.8
frame,lgw,Year 2, summer 28, Sunday,5133,16.6
frame,lgw,Year 2, summer 28, Sunday,5134,16.5
frame,lgw,Year 2, summer 28, Sunday,5135,16.5
frame,lgw,Year 2, summer 28, Sunday,5136,18.4
frame,lgw,Year 2, summer 28, Sunday,5137,15.2
frame,lgw,Year 2, summer 28, Sunday,5138,16.5
frame,lgw,Year 2, summer 28, Sunday,5139,16.7
frame,lgw,Year 2, summer 28, Sunday,5140,16.7
frame,lgw,Year 2, summer 28, Sunday,5141,16.6
frame,lgw,Year 2, summer 28, Sunday,5142,16.8
frame,lgw,Year 2, summer 28, Sunday,5143,17.0
frame,lgw,Year 2, summer 28, Sunday,5144,16.4
frame,lgw,Year 2, summer 28, Sunday,5145,16.3
frame,lgw,Year 2, summer 28, Sunday,5146,16.7
frame,lgw,Year 2, summer 28, Sunday,5147,16.8
frame,lgw,Year 2, summer 28, Sunday,5148,16.7
frame,lgw,Year 2, summer 28, Sunday,5149,16.5
frame,lgw,Year 2, summer 28, Sunday,5150,16.6
frame,lgw,Year 2, summer 28, Sunday,5151,16.7
frame,lgw,Year 2, summer 28, Sunday,5152,16.6
frame,lgw,Year 2, summer 28, Sunday,5153,32.1
frame,lgw,Year 2, summer 28, Sunday,5154,15.7
frame,lgw,Year 2, summer 28, Sunday,5155,6.8
frame,lgw,Year 2, summer 28, Sunday,5156,12.8
frame,lgw,Year 2, summer 28, Sunday,5157,16.3
frame,lgw,Year 2, summer 28, Sunday,5158,16.6
frame,lgw,Year 2, summer 28, Sunday,5159,16.5
frame,lgw,Year 2, summer 28, Sunday,5160,16.8
frame,lgw,Year 2, summer 28, Sunday,5161,16.5
frame,lgw,Year 2, summer 28, Sunday,5162,16.9
frame,lgw,Year 2, summer 28, Sunday,5163,16.5
frame,lgw,Year 2, summer 28, Sunday,5164,16.6
frame,lgw,Year 2, summer 28, Sunday,5165,17.1
frame,lgw,Year 2, summer 28, Sunday,5166,16.5
frame,lgw,Year 2, summer 28, Sunday,5167,16.7
frame,lgw,Year 2, summer 28, Sunday,5168,17.7
frame,lgw,Year 2, summer 28, Sunday,5169,15.5
frame,lgw,Year 2, summer 28, Sunday,5170,16.7
frame,lgw,Year 2, summer 28, Sunday,5171,16.6
frame,lgw,Year 2, summer 28, Sunday,5172,16.7
frame,lgw,Year 2, summer 28, Sunday,5173,16.7
frame,lgw,Year 2, summer 28, Sunday,5174,17.2
frame,lgw,Year 2, summer 28, Sunday,5175,16.1
frame,lgw,Year 2, summer 28, Sunday,5176,16.7
frame,lgw,Year 2, summer 28, Sunday,5177,16.6
frame,lgw,Year 2, summer 28, Sunday,5178,17.3
frame,lgw,Year 2, summer 28, Sunday,5179,16.1
frame,lgw,Year 2, summer 28, Sunday,5180,17.3
frame,lgw,Year 2, summer 28, Sunday,5181,16.8
frame,lgw,Year 2, summer 28, Sunday,5182,16.0
frame,lgw,Year 2, summer 28, Sunday,5183,16.6
frame,lgw,Year 2, summer 28, Sunday,5184,16.7
frame,lgw,Year 2, summer 28, Sunday,5185,16.8
frame,lgw,Year 2, summer 28, Sunday,5186,16.6
