kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,,Year 1, spring 0, Sunday,2,223.3
lag,,Year 1, spring 0, Sunday,31,344.1
lag,,Year 1, spring 0, Sunday,116,175.8
lag,,Year 1, spring 0, Sunday,2839,79.0
lag,,Year 1, spring 0, Sunday,2920,69.7
frame,,Year 1, spring 0, Sunday,5120,20.8
frame,,Year 1, spring 0, Sunday,5121,0.0
frame,,Year 1, spring 0, Sunday,5122,20.5
frame,,Year 1, spring 0, Sunday,5123,21.2
frame,,Year 1, spring 0, Sunday,5124,20.6
frame,,Year 1, spring 0, Sunday,5125,21.3
frame,,Year 1, spring 0, Sunday,5126,0.1
frame,,Year 1, spring 0, Sunday,5127,21.3
frame,,Year 1, spring 0, Sunday,5128,20.7
frame,,Year 1, spring 0, Sunday,5129,20.6
frame,,Year 1, spring 0, Sunday,5130,0.1
frame,,Year 1, spring 0, Sunday,5131,20.5
frame,,Year 1, spring 0, Sunday,5132,20.7
frame,,Year 1, spring 0, Sunday,5133,20.7
frame,,Year 1, spring 0, Sunday,5134,20.6
frame,,Year 1, spring 0, Sunday,5135,20.8
frame,,Year 1, spring 0, Sunday,5136,0.0
frame,,Year 1, spring 0, Sunday,5137,20.8
frame,,Year 1, spring 0, Sunday,5138,20.9
frame,,Year 1, spring 0, Sunday,5139,21.2
frame,,Year 1, spring 0, Sunday,5140,20.8
frame,,Year 1, spring 0, Sunday,5141,0.0
frame,,Year 1, spring 0, Sunday,5142,20.4
frame,,Year 1, spring 0, Sunday,5143,20.8
frame,,Year 1, spring 0, Sunday,5144,20.8
frame,,Year 1, spring 0, Sunday,5145,20.7
frame,,Year 1, spring 0, Sunday,5146,0.0
frame,,Year 1, spring 0, Sunday,5147,20.4
frame,,Year 1, spring 0, Sunday,5148,21.0
frame,,Year 1, spring 0, Sunday,5149,21.8
frame,,Year 1, spring 0, Sunday,5150,21.6
frame,,Year 1, spring 0, Sunday,5151,0.0
frame,,Year 1, spring 0, Sunday,5152,21.5
frame,,Year 1, spring 0, Sunday,5153,20.9
frame,,Year 1, spring 0, Sunday,5154,20.9
frame,,Year 1, spring 0, Sunday,5155,0.0
frame,,Year 1, spring 0, Sunday,5156,20.6
frame,,Year 1, spring 0, Sunday,5157,20.8
frame,,Year 1, spring 0, Sunday,5158,20.5
frame,,Year 1, spring 0, Sunday,5159,20.7
frame,,Year 1, spring 0, Sunday,5160,0.0
frame,,Year 1, spring 0, Sunday,5161,20.4
frame,,Year 1, spring 0, Sunday,5162,21.2
frame,,Year 1, spring 0, Sunday,5163,20.3
frame,,Year 1, spring 0, Sunday,5164,21.6
frame,,Year 1, spring 0, Sunday,5165,0.3
frame,,Year 1, spring 0, Sunday,5166,21.8
frame,,Year 1, spring 0, Sunday,5167,20.7
frame,,Year 1, spring 0, Sunday,5168,20.7
frame,,Year 1, spring 0, Sunday,5169,20.9
frame,,Year 1, spring 0, Sunday,5170,0.0
frame,,Year 1, spring 0, Sunday,5171,20.4
frame,,Year 1, spring 0, Sunday,5172,20.4
frame,,Year 1, spring 0, Sunday,5173,20.6
frame,,Year 1, spring 0, Sunday,5174,20.7
frame,,Year 1, spring 0, Sunday,5175,0.0
frame,,Year 1, spring 0, Sunday,5176,20.4
frame,,Year 1, spring 0, Sunday,5177,20.6
frame,,Year 1, spring 0, Sunday,5178,20.6
frame,,Year 1, spring 0, Sunday,5179,20.4
frame,,Year 1, spring 0, Sunday,5180,20.5
frame,,Year 1, spring 0, Sunday,5181,0.0
frame,,Year 1, spring 0, Sunday,5182,20.3
frame,,Year 1, spring 0, Sunday,5183,21.1
frame,,Year 1, spring 0, Sunday,5184,20.8
frame,,Year 1, spring 0, Sunday,5185,20.6
frame,,Year 1, spring 0, Sunday,5186,0.0
frame,,Year 1, spring 0, Sunday,5187,21.3
frame,,Year 1, spring 0, Sunday,5188,20.4
frame,,Year 1, spring 0, Sunday,5189,20.6
frame,,Year 1, spring 0, Sunday,5190,20.8
frame,,Year 1, spring 0, Sunday,5191,0.0
frame,,Year 1, spring 0, Sunday,5192,20.6
frame,,Year 1, spring 0, Sunday,5193,20.6
frame,,Year 1, spring 0, Sunday,5194,20.8
frame,,Year 1, spring 0, Sunday,5195,21.2
frame,,Year 1, spring 0, Sunday,5196,0.1
frame,,Year 1, spring 0, Sunday,5197,21.3
frame,,Year 1, spring 0, Sunday,5198,20.8
frame,,Year 1, spring 0, Sunday,5199,20.6
frame,,Year 1, spring 0, Sunday,5200,20.3
frame,,Year 1, spring 0, Sunday,5201,0.0
frame,,Year 1, spring 0, Sunday,5202,21.1
frame,,Year 1, spring 0, Sunday,5203,20.8
frame,,Year 1, spring 0, Sunday,5204,20.7
frame,,Year 1, spring 0, Sunday,5205,21.5
frame,,Year 1, spring 0, Sunday,5206,0.0
frame,,Year 1, spring 0, Sunday,5207,20.4
frame,,Year 1, spring 0, Sunday,5208,20.7
frame,,Year 1, spring 0, Sunday,5209,21.0
frame,,Year 1, spring 0, Sunday,5210,20.9
frame,,Year 1, spring 0, Sunday,5211,0.0
frame,,Year 1, spring 0, Sunday,5212,21.1
frame,,Year 1, spring 0, Sunday,5213,20.5
frame,,Year 1, spring 0, Sunday,5214,20.4
frame,,Year 1, spring 0, Sunday,5215,20.8
frame,,Year 1, spring 0, Sunday,5216,0.0
frame,,Year 1, spring 0, Sunday,5217,20.2
frame,,Year 1, spring 0, Sunday,5218,20.4
frame,,Year 1, spring 0, Sunday,5219,20.5
frame,,Year 1, spring 0, Sunday,5220,21.1
frame,,Year 1, spring 0, Sunday,5221,0.0
frame,,Year 1, spring 0, Sunday,5222,20.5
frame,,Year 1, spring 0, Sunday,5223,21.1
frame,,Year 1, spring 0, Sunday,5224,20.5
frame,,Year 1, spring 0, Sunday,5225,21.3
frame,,Year 1, spring 0, Sunday,5226,0.0
frame,,Year 1, spring 0, Sunday,5227,20.8
frame,,Year 1, spring 0, Sunday,5228,20.7
frame,,Year 1, spring 0, Sunday,5229,20.9
frame,,Year 1, spring 0, Sunday,5230,20.4
frame,,Year 1, spring 0, Sunday,5231,0.0
frame,,Year 1, spring 0, Sunday,5232,20.9
frame,,Year 1, spring 0, Sunday,5233,20.5
frame,,Year 1, spring 0, Sunday,5234,20.3
frame,,Year 1, spring 0, Sunday,5235,20.4
frame,,Year 1, spring 0, Sunday,5236,21.4
frame,,Year 1, spring 0, Sunday,5237,0.0
frame,,Year 1, spring 0, Sunday,5238,20.5
frame,,Year 1, spring 0, Sunday,5239,21.6
frame,,Year 1, spring 0, Sunday,5240,20.6
frame,,Year 1, spring 0, Sunday,5241,20.6
frame,,Year 1, spring 0, Sunday,5242,0.0
frame,,Year 1, spring 0, Sunday,5243,20.4
frame,,Year 1, spring 0, Sunday,5244,21.3
frame,,Year 1, spring 0, Sunday,5245,20.5
frame,,Year 1, spring 0, Sunday,5246,20.8
frame,,Year 1, spring 0, Sunday,5247,0.0
frame,,Year 1, spring 0, Sunday,5248,20.7
frame,,Year 1, spring 0, Sunday,5249,20.5
frame,,Year 1, spring 0, Sunday,5250,20.5
frame,,Year 1, spring 0, Sunday,5251,21.0
frame,,Year 1, spring 0, Sunday,5252,0.0
frame,,Year 1, spring 0, Sunday,5253,20.4
frame,,Year 1, spring 0, Sunday,5254,21.2
frame,,Year 1, spring 0, Sunday,5255,21.7
frame,,Year 1, spring 0, Sunday,5256,21.6
frame,,Year 1, spring 0, Sunday,5257,0.1
frame,,Year 1, spring 0, Sunday,5258,20.8
frame,,Year 1, spring 0, Sunday,5259,20.7
frame,,Year 1, spring 0, Sunday,5260,20.7
frame,,Year 1, spring 0, Sunday,5261,0.0
frame,,Year 1, spring 0, Sunday,5262,20.7
frame,,Year 1, spring 0, Sunday,5263,21.2
frame,,Year 1, spring 0, Sunday,5264,20.8
frame,,Year 1, spring 0, Sunday,5265,20.7
frame,,Year 1, spring 0, Sunday,5266,0.0
