kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 1, spring 10, Wednesday,610,78.8
switchdetail,lgw,Year 1, spring 10, Wednesday,600,0,0.0
lag,lgw,Year 1, spring 10, Wednesday,2,221.9
lag,lgw,Year 1, spring 10, Wednesday,30,290.0
lag,lgw,Year 1, spring 10, Wednesday,59,76.6
lag,lgw,Year 1, spring 10, Wednesday,109,147.6
lag,lgw,Year 1, spring 10, Wednesday,4407,167.0
lag,lgw,Year 1, spring 10, Wednesday,4566,597.8
lag,lgw,Year 1, spring 10, Wednesday,4596,122.5
lag,lgw,Year 1, spring 10, Wednesday,4941,3890.7
lag,lgw,Year 1, spring 10, Wednesday,4942,171.6
lag,lgw,Year 1, spring 10, Wednesday,4945,89.6
lag,lgw,Year 1, spring 10, Wednesday,5216,56.3
lag,lgw,Year 1, spring 10, Wednesday,5217,94.2
lag,lgw,Year 1, spring 10, Wednesday,5305,78.8
frame,lgw,Year 1, spring 10, Wednesday,5120,17.1
frame,lgw,Year 1, spring 10, Wednesday,5121,16.3
frame,lgw,Year 1, spring 10, Wednesday,5122,16.7
frame,lgw,Year 1, spring 10, Wednesday,5123,16.6
frame,lgw,Year 1, spring 10, Wednesday,5124,17.2
frame,lgw,Year 1, spring 10, Wednesday,5125,16.2
frame,lgw,Year 1, spring 10, Wednesday,5126,16.6
frame,lgw,Year 1, spring 10, Wednesday,5127,17.1
frame,lgw,Year 1, spring 10, Wednesday,5128,16.4
frame,lgw,Year 1, spring 10, Wednesday,5129,16.7
frame,lgw,Year 1, spring 10, Wednesday,5130,16.6
frame,lgw,Year 1, spring 10, Wednesday,5131,16.7
frame,lgw,Year 1, spring 10, Wednesday,5132,16.7
frame,lgw,Year 1, spring 10, Wednesday,5133,16.7
frame,lgw,Year 1, spring 10, Wednesday,5134,16.7
frame,lgw,Year 1, spring 10, Wednesday,5135,16.7
frame,lgw,Year 1, spring 10, Wednesday,5136,16.7
frame,lgw,Year 1, spring 10, Wednesday,5137,16.7
frame,lgw,Year 1, spring 10, Wednesday,5138,16.7
frame,lgw,Year 1, spring 10, Wednesday,5139,16.7
frame,lgw,Year 1, spring 10, Wednesday,5140,16.6
frame,lgw,Year 1, spring 10, Wednesday,5141,16.7
frame,lgw,Year 1, spring 10, Wednesday,5142,16.6
frame,lgw,Year 1, spring 10, Wednesday,5143,16.7
frame,lgw,Year 1, spring 10, Wednesday,5144,16.7
frame,lgw,Year 1, spring 10, Wednesday,5145,16.6
frame,lgw,Year 1, spring 10, Wednesday,5146,16.7
frame,lgw,Year 1, spring 10, Wednesday,5147,16.8
frame,lgw,Year 1, spring 10, Wednesday,5148,16.5
frame,lgw,Year 1, spring 10, Wednesday,5149,16.7
frame,lgw,Year 1, spring 10, Wednesday,5150,16.9
frame,lgw,Year 1, spring 10, Wednesday,5151,16.4
frame,lgw,Year 1, spring 10, Wednesday,5152,16.7
frame,lgw,Year 1, spring 10, Wednesday,5153,17.5
frame,lgw,Year 1, spring 10, Wednesday,5154,15.9
frame,lgw,Year 1, spring 10, Wednesday,5155,16.6
frame,lgw,Year 1, spring 10, Wednesday,5156,16.6
frame,lgw,Year 1, spring 10, Wednesday,5157,16.7
frame,lgw,Year 1, spring 10, Wednesday,5158,16.7
frame,lgw,Year 1, spring 10, Wednesday,5159,17.9
frame,lgw,Year 1, spring 10, Wednesday,5160,15.4
frame,lgw,Year 1, spring 10, Wednesday,5161,16.7
frame,lgw,Year 1, spring 10, Wednesday,5162,16.7
frame,lgw,Year 1, spring 10, Wednesday,5163,17.4
frame,lgw,Year 1, spring 10, Wednesday,5164,17.1
frame,lgw,Year 1, spring 10, Wednesday,5165,15.6
frame,lgw,Year 1, spring 10, Wednesday,5166,16.6
frame,lgw,Year 1, spring 10, Wednesday,5167,16.8
frame,lgw,Year 1, spring 10, Wednesday,5168,16.7
frame,lgw,Year 1, spring 10, Wednesday,5169,16.5
frame,lgw,Year 1, spring 10, Wednesday,5170,16.7
frame,lgw,Year 1, spring 10, Wednesday,5171,16.7
frame,lgw,Year 1, spring 10, Wednesday,5172,17.2
frame,lgw,Year 1, spring 10, Wednesday,5173,16.1
frame,lgw,Year 1, spring 10, Wednesday,5174,16.8
frame,lgw,Year 1, spring 10, Wednesday,5175,16.9
frame,lgw,Year 1, spring 10, Wednesday,5176,16.4
frame,lgw,Year 1, spring 10, Wednesday,5177,16.6
frame,lgw,Year 1, spring 10, Wednesday,5178,21.1
frame,lgw,Year 1, spring 10, Wednesday,5179,12.4
frame,lgw,Year 1, spring 10, Wednesday,5180,16.4
frame,lgw,Year 1, spring 10, Wednesday,5181,16.7
frame,lgw,Year 1, spring 10, Wednesday,5182,16.7
frame,lgw,Year 1, spring 10, Wednesday,5183,16.6
frame,lgw,Year 1, spring 10, Wednesday,5184,16.6
frame,lgw,Year 1, spring 10, Wednesday,5185,16.7
frame,lgw,Year 1, spring 10, Wednesday,5186,16.7
frame,lgw,Year 1, spring 10, Wednesday,5187,16.6
frame,lgw,Year 1, spring 10, Wednesday,5188,16.7
frame,lgw,Year 1, spring 10, Wednesday,5189,16.7
frame,lgw,Year 1, spring 10, Wednesday,5190,16.6
frame,lgw,Year 1, spring 10, Wednesday,5191,16.7
frame,lgw,Year 1, spring 10, Wednesday,5192,16.7
frame,lgw,Year 1, spring 10, Wednesday,5193,16.7
frame,lgw,Year 1, spring 10, Wednesday,5194,16.6
frame,lgw,Year 1, spring 10, Wednesday,5195,16.7
frame,lgw,Year 1, spring 10, Wednesday,5196,16.7
frame,lgw,Year 1, spring 10, Wednesday,5197,16.7
frame,lgw,Year 1, spring 10, Wednesday,5198,17.0
frame,lgw,Year 1, spring 10, Wednesday,5199,16.6
frame,lgw,Year 1, spring 10, Wednesday,5200,17.7
frame,lgw,Year 1, spring 10, Wednesday,5201,15.5
frame,lgw,Year 1, spring 10, Wednesday,5202,16.6
frame,lgw,Year 1, spring 10, Wednesday,5203,16.7
frame,lgw,Year 1, spring 10, Wednesday,5204,16.7
frame,lgw,Year 1, spring 10, Wednesday,5205,16.6
frame,lgw,Year 1, spring 10, Wednesday,5206,16.8
frame,lgw,Year 1, spring 10, Wednesday,5207,16.6
frame,lgw,Year 1, spring 10, Wednesday,5208,16.7
frame,lgw,Year 1, spring 10, Wednesday,5209,16.9
frame,lgw,Year 1, spring 10, Wednesday,5210,16.4
frame,lgw,Year 1, spring 10, Wednesday,5211,16.7
frame,lgw,Year 1, spring 10, Wednesday,5212,18.9
frame,lgw,Year 1, spring 10, Wednesday,5213,14.4
frame,lgw,Year 1, spring 10, Wednesday,5214,16.7
frame,lgw,Year 1, spring 10, Wednesday,5215,56.3
frame,lgw,Year 1, spring 10, Wednesday,5216,94.2
frame,lgw,Year 1, spring 10, Wednesday,5217,1.0
frame,lgw,Year 1, spring 10, Wednesday,5218,0.3
frame,lgw,Year 1, spring 10, Wednesday,5219,0.2
frame,lgw,Year 1, spring 10, Wednesday,5220,0.2
frame,lgw,Year 1, spring 10, Wednesday,5221,0.3
frame,lgw,Year 1, spring 10, Wednesday,5222,1.5
frame,lgw,Year 1, spring 10, Wednesday,5223,0.2
frame,lgw,Year 1, spring 10, Wednesday,5224,12.5
frame,lgw,Year 1, spring 10, Wednesday,5225,16.7
frame,lgw,Year 1, spring 10, Wednesday,5226,16.6
frame,lgw,Year 1, spring 10, Wednesday,5227,16.8
frame,lgw,Year 1, spring 10, Wednesday,5228,16.6
frame,lgw,Year 1, spring 10, Wednesday,5229,16.7
frame,lgw,Year 1, spring 10, Wednesday,5230,16.6
