kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,,Year 1, spring 0, Sunday,2,729.9
lag,,Year 1, spring 0, Sunday,7,60.0
lag,,Year 1, spring 0, Sunday,31,316.2
lag,,Year 1, spring 0, Sunday,84,154.3
lag,,Year 1, spring 0, Sunday,145,61.2
lag,,Year 1, spring 0, Sunday,149,176.3
lag,,Year 1, spring 0, Sunday,891,88.5
frame,,Year 1, spring 0, Sunday,5120,20.5
frame,,Year 1, spring 0, Sunday,5121,20.8
frame,,Year 1, spring 0, Sunday,5122,20.7
frame,,Year 1, spring 0, Sunday,5123,20.5
frame,,Year 1, spring 0, Sunday,5124,0.0
frame,,Year 1, spring 0, Sunday,5125,20.6
frame,,Year 1, spring 0, Sunday,5126,21.3
frame,,Year 1, spring 0, Sunday,5127,20.6
frame,,Year 1, spring 0, Sunday,5128,21.3
frame,,Year 1, spring 0, Sunday,5129,0.1
frame,,Year 1, spring 0, Sunday,5130,20.8
frame,,Year 1, spring 0, Sunday,5131,21.7
frame,,Year 1, spring 0, Sunday,5132,20.9
frame,,Year 1, spring 0, Sunday,5133,20.7
frame,,Year 1, spring 0, Sunday,5134,0.0
frame,,Year 1, spring 0, Sunday,5135,20.5
frame,,Year 1, spring 0, Sunday,5136,20.5
frame,,Year 1, spring 0, Sunday,5137,20.7
frame,,Year 1, spring 0, Sunday,5138,21.0
frame,,Year 1, spring 0, Sunday,5139,0.1
frame,,Year 1, spring 0, Sunday,5140,20.4
frame,,Year 1, spring 0, Sunday,5141,20.8
frame,,Year 1, spring 0, Sunday,5142,20.6
frame,,Year 1, spring 0, Sunday,5143,20.5
frame,,Year 1, spring 0, Sunday,5144,0.2
frame,,Year 1, spring 0, Sunday,5145,21.3
frame,,Year 1, spring 0, Sunday,5146,21.4
frame,,Year 1, spring 0, Sunday,5147,20.5
frame,,Year 1, spring 0, Sunday,5148,20.4
frame,,Year 1, spring 0, Sunday,5149,0.0
frame,,Year 1, spring 0, Sunday,5150,20.6
frame,,Year 1, spring 0, Sunday,5151,20.8
frame,,Year 1, spring 0, Sunday,5152,20.8
frame,,Year 1, spring 0, Sunday,5153,20.7
frame,,Year 1, spring 0, Sunday,5154,0.0
frame,,Year 1, spring 0, Sunday,5155,20.5
frame,,Year 1, spring 0, Sunday,5156,21.8
frame,,Year 1, spring 0, Sunday,5157,20.8
frame,,Year 1, spring 0, Sunday,5158,20.9
frame,,Year 1, spring 0, Sunday,5159,0.1
frame,,Year 1, spring 0, Sunday,5160,20.4
frame,,Year 1, spring 0, Sunday,5161,20.5
frame,,Year 1, spring 0, Sunday,5162,20.4
frame,,Year 1, spring 0, Sunday,5163,20.8
frame,,Year 1, spring 0, Sunday,5164,0.0
frame,,Year 1, spring 0, Sunday,5165,20.7
frame,,Year 1, spring 0, Sunday,5166,20.8
frame,,Year 1, spring 0, Sunday,5167,21.1
frame,,Year 1, spring 0, Sunday,5168,20.7
frame,,Year 1, spring 0, Sunday,5169,0.0
frame,,Year 1, spring 0, Sunday,5170,20.6
frame,,Year 1, spring 0, Sunday,5171,21.4
frame,,Year 1, spring 0, Sunday,5172,20.9
frame,,Year 1, spring 0, Sunday,5173,21.3
frame,,Year 1, spring 0, Sunday,5174,0.0
frame,,Year 1, spring 0, Sunday,5175,21.1
frame,,Year 1, spring 0, Sunday,5176,20.8
frame,,Year 1, spring 0, Sunday,5177,20.6
frame,,Year 1, spring 0, Sunday,5178,20.8
frame,,Year 1, spring 0, Sunday,5179,0.0
frame,,Year 1, spring 0, Sunday,5180,20.4
frame,,Year 1, spring 0, Sunday,5181,20.8
frame,,Year 1, spring 0, Sunday,5182,21.1
frame,,Year 1, spring 0, Sunday,5183,20.5
frame,,Year 1, spring 0, Sunday,5184,0.0
frame,,Year 1, spring 0, Sunday,5185,20.7
frame,,Year 1, spring 0, Sunday,5186,20.9
frame,,Year 1, spring 0, Sunday,5187,20.3
frame,,Year 1, spring 0, Sunday,5188,20.7
frame,,Year 1, spring 0, Sunday,5189,0.1
frame,,Year 1, spring 0, Sunday,5190,21.9
frame,,Year 1, spring 0, Sunday,5191,20.3
frame,,Year 1, spring 0, Sunday,5192,20.6
frame,,Year 1, spring 0, Sunday,5193,22.1
frame,,Year 1, spring 0, Sunday,5194,0.0
frame,,Year 1, spring 0, Sunday,5195,21.2
frame,,Year 1, spring 0, Sunday,5196,20.4
frame,,Year 1, spring 0, Sunday,5197,20.4
frame,,Year 1, spring 0, Sunday,5198,20.4
frame,,Year 1, spring 0, Sunday,5199,0.0
frame,,Year 1, spring 0, Sunday,5200,20.4
frame,,Year 1, spring 0, Sunday,5201,21.6
frame,,Year 1, spring 0, Sunday,5202,20.7
frame,,Year 1, spring 0, Sunday,5203,20.8
frame,,Year 1, spring 0, Sunday,5204,0.0
frame,,Year 1, spring 0, Sunday,5205,20.4
frame,,Year 1, spring 0, Sunday,5206,20.9
frame,,Year 1, spring 0, Sunday,5207,21.2
frame,,Year 1, spring 0, Sunday,5208,20.7
frame,,Year 1, spring 0, Sunday,5209,0.0
frame,,Year 1, spring 0, Sunday,5210,20.5
frame,,Year 1, spring 0, Sunday,5211,20.6
frame,,Year 1, spring 0, Sunday,5212,21.5
frame,,Year 1, spring 0, Sunday,5213,20.5
frame,,Year 1, spring 0, Sunday,5214,0.0
frame,,Year 1, spring 0, Sunday,5215,20.4
frame,,Year 1, spring 0, Sunday,5216,21.4
frame,,Year 1, spring 0, Sunday,5217,22.0
frame,,Year 1, spring 0, Sunday,5218,20.7
frame,,Year 1, spring 0, Sunday,5219,0.0
frame,,Year 1, spring 0, Sunday,5220,20.4
frame,,Year 1, spring 0, Sunday,5221,20.3
frame,,Year 1, spring 0, Sunday,5222,20.5
frame,,Year 1, spring 0, Sunday,5223,21.4
frame,,Year 1, spring 0, Sunday,5224,0.0
frame,,Year 1, spring 0, Sunday,5225,21.1
frame,,Year 1, spring 0, Sunday,5226,20.5
frame,,Year 1, spring 0, Sunday,5227,21.7
frame,,Year 1, spring 0, Sunday,5228,21.6
frame,,Year 1, spring 0, Sunday,5229,0.0
frame,,Year 1, spring 0, Sunday,5230,20.6
frame,,Year 1, spring 0, Sunday,5231,21.1
frame,,Year 1, spring 0, Sunday,5232,20.9
frame,,Year 1, spring 0, Sunday,5233,0.0
frame,,Year 1, spring 0, Sunday,5234,20.8
frame,,Year 1, spring 0, Sunday,5235,20.5
frame,,Year 1, spring 0, Sunday,5236,21.1
frame,,Year 1, spring 0, Sunday,5237,20.6
frame,,Year 1, spring 0, Sunday,5238,20.8
frame,,Year 1, spring 0, Sunday,5239,0.0
frame,,Year 1, spring 0, Sunday,5240,20.7
frame,,Year 1, spring 0, Sunday,5241,20.9
frame,,Year 1, spring 0, Sunday,5242,20.8
frame,,Year 1, spring 0, Sunday,5243,20.8
frame,,Year 1, spring 0, Sunday,5244,0.0
frame,,Year 1, spring 0, Sunday,5245,20.8
frame,,Year 1, spring 0, Sunday,5246,20.5
frame,,Year 1, spring 0, Sunday,5247,20.6
frame,,Year 1, spring 0, Sunday,5248,20.4
frame,,Year 1, spring 0, Sunday,5249,0.1
frame,,Year 1, spring 0, Sunday,5250,21.2
frame,,Year 1, spring 0, Sunday,5251,21.0
frame,,Year 1, spring 0, Sunday,5252,20.6
frame,,Year 1, spring 0, Sunday,5253,20.5
frame,,Year 1, spring 0, Sunday,5254,0.0
frame,,Year 1, spring 0, Sunday,5255,20.5
frame,,Year 1, spring 0, Sunday,5256,20.5
frame,,Year 1, spring 0, Sunday,5257,20.6
frame,,Year 1, spring 0, Sunday,5258,20.5
frame,,Year 1, spring 0, Sunday,5259,0.0
frame,,Year 1, spring 0, Sunday,5260,20.4
frame,,Year 1, spring 0, Sunday,5261,21.6
frame,,Year 1, spring 0, Sunday,5262,20.5
frame,,Year 1, spring 0, Sunday,5263,21.4
frame,,Year 1, spring 0, Sunday,5264,0.1
frame,,Year 1, spring 0, Sunday,5265,20.5
frame,,Year 1, spring 0, Sunday,5266,20.9
frame,,Year 1, spring 0, Sunday,5267,20.8
frame,,Year 1, spring 0, Sunday,5268,21.6
frame,,Year 1, spring 0, Sunday,5269,0.0
frame,,Year 1, spring 0, Sunday,5270,21.0
frame,,Year 1, spring 0, Sunday,5271,21.3
frame,,Year 1, spring 0, Sunday,5272,20.5
frame,,Year 1, spring 0, Sunday,5273,20.5
frame,,Year 1, spring 0, Sunday,5274,0.0
frame,,Year 1, spring 0, Sunday,5275,20.8
frame,,Year 1, spring 0, Sunday,5276,21.1
frame,,Year 1, spring 0, Sunday,5277,20.4
frame,,Year 1, spring 0, Sunday,5278,20.4
frame,,Year 1, spring 0, Sunday,5279,0.0
frame,,Year 1, spring 0, Sunday,5280,20.6
frame,,Year 1, spring 0, Sunday,5281,20.8
frame,,Year 1, spring 0, Sunday,5282,20.4
frame,,Year 1, spring 0, Sunday,5283,21.6
frame,,Year 1, spring 0, Sunday,5284,0.0
frame,,Year 1, spring 0, Sunday,5285,20.5
frame,,Year 1, spring 0, Sunday,5286,20.3
frame,,Year 1, spring 0, Sunday,5287,20.8
frame,,Year 1, spring 0, Sunday,5288,20.7
frame,,Year 1, spring 0, Sunday,5289,0.0
frame,,Year 1, spring 0, Sunday,5290,21.2
frame,,Year 1, spring 0, Sunday,5291,21.7
frame,,Year 1, spring 0, Sunday,5292,21.7
