kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 2, summer 28, Sunday,610,94.5
switchdetail,lgw,Year 2, summer 28, Sunday,600,442,0.0
lag,lgw,Year 2, summer 28, Sunday,2,322.5
lag,lgw,Year 2, summer 28, Sunday,7,105.2
lag,lgw,Year 2, summer 28, Sunday,31,621.1
lag,lgw,Year 2, summer 28, Sunday,108,225.2
lag,lgw,Year 2, summer 28, Sunday,1382,1040.5
lag,lgw,Year 2, summer 28, Sunday,1538,67.1
lag,lgw,Year 2, summer 28, Sunday,1722,5983.2
lag,lgw,Year 2, summer 28, Sunday,1723,158.8
lag,lgw,Year 2, summer 28, Sunday,1726,70.9
lag,lgw,Year 2, summer 28, Sunday,1742,561.4
lag,lgw,Year 2, summer 28, Sunday,1973,69.5
lag,lgw,Year 2, summer 28, Sunday,1974,167.8
lag,lgw,Year 2, summer 28, Sunday,2170,51.1
lag,lgw,Year 2, summer 28, Sunday,2600,78.9
lag,lgw,Year 2, summer 28, Sunday,2748,94.5
lag,lgw,Year 2, summer 28, Sunday,3408,151.2
lag,lgw,Year 2, summer 28, Sunday,3409,59.5
lag,lgw,Year 2, summer 28, Sunday,3937,96.0
lag,lgw,Year 2, summer 28, Sunday,5042,2684.2
lag,lgw,Year 2, summer 28, Sunday,5111,186.3
lag,lgw,Year 2, summer 28, Sunday,5607,80.5
lag,lgw,Year 2, summer 28, Sunday,5611,59.6
frame,lgw,Year 2, summer 28, Sunday,5120,0.3
frame,lgw,Year 2, summer 28, Sunday,5121,11.5
frame,lgw,Year 2, summer 28, Sunday,5122,32.0
frame,lgw,Year 2, summer 28, Sunday,5123,3.7
frame,lgw,Year 2, summer 28, Sunday,5124,8.8
frame,lgw,Year 2, summer 28, Sunday,5125,16.8
frame,lgw,Year 2, summer 28, Sunday,5126,16.9
frame,lgw,Year 2, summer 28, Sunday,5127,16.3
frame,lgw,Year 2, summer 28, Sunday,5128,16.6
frame,lgw,Year 2, summer 28, Sunday,5129,16.7
frame,lgw,Year 2, summer 28, Sunday,5130,16.7
frame,lgw,Year 2, summer 28, Sunday,5131,16.7
frame,lgw,Year 2, summer 28, Sunday,5132,16.7
frame,lgw,Year 2, summer 28, Sunday,5133,16.7
frame,lgw,Year 2, summer 28, Sunday,5134,16.6
frame,lgw,Year 2, summer 28, Sunday,5135,16.6
frame,lgw,Year 2, summer 28, Sunday,5136,16.7
frame,lgw,Year 2, summer 28, Sunday,5137,16.9
frame,lgw,Year 2, summer 28, Sunday,5138,16.5
frame,lgw,Year 2, summer 28, Sunday,5139,16.7
frame,lgw,Year 2, summer 28, Sunday,5140,16.6
frame,lgw,Year 2, summer 28, Sunday,5141,16.7
frame,lgw,Year 2, summer 28, Sunday,5142,16.7
frame,lgw,Year 2, summer 28, Sunday,5143,16.9
frame,lgw,Year 2, summer 28, Sunday,5144,16.4
frame,lgw,Year 2, summer 28, Sunday,5145,16.7
frame,lgw,Year 2, summer 28, Sunday,5146,16.7
frame,lgw,Year 2, summer 28, Sunday,5147,16.7
frame,lgw,Year 2, summer 28, Sunday,5148,16.6
frame,lgw,Year 2, summer 28, Sunday,5149,16.7
frame,lgw,Year 2, summer 28, Sunday,5150,16.7
frame,lgw,Year 2, summer 28, Sunday,5151,16.7
frame,lgw,Year 2, summer 28, Sunday,5152,16.7
frame,lgw,Year 2, summer 28, Sunday,5153,16.7
frame,lgw,Year 2, summer 28, Sunday,5154,17.0
frame,lgw,Year 2, summer 28, Sunday,5155,16.4
frame,lgw,Year 2, summer 28, Sunday,5156,17.1
frame,lgw,Year 2, summer 28, Sunday,5157,16.2
frame,lgw,Year 2, summer 28, Sunday,5158,16.8
frame,lgw,Year 2, summer 28, Sunday,5159,16.6
frame,lgw,Year 2, summer 28, Sunday,5160,16.6
frame,lgw,Year 2, summer 28, Sunday,5161,16.8
frame,lgw,Year 2, summer 28, Sunday,5162,16.8
frame,lgw,Year 2, summer 28, Sunday,5163,23.5
frame,lgw,Year 2, summer 28, Sunday,5164,9.7
frame,lgw,Year 2, summer 28, Sunday,5165,16.6
frame,lgw,Year 2, summer 28, Sunday,5166,16.7
frame,lgw,Year 2, summer 28, Sunday,5167,16.8
frame,lgw,Year 2, summer 28, Sunday,5168,16.6
frame,lgw,Year 2, summer 28, Sunday,5169,16.9
frame,lgw,Year 2, summer 28, Sunday,5170,17.1
frame,lgw,Year 2, summer 28, Sunday,5171,16.0
frame,lgw,Year 2, summer 28, Sunday,5172,16.6
frame,lgw,Year 2, summer 28, Sunday,5173,16.7
frame,lgw,Year 2, summer 28, Sunday,5174,16.8
frame,lgw,Year 2, summer 28, Sunday,5175,16.7
frame,lgw,Year 2, summer 28, Sunday,5176,16.6
frame,lgw,Year 2, summer 28, Sunday,5177,16.6
frame,lgw,Year 2, summer 28, Sunday,5178,16.7
frame,lgw,Year 2, summer 28, Sunday,5179,16.7
frame,lgw,Year 2, summer 28, Sunday,5180,16.6
frame,lgw,Year 2, summer 28, Sunday,5181,16.6
frame,lgw,Year 2, summer 28, Sunday,5182,16.7
frame,lgw,Year 2, summer 28, Sunday,5183,16.7
frame,lgw,Year 2, summer 28, Sunday,5184,16.6
frame,lgw,Year 2, summer 28, Sunday,5185,16.7
frame,lgw,Year 2, summer 28, Sunday,5186,16.6
frame,lgw,Year 2, summer 28, Sunday,5187,16.8
