kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,,Year 1, spring 0, Sunday,2,183.3
lag,,Year 1, spring 0, Sunday,21,305.8
lag,,Year 1, spring 0, Sunday,70,100.4
frame,,Year 1, spring 0, Sunday,5120,16.6
frame,,Year 1, spring 0, Sunday,5121,16.7
frame,,Year 1, spring 0, Sunday,5122,16.7
frame,,Year 1, spring 0, Sunday,5123,16.9
frame,,Year 1, spring 0, Sunday,5124,16.4
frame,,Year 1, spring 0, Sunday,5125,16.6
frame,,Year 1, spring 0, Sunday,5126,16.7
frame,,Year 1, spring 0, Sunday,5127,16.7
frame,,Year 1, spring 0, Sunday,5128,16.7
frame,,Year 1, spring 0, Sunday,5129,16.6
frame,,Year 1, spring 0, Sunday,5130,16.7
frame,,Year 1, spring 0, Sunday,5131,16.7
frame,,Year 1, spring 0, Sunday,5132,17.2
frame,,Year 1, spring 0, Sunday,5133,16.1
frame,,Year 1, spring 0, Sunday,5134,16.7
frame,,Year 1, spring 0, Sunday,5135,16.7
frame,,Year 1, spring 0, Sunday,5136,16.7
frame,,Year 1, spring 0, Sunday,5137,16.7
frame,,Year 1, spring 0, Sunday,5138,16.7
frame,,Year 1, spring 0, Sunday,5139,16.6
frame,,Year 1, spring 0, Sunday,5140,16.7
frame,,Year 1, spring 0, Sunday,5141,16.6
frame,,Year 1, spring 0, Sunday,5142,16.9
frame,,Year 1, spring 0, Sunday,5143,16.4
frame,,Year 1, spring 0, Sunday,5144,16.7
frame,,Year 1, spring 0, Sunday,5145,16.7
frame,,Year 1, spring 0, Sunday,5146,16.6
frame,,Year 1, spring 0, Sunday,5147,16.7
frame,,Year 1, spring 0, Sunday,5148,16.7
frame,,Year 1, spring 0, Sunday,5149,16.7
frame,,Year 1, spring 0, Sunday,5150,16.7
frame,,Year 1, spring 0, Sunday,5151,16.7
frame,,Year 1, spring 0, Sunday,5152,16.6
frame,,Year 1, spring 0, Sunday,5153,16.7
frame,,Year 1, spring 0, Sunday,5154,16.7
frame,,Year 1, spring 0, Sunday,5155,16.6
frame,,Year 1, spring 0, Sunday,5156,16.6
frame,,Year 1, spring 0, Sunday,5157,16.7
frame,,Year 1, spring 0, Sunday,5158,16.7
frame,,Year 1, spring 0, Sunday,5159,16.7
frame,,Year 1, spring 0, Sunday,5160,16.7
frame,,Year 1, spring 0, Sunday,5161,16.6
frame,,Year 1, spring 0, Sunday,5162,16.7
frame,,Year 1, spring 0, Sunday,5163,16.8
frame,,Year 1, spring 0, Sunday,5164,16.6
frame,,Year 1, spring 0, Sunday,5165,16.7
frame,,Year 1, spring 0, Sunday,5166,16.7
frame,,Year 1, spring 0, Sunday,5167,16.6
frame,,Year 1, spring 0, Sunday,5168,16.7
frame,,Year 1, spring 0, Sunday,5169,16.7
frame,,Year 1, spring 0, Sunday,5170,16.7
frame,,Year 1, spring 0, Sunday,5171,16.7
frame,,Year 1, spring 0, Sunday,5172,16.8
frame,,Year 1, spring 0, Sunday,5173,16.5
frame,,Year 1, spring 0, Sunday,5174,16.7
frame,,Year 1, spring 0, Sunday,5175,16.7
frame,,Year 1, spring 0, Sunday,5176,16.6
frame,,Year 1, spring 0, Sunday,5177,16.6
frame,,Year 1, spring 0, Sunday,5178,16.7
frame,,Year 1, spring 0, Sunday,5179,16.7
frame,,Year 1, spring 0, Sunday,5180,17.2
frame,,Year 1, spring 0, Sunday,5181,16.1
frame,,Year 1, spring 0, Sunday,5182,16.7
frame,,Year 1, spring 0, Sunday,5183,17.0
frame,,Year 1, spring 0, Sunday,5184,16.3
frame,,Year 1, spring 0, Sunday,5185,16.7
frame,,Year 1, spring 0, Sunday,5186,16.8
frame,,Year 1, spring 0, Sunday,5187,16.6
frame,,Year 1, spring 0, Sunday,5188,16.9
frame,,Year 1, spring 0, Sunday,5189,16.4
frame,,Year 1, spring 0, Sunday,5190,16.8
frame,,Year 1, spring 0, Sunday,5191,16.5
frame,,Year 1, spring 0, Sunday,5192,16.6
frame,,Year 1, spring 0, Sunday,5193,16.7
frame,,Year 1, spring 0, Sunday,5194,17.0
frame,,Year 1, spring 0, Sunday,5195,16.3
frame,,Year 1, spring 0, Sunday,5196,16.7
frame,,Year 1, spring 0, Sunday,5197,16.6
frame,,Year 1, spring 0, Sunday,5198,16.6
frame,,Year 1, spring 0, Sunday,5199,16.7
frame,,Year 1, spring 0, Sunday,5200,16.7
frame,,Year 1, spring 0, Sunday,5201,16.7
frame,,Year 1, spring 0, Sunday,5202,16.7
frame,,Year 1, spring 0, Sunday,5203,16.7
frame,,Year 1, spring 0, Sunday,5204,16.7
frame,,Year 1, spring 0, Sunday,5205,16.7
frame,,Year 1, spring 0, Sunday,5206,16.6
frame,,Year 1, spring 0, Sunday,5207,16.7
frame,,Year 1, spring 0, Sunday,5208,16.7
frame,,Year 1, spring 0, Sunday,5209,16.7
frame,,Year 1, spring 0, Sunday,5210,16.6
frame,,Year 1, spring 0, Sunday,5211,16.6
frame,,Year 1, spring 0, Sunday,5212,16.7
frame,,Year 1, spring 0, Sunday,5213,16.7
frame,,Year 1, spring 0, Sunday,5214,16.7
frame,,Year 1, spring 0, Sunday,5215,16.7
frame,,Year 1, spring 0, Sunday,5216,16.6
frame,,Year 1, spring 0, Sunday,5217,16.7
frame,,Year 1, spring 0, Sunday,5218,16.7
frame,,Year 1, spring 0, Sunday,5219,16.7
frame,,Year 1, spring 0, Sunday,5220,16.6
frame,,Year 1, spring 0, Sunday,5221,16.7
frame,,Year 1, spring 0, Sunday,5222,16.7
frame,,Year 1, spring 0, Sunday,5223,16.7
frame,,Year 1, spring 0, Sunday,5224,16.7
frame,,Year 1, spring 0, Sunday,5225,17.3
frame,,Year 1, spring 0, Sunday,5226,16.0
frame,,Year 1, spring 0, Sunday,5227,16.7
frame,,Year 1, spring 0, Sunday,5228,16.6
frame,,Year 1, spring 0, Sunday,5229,16.7
frame,,Year 1, spring 0, Sunday,5230,17.0
frame,,Year 1, spring 0, Sunday,5231,16.4
frame,,Year 1, spring 0, Sunday,5232,16.6
frame,,Year 1, spring 0, Sunday,5233,16.7
frame,,Year 1, spring 0, Sunday,5234,16.6
frame,,Year 1, spring 0, Sunday,5235,16.7
frame,,Year 1, spring 0, Sunday,5236,16.7
frame,,Year 1, spring 0, Sunday,5237,16.6
frame,,Year 1, spring 0, Sunday,5238,16.7
frame,,Year 1, spring 0, Sunday,5239,16.7
frame,,Year 1, spring 0, Sunday,5240,17.1
frame,,Year 1, spring 0, Sunday,5241,16.2
frame,,Year 1, spring 0, Sunday,5242,16.7
frame,,Year 1, spring 0, Sunday,5243,16.7
frame,,Year 1, spring 0, Sunday,5244,16.7
frame,,Year 1, spring 0, Sunday,5245,16.7
frame,,Year 1, spring 0, Sunday,5246,16.7
frame,,Year 1, spring 0, Sunday,5247,16.6
frame,,Year 1, spring 0, Sunday,5248,17.0
frame,,Year 1, spring 0, Sunday,5249,16.8
frame,,Year 1, spring 0, Sunday,5250,16.3
frame,,Year 1, spring 0, Sunday,5251,16.7
frame,,Year 1, spring 0, Sunday,5252,16.6
frame,,Year 1, spring 0, Sunday,5253,16.6
frame,,Year 1, spring 0, Sunday,5254,16.7
frame,,Year 1, spring 0, Sunday,5255,16.7
frame,,Year 1, spring 0, Sunday,5256,16.7
frame,,Year 1, spring 0, Sunday,5257,16.8
