kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 2, summer 28, Sunday,610,192.0
switch,lgw,Year 2, summer 28, Sunday,620,46.3
switch,lgw,Year 2, summer 28, Sunday,630,51.1
switch,lgw,Year 2, summer 28, Sunday,640,50.6
switch,lgw,Year 2, summer 28, Sunday,650,51.7
switch,lgw,Year 2, summer 28, Sunday,700,59.2
switch,lgw,Year 2, summer 28, Sunday,710,64.3
switch,lgw,Year 2, summer 28, Sunday,720,78.6
switch,lgw,Year 2, summer 28, Sunday,730,89.0
switch,lgw,Year 2, summer 28, Sunday,740,101.8
switch,lgw,Year 2, summer 28, Sunday,750,95.3
switch,lgw,Year 2, summer 28, Sunday,800,103.6
switch,lgw,Year 2, summer 28, Sunday,810,108.7
switch,lgw,Year 2, summer 28, Sunday,820,110.7
switch,lgw,Year 2, summer 28, Sunday,830,101.4
switch,lgw,Year 2, summer 28, Sunday,840,122.9
switch,lgw,Year 2, summer 28, Sunday,850,100.2
switch,lgw,Year 2, summer 28, Sunday,900,108.9
switch,lgw,Year 2, summer 28, Sunday,910,113.7
switch,lgw,Year 2, summer 28, Sunday,920,115.7
switch,lgw,Year 2, summer 28, Sunday,930,125.6
switch,lgw,Year 2, summer 28, Sunday,940,119.8
switch,lgw,Year 2, summer 28, Sunday,950,113.8
switchdetail,lgw,Year 2, summer 28, Sunday,600,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,610,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,620,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,630,443,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,640,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,650,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,700,443,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,710,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,720,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,730,443,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,740,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,750,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,800,444,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,810,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,820,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,830,443,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,840,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,850,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,900,444,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,910,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,920,443,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,930,443,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,940,442,0.0
lag,lgw,Year 2, summer 28, Sunday,2,192.6
lag,lgw,Year 2, summer 28, Sunday,23,341.6
lag,lgw,Year 2, summer 28, Sunday,413,205.6
lag,lgw,Year 2, summer 28, Sunday,506,113.5
lag,lgw,Year 2, summer 28, Sunday,2900,73.7
lag,lgw,Year 2, summer 28, Sunday,3213,941.0
lag,lgw,Year 2, summer 28, Sunday,3372,95.4
