kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,lgw,Year 1, spring 1, Monday,2,3790.0
lag,lgw,Year 1, spring 1, Monday,31,416.5
lag,lgw,Year 1, spring 1, Monday,289,153.9
lag,lgw,Year 1, spring 1, Monday,327,121.5
lag,lgw,Year 1, spring 1, Monday,423,104.3
lag,lgw,Year 1, spring 1, Monday,519,159.4
lag,lgw,Year 1, spring 1, Monday,615,82.3
lag,lgw,Year 1, spring 1, Monday,1044,72.3
lag,lgw,Year 1, spring 1, Monday,1123,100.2
lag,lgw,Year 1, spring 1, Monday,4716,108.0
lag,lgw,Year 1, spring 1, Monday,5088,111.3
frame,lgw,Year 1, spring 1, Monday,5120,0.1
frame,lgw,Year 1, spring 1, Monday,5121,21.2
frame,lgw,Year 1, spring 1, Monday,5122,21.7
frame,lgw,Year 1, spring 1, Monday,5123,21.2
frame,lgw,Year 1, spring 1, Monday,5124,21.1
frame,lgw,Year 1, spring 1, Monday,5125,0.1
frame,lgw,Year 1, spring 1, Monday,5126,21.0
frame,lgw,Year 1, spring 1, Monday,5127,21.2
frame,lgw,Year 1, spring 1, Monday,5128,21.3
frame,lgw,Year 1, spring 1, Monday,5129,0.1
frame,lgw,Year 1, spring 1, Monday,5130,21.7
frame,lgw,Year 1, spring 1, Monday,5131,21.1
frame,lgw,Year 1, spring 1, Monday,5132,21.2
frame,lgw,Year 1, spring 1, Monday,5133,21.6
frame,lgw,Year 1, spring 1, Monday,5134,0.5
frame,lgw,Year 1, spring 1, Monday,5135,21.0
frame,lgw,Year 1, spring 1, Monday,5136,20.8
frame,lgw,Year 1, spring 1, Monday,5137,21.0
frame,lgw,Year 1, spring 1, Monday,5138,21.2
frame,lgw,Year 1, spring 1, Monday,5139,0.2
frame,lgw,Year 1, spring 1, Monday,5140,21.0
frame,lgw,Year 1, spring 1, Monday,5141,21.5
frame,lgw,Year 1, spring 1, Monday,5142,21.3
frame,lgw,Year 1, spring 1, Monday,5143,0.1
frame,lgw,Year 1, spring 1, Monday,5144,21.1
frame,lgw,Year 1, spring 1, Monday,5145,21.2
frame,lgw,Year 1, spring 1, Monday,5146,21.0
frame,lgw,Year 1, spring 1, Monday,5147,21.2
frame,lgw,Year 1, spring 1, Monday,5148,0.1
frame,lgw,Year 1, spring 1, Monday,5149,20.8
frame,lgw,Year 1, spring 1, Monday,5150,21.4
frame,lgw,Year 1, spring 1, Monday,5151,21.0
frame,lgw,Year 1, spring 1, Monday,5152,20.9
frame,lgw,Year 1, spring 1, Monday,5153,0.1
frame,lgw,Year 1, spring 1, Monday,5154,20.8
frame,lgw,Year 1, spring 1, Monday,5155,22.1
frame,lgw,Year 1, spring 1, Monday,5156,20.9
frame,lgw,Year 1, spring 1, Monday,5157,0.1
frame,lgw,Year 1, spring 1, Monday,5158,21.4
frame,lgw,Year 1, spring 1, Monday,5159,21.0
frame,lgw,Year 1, spring 1, Monday,5160,20.8
frame,lgw,Year 1, spring 1, Monday,5161,20.9
frame,lgw,Year 1, spring 1, Monday,5162,0.1
frame,lgw,Year 1, spring 1, Monday,5163,20.8
frame,lgw,Year 1, spring 1, Monday,5164,21.6
frame,lgw,Year 1, spring 1, Monday,5165,21.8
frame,lgw,Year 1, spring 1, Monday,5166,20.9
frame,lgw,Year 1, spring 1, Monday,5167,0.5
frame,lgw,Year 1, spring 1, Monday,5168,21.3
frame,lgw,Year 1, spring 1, Monday,5169,21.3
frame,lgw,Year 1, spring 1, Monday,5170,21.8
frame,lgw,Year 1, spring 1, Monday,5171,0.2
frame,lgw,Year 1, spring 1, Monday,5172,21.0
frame,lgw,Year 1, spring 1, Monday,5173,21.3
frame,lgw,Year 1, spring 1, Monday,5174,21.0
frame,lgw,Year 1, spring 1, Monday,5175,21.6
frame,lgw,Year 1, spring 1, Monday,5176,0.1
frame,lgw,Year 1, spring 1, Monday,5177,21.3
frame,lgw,Year 1, spring 1, Monday,5178,21.1
frame,lgw,Year 1, spring 1, Monday,5179,21.6
frame,lgw,Year 1, spring 1, Monday,5180,0.3
frame,lgw,Year 1, spring 1, Monday,5181,21.8
frame,lgw,Year 1, spring 1, Monday,5182,21.1
frame,lgw,Year 1, spring 1, Monday,5183,21.4
frame,lgw,Year 1, spring 1, Monday,5184,21.1
