kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 7, Sunday,4176,12.1
frame,lgw,Year 1, spring 7, Sunday,4177,16.3
frame,lgw,Year 1, spring 7, Sunday,4178,16.7
frame,lgw,Year 1, spring 7, Sunday,4179,16.7
frame,lgw,Year 1, spring 7, Sunday,4180,16.7
frame,lgw,Year 1, spring 7, Sunday,4181,16.7
frame,lgw,Year 1, spring 7, Sunday,4182,16.7
frame,lgw,Year 1, spring 7, Sunday,4183,16.8
frame,lgw,Year 1, spring 7, Sunday,4184,16.5
frame,lgw,Year 1, spring 7, Sunday,4185,16.6
frame,lgw,Year 1, spring 7, Sunday,4186,16.7
frame,lgw,Year 1, spring 7, Sunday,4187,16.7
frame,lgw,Year 1, spring 7, Sunday,4188,16.6
frame,lgw,Year 1, spring 7, Sunday,4189,16.7
frame,lgw,Year 1, spring 7, Sunday,4190,16.7
frame,lgw,Year 1, spring 7, Sunday,4191,16.9
frame,lgw,Year 1, spring 7, Sunday,4192,16.4
frame,lgw,Year 1, spring 7, Sunday,4193,16.7
frame,lgw,Year 1, spring 7, Sunday,4194,16.7
frame,lgw,Year 1, spring 7, Sunday,4195,16.7
frame,lgw,Year 1, spring 7, Sunday,4196,16.7
frame,lgw,Year 1, spring 7, Sunday,4197,16.9
frame,lgw,Year 1, spring 7, Sunday,4198,16.4
frame,lgw,Year 1, spring 7, Sunday,4199,16.6
frame,lgw,Year 1, spring 7, Sunday,4200,16.6
frame,lgw,Year 1, spring 7, Sunday,4201,16.7
frame,lgw,Year 1, spring 7, Sunday,4202,16.7
frame,lgw,Year 1, spring 7, Sunday,4203,16.7
frame,lgw,Year 1, spring 7, Sunday,4204,16.6
frame,lgw,Year 1, spring 7, Sunday,4205,16.7
frame,lgw,Year 1, spring 7, Sunday,4206,16.7
frame,lgw,Year 1, spring 7, Sunday,4207,16.7
frame,lgw,Year 1, spring 7, Sunday,4208,16.8
frame,lgw,Year 1, spring 7, Sunday,4209,16.5
frame,lgw,Year 1, spring 7, Sunday,4210,16.9
frame,lgw,Year 1, spring 7, Sunday,4211,16.5
frame,lgw,Year 1, spring 7, Sunday,4212,16.6
frame,lgw,Year 1, spring 7, Sunday,4213,16.7
frame,lgw,Year 1, spring 7, Sunday,4214,16.6
frame,lgw,Year 1, spring 7, Sunday,4215,16.7
frame,lgw,Year 1, spring 7, Sunday,4216,16.7
frame,lgw,Year 1, spring 7, Sunday,4217,16.6
frame,lgw,Year 1, spring 7, Sunday,4218,16.8
frame,lgw,Year 1, spring 7, Sunday,4219,16.7
frame,lgw,Year 1, spring 7, Sunday,4220,16.7
frame,lgw,Year 1, spring 7, Sunday,4221,16.6
frame,lgw,Year 1, spring 7, Sunday,4222,16.6
frame,lgw,Year 1, spring 7, Sunday,4223,16.9
frame,lgw,Year 1, spring 7, Sunday,4224,16.5
frame,lgw,Year 1, spring 7, Sunday,4225,16.7
frame,lgw,Year 1, spring 7, Sunday,4226,16.6
frame,lgw,Year 1, spring 7, Sunday,4227,16.7
frame,lgw,Year 1, spring 7, Sunday,4228,16.6
frame,lgw,Year 1, spring 7, Sunday,4229,16.7
frame,lgw,Year 1, spring 7, Sunday,4230,16.7
frame,lgw,Year 1, spring 7, Sunday,4231,16.7
frame,lgw,Year 1, spring 7, Sunday,4232,16.8
frame,lgw,Year 1, spring 7, Sunday,4233,16.5
frame,lgw,Year 1, spring 7, Sunday,4234,16.7
frame,lgw,Year 1, spring 7, Sunday,4235,16.7
frame,lgw,Year 1, spring 7, Sunday,4236,16.7
frame,lgw,Year 1, spring 7, Sunday,4237,16.9
frame,lgw,Year 1, spring 7, Sunday,4238,17.6
frame,lgw,Year 1, spring 7, Sunday,4239,15.9
frame,lgw,Year 1, spring 7, Sunday,4240,17.3
frame,lgw,Year 1, spring 7, Sunday,4241,15.7
frame,lgw,Year 1, spring 7, Sunday,4242,16.8
frame,lgw,Year 1, spring 7, Sunday,4243,16.6
frame,lgw,Year 1, spring 7, Sunday,4244,16.6
frame,lgw,Year 1, spring 7, Sunday,4245,16.8
frame,lgw,Year 1, spring 7, Sunday,4246,16.6
frame,lgw,Year 1, spring 7, Sunday,4247,16.8
frame,lgw,Year 1, spring 7, Sunday,4248,16.5
frame,lgw,Year 1, spring 7, Sunday,4249,16.6
frame,lgw,Year 1, spring 7, Sunday,4250,16.7
frame,lgw,Year 1, spring 7, Sunday,4251,16.7
frame,lgw,Year 1, spring 7, Sunday,4252,16.7
frame,lgw,Year 1, spring 7, Sunday,4253,16.7
