kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,lgw,Year 1, spring 1, Monday,2,3547.3
lag,lgw,Year 1, spring 1, Monday,22,427.6
lag,lgw,Year 1, spring 1, Monday,5764,139.9
frame,lgw,Year 1, spring 1, Monday,5120,21.1
frame,lgw,Year 1, spring 1, Monday,5121,21.2
frame,lgw,Year 1, spring 1, Monday,5122,21.1
frame,lgw,Year 1, spring 1, Monday,5123,0.1
frame,lgw,Year 1, spring 1, Monday,5124,21.5
frame,lgw,Year 1, spring 1, Monday,5125,21.3
frame,lgw,Year 1, spring 1, Monday,5126,21.6
frame,lgw,Year 1, spring 1, Monday,5127,21.2
frame,lgw,Year 1, spring 1, Monday,5128,0.1
frame,lgw,Year 1, spring 1, Monday,5129,21.2
frame,lgw,Year 1, spring 1, Monday,5130,21.1
frame,lgw,Year 1, spring 1, Monday,5131,21.3
frame,lgw,Year 1, spring 1, Monday,5132,20.9
frame,lgw,Year 1, spring 1, Monday,5133,0.1
frame,lgw,Year 1, spring 1, Monday,5134,21.7
frame,lgw,Year 1, spring 1, Monday,5135,21.9
frame,lgw,Year 1, spring 1, Monday,5136,21.1
frame,lgw,Year 1, spring 1, Monday,5137,0.1
frame,lgw,Year 1, spring 1, Monday,5138,21.1
frame,lgw,Year 1, spring 1, Monday,5139,20.9
frame,lgw,Year 1, spring 1, Monday,5140,21.7
frame,lgw,Year 1, spring 1, Monday,5141,21.4
frame,lgw,Year 1, spring 1, Monday,5142,0.1
frame,lgw,Year 1, spring 1, Monday,5143,21.0
frame,lgw,Year 1, spring 1, Monday,5144,21.1
frame,lgw,Year 1, spring 1, Monday,5145,21.8
frame,lgw,Year 1, spring 1, Monday,5146,0.1
frame,lgw,Year 1, spring 1, Monday,5147,20.8
frame,lgw,Year 1, spring 1, Monday,5148,21.1
frame,lgw,Year 1, spring 1, Monday,5149,21.2
frame,lgw,Year 1, spring 1, Monday,5150,21.7
frame,lgw,Year 1, spring 1, Monday,5151,0.1
frame,lgw,Year 1, spring 1, Monday,5152,20.9
frame,lgw,Year 1, spring 1, Monday,5153,21.3
frame,lgw,Year 1, spring 1, Monday,5154,21.0
frame,lgw,Year 1, spring 1, Monday,5155,20.8
frame,lgw,Year 1, spring 1, Monday,5156,0.1
frame,lgw,Year 1, spring 1, Monday,5157,21.0
frame,lgw,Year 1, spring 1, Monday,5158,21.3
frame,lgw,Year 1, spring 1, Monday,5159,21.0
frame,lgw,Year 1, spring 1, Monday,5160,0.1
frame,lgw,Year 1, spring 1, Monday,5161,21.3
frame,lgw,Year 1, spring 1, Monday,5162,22.0
frame,lgw,Year 1, spring 1, Monday,5163,21.0
frame,lgw,Year 1, spring 1, Monday,5164,20.8
frame,lgw,Year 1, spring 1, Monday,5165,0.1
frame,lgw,Year 1, spring 1, Monday,5166,21.6
frame,lgw,Year 1, spring 1, Monday,5167,20.9
frame,lgw,Year 1, spring 1, Monday,5168,21.5
frame,lgw,Year 1, spring 1, Monday,5169,21.1
frame,lgw,Year 1, spring 1, Monday,5170,0.1
frame,lgw,Year 1, spring 1, Monday,5171,21.1
frame,lgw,Year 1, spring 1, Monday,5172,21.6
frame,lgw,Year 1, spring 1, Monday,5173,21.4
frame,lgw,Year 1, spring 1, Monday,5174,0.1
frame,lgw,Year 1, spring 1, Monday,5175,21.4
frame,lgw,Year 1, spring 1, Monday,5176,21.7
frame,lgw,Year 1, spring 1, Monday,5177,21.3
frame,lgw,Year 1, spring 1, Monday,5178,21.0
frame,lgw,Year 1, spring 1, Monday,5179,0.1
frame,lgw,Year 1, spring 1, Monday,5180,21.3
frame,lgw,Year 1, spring 1, Monday,5181,21.3
frame,lgw,Year 1, spring 1, Monday,5182,21.7
frame,lgw,Year 1, spring 1, Monday,5183,0.1
frame,lgw,Year 1, spring 1, Monday,5184,21.6
frame,lgw,Year 1, spring 1, Monday,5185,21.0
frame,lgw,Year 1, spring 1, Monday,5186,21.2
frame,lgw,Year 1, spring 1, Monday,5187,21.3
frame,lgw,Year 1, spring 1, Monday,5188,0.1
frame,lgw,Year 1, spring 1, Monday,5189,20.8
frame,lgw,Year 1, spring 1, Monday,5190,21.5
frame,lgw,Year 1, spring 1, Monday,5191,21.0
frame,lgw,Year 1, spring 1, Monday,5192,0.1
frame,lgw,Year 1, spring 1, Monday,5193,21.1
frame,lgw,Year 1, spring 1, Monday,5194,20.8
frame,lgw,Year 1, spring 1, Monday,5195,21.4
frame,lgw,Year 1, spring 1, Monday,5196,21.1
frame,lgw,Year 1, spring 1, Monday,5197,0.4
frame,lgw,Year 1, spring 1, Monday,5198,21.5
frame,lgw,Year 1, spring 1, Monday,5199,20.8
frame,lgw,Year 1, spring 1, Monday,5200,21.5
frame,lgw,Year 1, spring 1, Monday,5201,21.7
frame,lgw,Year 1, spring 1, Monday,5202,0.1
frame,lgw,Year 1, spring 1, Monday,5203,21.0
frame,lgw,Year 1, spring 1, Monday,5204,21.1
frame,lgw,Year 1, spring 1, Monday,5205,21.4
frame,lgw,Year 1, spring 1, Monday,5206,0.1
frame,lgw,Year 1, spring 1, Monday,5207,20.9
frame,lgw,Year 1, spring 1, Monday,5208,21.2
frame,lgw,Year 1, spring 1, Monday,5209,21.5
frame,lgw,Year 1, spring 1, Monday,5210,21.3
frame,lgw,Year 1, spring 1, Monday,5211,0.2
frame,lgw,Year 1, spring 1, Monday,5212,21.5
frame,lgw,Year 1, spring 1, Monday,5213,21.0
frame,lgw,Year 1, spring 1, Monday,5214,21.0
frame,lgw,Year 1, spring 1, Monday,5215,20.9
frame,lgw,Year 1, spring 1, Monday,5216,0.1
frame,lgw,Year 1, spring 1, Monday,5217,20.9
frame,lgw,Year 1, spring 1, Monday,5218,21.7
frame,lgw,Year 1, spring 1, Monday,5219,21.6
frame,lgw,Year 1, spring 1, Monday,5220,0.1
frame,lgw,Year 1, spring 1, Monday,5221,20.9
frame,lgw,Year 1, spring 1, Monday,5222,21.2
frame,lgw,Year 1, spring 1, Monday,5223,21.4
frame,lgw,Year 1, spring 1, Monday,5224,20.9
frame,lgw,Year 1, spring 1, Monday,5225,0.1
frame,lgw,Year 1, spring 1, Monday,5226,21.7
frame,lgw,Year 1, spring 1, Monday,5227,21.0
frame,lgw,Year 1, spring 1, Monday,5228,21.1
frame,lgw,Year 1, spring 1, Monday,5229,21.4
frame,lgw,Year 1, spring 1, Monday,5230,0.2
frame,lgw,Year 1, spring 1, Monday,5231,21.3
frame,lgw,Year 1, spring 1, Monday,5232,20.9
frame,lgw,Year 1, spring 1, Monday,5233,20.9
frame,lgw,Year 1, spring 1, Monday,5234,0.1
frame,lgw,Year 1, spring 1, Monday,5235,20.8
frame,lgw,Year 1, spring 1, Monday,5236,20.8
frame,lgw,Year 1, spring 1, Monday,5237,21.1
frame,lgw,Year 1, spring 1, Monday,5238,20.8
frame,lgw,Year 1, spring 1, Monday,5239,0.1
frame,lgw,Year 1, spring 1, Monday,5240,21.7
frame,lgw,Year 1, spring 1, Monday,5241,21.5
frame,lgw,Year 1, spring 1, Monday,5242,21.2
frame,lgw,Year 1, spring 1, Monday,5243,21.0
frame,lgw,Year 1, spring 1, Monday,5244,0.1
frame,lgw,Year 1, spring 1, Monday,5245,21.9
frame,lgw,Year 1, spring 1, Monday,5246,21.6
frame,lgw,Year 1, spring 1, Monday,5247,21.2
frame,lgw,Year 1, spring 1, Monday,5248,0.1
frame,lgw,Year 1, spring 1, Monday,5249,21.3
frame,lgw,Year 1, spring 1, Monday,5250,21.0
frame,lgw,Year 1, spring 1, Monday,5251,21.0
frame,lgw,Year 1, spring 1, Monday,5252,21.2
frame,lgw,Year 1, spring 1, Monday,5253,0.1
frame,lgw,Year 1, spring 1, Monday,5254,21.3
frame,lgw,Year 1, spring 1, Monday,5255,21.1
frame,lgw,Year 1, spring 1, Monday,5256,21.4
frame,lgw,Year 1, spring 1, Monday,5257,0.2
frame,lgw,Year 1, spring 1, Monday,5258,21.1
frame,lgw,Year 1, spring 1, Monday,5259,21.7
frame,lgw,Year 1, spring 1, Monday,5260,21.0
frame,lgw,Year 1, spring 1, Monday,5261,21.4
frame,lgw,Year 1, spring 1, Monday,5262,0.1
frame,lgw,Year 1, spring 1, Monday,5263,21.4
frame,lgw,Year 1, spring 1, Monday,5264,21.2
frame,lgw,Year 1, spring 1, Monday,5265,21.8
frame,lgw,Year 1, spring 1, Monday,5266,0.2
frame,lgw,Year 1, spring 1, Monday,5267,21.9
frame,lgw,Year 1, spring 1, Monday,5268,21.7
frame,lgw,Year 1, spring 1, Monday,5269,21.3
frame,lgw,Year 1, spring 1, Monday,5270,21.4
frame,lgw,Year 1, spring 1, Monday,5271,0.1
frame,lgw,Year 1, spring 1, Monday,5272,21.2
frame,lgw,Year 1, spring 1, Monday,5273,21.4
frame,lgw,Year 1, spring 1, Monday,5274,21.7
frame,lgw,Year 1, spring 1, Monday,5275,0.3
frame,lgw,Year 1, spring 1, Monday,5276,21.1
frame,lgw,Year 1, spring 1, Monday,5277,21.3
frame,lgw,Year 1, spring 1, Monday,5278,21.1
frame,lgw,Year 1, spring 1, Monday,5279,21.5
frame,lgw,Year 1, spring 1, Monday,5280,0.2
frame,lgw,Year 1, spring 1, Monday,5281,21.6
frame,lgw,Year 1, spring 1, Monday,5282,21.4
frame,lgw,Year 1, spring 1, Monday,5283,21.4
frame,lgw,Year 1, spring 1, Monday,5284,0.2
frame,lgw,Year 1, spring 1, Monday,5285,20.9
frame,lgw,Year 1, spring 1, Monday,5286,21.2
frame,lgw,Year 1, spring 1, Monday,5287,21.2
frame,lgw,Year 1, spring 1, Monday,5288,21.6
frame,lgw,Year 1, spring 1, Monday,5289,0.2
frame,lgw,Year 1, spring 1, Monday,5290,21.5
frame,lgw,Year 1, spring 1, Monday,5291,21.2
frame,lgw,Year 1, spring 1, Monday,5292,21.3
frame,lgw,Year 1, spring 1, Monday,5293,0.3
frame,lgw,Year 1, spring 1, Monday,5294,22.0
frame,lgw,Year 1, spring 1, Monday,5295,21.3
frame,lgw,Year 1, spring 1, Monday,5296,21.2
frame,lgw,Year 1, spring 1, Monday,5297,21.2
frame,lgw,Year 1, spring 1, Monday,5298,0.2
frame,lgw,Year 1, spring 1, Monday,5299,21.4
frame,lgw,Year 1, spring 1, Monday,5300,21.8
frame,lgw,Year 1, spring 1, Monday,5301,21.7
frame,lgw,Year 1, spring 1, Monday,5302,0.3
frame,lgw,Year 1, spring 1, Monday,5303,21.2
frame,lgw,Year 1, spring 1, Monday,5304,20.9
frame,lgw,Year 1, spring 1, Monday,5305,21.1
frame,lgw,Year 1, spring 1, Monday,5306,21.0
frame,lgw,Year 1, spring 1, Monday,5307,0.2
frame,lgw,Year 1, spring 1, Monday,5308,20.8
frame,lgw,Year 1, spring 1, Monday,5309,21.2
frame,lgw,Year 1, spring 1, Monday,5310,21.1
frame,lgw,Year 1, spring 1, Monday,5311,21.4
frame,lgw,Year 1, spring 1, Monday,5312,0.2
frame,lgw,Year 1, spring 1, Monday,5313,22.3
frame,lgw,Year 1, spring 1, Monday,5314,21.3
frame,lgw,Year 1, spring 1, Monday,5315,21.2
frame,lgw,Year 1, spring 1, Monday,5316,0.2
frame,lgw,Year 1, spring 1, Monday,5317,21.4
frame,lgw,Year 1, spring 1, Monday,5318,21.0
frame,lgw,Year 1, spring 1, Monday,5319,21.8
frame,lgw,Year 1, spring 1, Monday,5320,0.2
frame,lgw,Year 1, spring 1, Monday,5321,21.1
frame,lgw,Year 1, spring 1, Monday,5322,21.6
frame,lgw,Year 1, spring 1, Monday,5323,21.1
frame,lgw,Year 1, spring 1, Monday,5324,21.3
frame,lgw,Year 1, spring 1, Monday,5325,0.1
frame,lgw,Year 1, spring 1, Monday,5326,20.8
