kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,,Year 1, spring 0, Sunday,2,789.0
lag,,Year 1, spring 0, Sunday,7,52.6
lag,,Year 1, spring 0, Sunday,31,438.6
lag,,Year 1, spring 0, Sunday,88,85.4
lag,,Year 1, spring 0, Sunday,113,52.1
lag,,Year 1, spring 0, Sunday,247,53.9
lag,,Year 1, spring 0, Sunday,276,55.8
lag,,Year 1, spring 0, Sunday,363,60.4
lag,,Year 1, spring 0, Sunday,392,66.6
lag,,Year 1, spring 0, Sunday,421,53.0
lag,,Year 1, spring 0, Sunday,450,63.3
lag,,Year 1, spring 0, Sunday,479,62.2
lag,,Year 1, spring 0, Sunday,508,55.8
lag,,Year 1, spring 0, Sunday,537,55.0
lag,,Year 1, spring 0, Sunday,566,58.8
lag,,Year 1, spring 0, Sunday,595,56.6
lag,,Year 1, spring 0, Sunday,624,60.4
lag,,Year 1, spring 0, Sunday,653,53.3
lag,,Year 1, spring 0, Sunday,682,68.5
lag,,Year 1, spring 0, Sunday,711,62.9
lag,,Year 1, spring 0, Sunday,740,62.4
lag,,Year 1, spring 0, Sunday,769,64.8
lag,,Year 1, spring 0, Sunday,798,58.7
lag,,Year 1, spring 0, Sunday,856,60.2
lag,,Year 1, spring 0, Sunday,885,65.4
lag,,Year 1, spring 0, Sunday,914,55.0
lag,,Year 1, spring 0, Sunday,943,81.5
lag,,Year 1, spring 0, Sunday,972,224.8
lag,,Year 1, spring 0, Sunday,1334,68.1
lag,,Year 1, spring 0, Sunday,1499,81.2
lag,,Year 1, spring 0, Sunday,1526,70.1
lag,,Year 1, spring 0, Sunday,1642,81.4
lag,,Year 1, spring 0, Sunday,1843,188.2
lag,,Year 1, spring 0, Sunday,1872,97.0
lag,,Year 1, spring 0, Sunday,1901,55.7
lag,,Year 1, spring 0, Sunday,1930,52.0
lag,,Year 1, spring 0, Sunday,1959,233.3
lag,,Year 1, spring 0, Sunday,1961,69.7
lag,,Year 1, spring 0, Sunday,1962,73.6
lag,,Year 1, spring 0, Sunday,1963,75.8
lag,,Year 1, spring 0, Sunday,1964,71.7
lag,,Year 1, spring 0, Sunday,2373,77.2
lag,,Year 1, spring 0, Sunday,2402,67.5
lag,,Year 1, spring 0, Sunday,2431,69.1
lag,,Year 1, spring 0, Sunday,2565,105.2
lag,,Year 1, spring 0, Sunday,2585,135.9
lag,,Year 1, spring 0, Sunday,2588,64.7
lag,,Year 1, spring 0, Sunday,2589,75.5
lag,,Year 1, spring 0, Sunday,2997,69.5
lag,,Year 1, spring 0, Sunday,3026,68.0
lag,,Year 1, spring 0, Sunday,3134,142.3
lag,,Year 1, spring 0, Sunday,3136,85.0
lag,,Year 1, spring 0, Sunday,3137,53.2
lag,,Year 1, spring 0, Sunday,3138,64.4
lag,,Year 1, spring 0, Sunday,3553,62.4
lag,,Year 1, spring 0, Sunday,3582,50.7
lag,,Year 1, spring 0, Sunday,3861,92.8
lag,,Year 1, spring 0, Sunday,3868,83.0
lag,,Year 1, spring 0, Sunday,4063,51.5
lag,,Year 1, spring 0, Sunday,4419,75.5
lag,,Year 1, spring 0, Sunday,4563,71.2
lag,,Year 1, spring 0, Sunday,4679,71.9
lag,,Year 1, spring 0, Sunday,4820,75.2
lag,,Year 1, spring 0, Sunday,4963,73.6
lag,,Year 1, spring 0, Sunday,5102,68.0
lag,,Year 1, spring 0, Sunday,5160,177.6
lag,,Year 1, spring 0, Sunday,5217,75.3
lag,,Year 1, spring 0, Sunday,5358,72.9
lag,,Year 1, spring 0, Sunday,5500,74.2
lag,,Year 1, spring 0, Sunday,5616,76.7
lag,,Year 1, spring 0, Sunday,5755,77.8
lag,,Year 1, spring 0, Sunday,5894,69.9
frame,,Year 1, spring 0, Sunday,5120,14.4
frame,,Year 1, spring 0, Sunday,5121,13.8
frame,,Year 1, spring 0, Sunday,5122,14.3
frame,,Year 1, spring 0, Sunday,5123,20.7
frame,,Year 1, spring 0, Sunday,5124,13.7
frame,,Year 1, spring 0, Sunday,5125,14.5
frame,,Year 1, spring 0, Sunday,5126,14.1
frame,,Year 1, spring 0, Sunday,5127,14.4
frame,,Year 1, spring 0, Sunday,5128,14.2
frame,,Year 1, spring 0, Sunday,5129,13.3
frame,,Year 1, spring 0, Sunday,5130,41.2
frame,,Year 1, spring 0, Sunday,5131,13.7
frame,,Year 1, spring 0, Sunday,5132,13.8
frame,,Year 1, spring 0, Sunday,5133,14.8
frame,,Year 1, spring 0, Sunday,5134,13.9
frame,,Year 1, spring 0, Sunday,5135,13.4
frame,,Year 1, spring 0, Sunday,5136,15.3
frame,,Year 1, spring 0, Sunday,5137,13.7
frame,,Year 1, spring 0, Sunday,5138,14.2
frame,,Year 1, spring 0, Sunday,5139,13.8
frame,,Year 1, spring 0, Sunday,5140,14.4
frame,,Year 1, spring 0, Sunday,5141,14.8
frame,,Year 1, spring 0, Sunday,5142,22.0
frame,,Year 1, spring 0, Sunday,5143,14.9
frame,,Year 1, spring 0, Sunday,5144,14.2
frame,,Year 1, spring 0, Sunday,5145,13.6
frame,,Year 1, spring 0, Sunday,5146,14.1
frame,,Year 1, spring 0, Sunday,5147,14.0
frame,,Year 1, spring 0, Sunday,5148,13.3
frame,,Year 1, spring 0, Sunday,5149,15.3
frame,,Year 1, spring 0, Sunday,5150,14.5
frame,,Year 1, spring 0, Sunday,5151,14.0
frame,,Year 1, spring 0, Sunday,5152,13.9
frame,,Year 1, spring 0, Sunday,5153,14.6
frame,,Year 1, spring 0, Sunday,5154,13.3
frame,,Year 1, spring 0, Sunday,5155,20.6
frame,,Year 1, spring 0, Sunday,5156,14.6
frame,,Year 1, spring 0, Sunday,5157,14.3
frame,,Year 1, spring 0, Sunday,5158,14.1
frame,,Year 1, spring 0, Sunday,5159,177.6
frame,,Year 1, spring 0, Sunday,5160,14.4
frame,,Year 1, spring 0, Sunday,5161,13.7
frame,,Year 1, spring 0, Sunday,5162,15.6
frame,,Year 1, spring 0, Sunday,5163,15.1
frame,,Year 1, spring 0, Sunday,5164,14.1
frame,,Year 1, spring 0, Sunday,5165,14.9
frame,,Year 1, spring 0, Sunday,5166,15.7
frame,,Year 1, spring 0, Sunday,5167,14.3
frame,,Year 1, spring 0, Sunday,5168,21.3
frame,,Year 1, spring 0, Sunday,5169,14.5
frame,,Year 1, spring 0, Sunday,5170,13.7
frame,,Year 1, spring 0, Sunday,5171,14.0
frame,,Year 1, spring 0, Sunday,5172,14.1
