kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 1, spring 24, Wednesday,610,72.0
switch,lgw,Year 1, spring 24, Wednesday,620,18.5
switch,lgw,Year 1, spring 24, Wednesday,630,18.5
switch,lgw,Year 1, spring 24, Wednesday,640,17.9
switchdetail,lgw,Year 1, spring 24, Wednesday,600,0,0.0
switchdetail,lgw,Year 1, spring 24, Wednesday,610,0,0.0
switchdetail,lgw,Year 1, spring 24, Wednesday,620,0,0.0
switchdetail,lgw,Year 1, spring 24, Wednesday,630,0,0.0
lag,lgw,Year 1, spring 24, Wednesday,2,241.8
lag,lgw,Year 1, spring 24, Wednesday,7,58.7
lag,lgw,Year 1, spring 24, Wednesday,23,338.1
lag,lgw,Year 1, spring 24, Wednesday,53,64.3
lag,lgw,Year 1, spring 24, Wednesday,68,60.1
lag,lgw,Year 1, spring 24, Wednesday,1720,133.5
lag,lgw,Year 1, spring 24, Wednesday,1879,641.3
lag,lgw,Year 1, spring 24, Wednesday,1909,104.1
lag,lgw,Year 1, spring 24, Wednesday,2166,3721.7
lag,lgw,Year 1, spring 24, Wednesday,2167,118.7
lag,lgw,Year 1, spring 24, Wednesday,2170,98.3
lag,lgw,Year 1, spring 24, Wednesday,2874,56.3
lag,lgw,Year 1, spring 24, Wednesday,2875,90.6
lag,lgw,Year 1, spring 24, Wednesday,2932,72.0
lag,lgw,Year 1, spring 24, Wednesday,4981,74.5
lag,lgw,Year 1, spring 24, Wednesday,5060,72.7
lag,lgw,Year 1, spring 24, Wednesday,5162,96.9
lag,lgw,Year 1, spring 24, Wednesday,5178,75.8
lag,lgw,Year 1, spring 24, Wednesday,5523,602.1
frame,lgw,Year 1, spring 24, Wednesday,5120,22.4
frame,lgw,Year 1, spring 24, Wednesday,5121,22.8
frame,lgw,Year 1, spring 24, Wednesday,5122,1.1
frame,lgw,Year 1, spring 24, Wednesday,5123,21.8
frame,lgw,Year 1, spring 24, Wednesday,5124,24.8
frame,lgw,Year 1, spring 24, Wednesday,5125,22.4
frame,lgw,Year 1, spring 24, Wednesday,5126,4.4
frame,lgw,Year 1, spring 24, Wednesday,5127,22.5
frame,lgw,Year 1, spring 24, Wednesday,5128,23.3
frame,lgw,Year 1, spring 24, Wednesday,5129,1.8
frame,lgw,Year 1, spring 24, Wednesday,5130,22.4
frame,lgw,Year 1, spring 24, Wednesday,5131,24.9
frame,lgw,Year 1, spring 24, Wednesday,5132,2.5
frame,lgw,Year 1, spring 24, Wednesday,5133,26.2
frame,lgw,Year 1, spring 24, Wednesday,5134,21.6
frame,lgw,Year 1, spring 24, Wednesday,5135,1.7
frame,lgw,Year 1, spring 24, Wednesday,5136,24.3
frame,lgw,Year 1, spring 24, Wednesday,5137,23.4
frame,lgw,Year 1, spring 24, Wednesday,5138,0.8
frame,lgw,Year 1, spring 24, Wednesday,5139,24.5
frame,lgw,Year 1, spring 24, Wednesday,5140,23.1
frame,lgw,Year 1, spring 24, Wednesday,5141,3.9
frame,lgw,Year 1, spring 24, Wednesday,5142,23.1
frame,lgw,Year 1, spring 24, Wednesday,5143,26.7
frame,lgw,Year 1, spring 24, Wednesday,5144,1.3
frame,lgw,Year 1, spring 24, Wednesday,5145,23.2
frame,lgw,Year 1, spring 24, Wednesday,5146,23.9
frame,lgw,Year 1, spring 24, Wednesday,5147,1.4
frame,lgw,Year 1, spring 24, Wednesday,5148,24.1
frame,lgw,Year 1, spring 24, Wednesday,5149,21.9
frame,lgw,Year 1, spring 24, Wednesday,5150,1.3
frame,lgw,Year 1, spring 24, Wednesday,5151,24.2
frame,lgw,Year 1, spring 24, Wednesday,5152,22.2
frame,lgw,Year 1, spring 24, Wednesday,5153,23.4
frame,lgw,Year 1, spring 24, Wednesday,5154,1.1
frame,lgw,Year 1, spring 24, Wednesday,5155,22.0
frame,lgw,Year 1, spring 24, Wednesday,5156,24.5
frame,lgw,Year 1, spring 24, Wednesday,5157,2.0
frame,lgw,Year 1, spring 24, Wednesday,5158,24.1
frame,lgw,Year 1, spring 24, Wednesday,5159,21.3
frame,lgw,Year 1, spring 24, Wednesday,5160,6.5
frame,lgw,Year 1, spring 24, Wednesday,5161,96.9
frame,lgw,Year 1, spring 24, Wednesday,5162,0.9
frame,lgw,Year 1, spring 24, Wednesday,5163,0.6
frame,lgw,Year 1, spring 24, Wednesday,5164,0.7
frame,lgw,Year 1, spring 24, Wednesday,5165,0.5
frame,lgw,Year 1, spring 24, Wednesday,5166,1.3
frame,lgw,Year 1, spring 24, Wednesday,5167,8.8
frame,lgw,Year 1, spring 24, Wednesday,5168,17.1
frame,lgw,Year 1, spring 24, Wednesday,5169,18.4
frame,lgw,Year 1, spring 24, Wednesday,5170,14.5
