kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 1, spring 5, Friday,610,73.2
switch,lgw,Year 1, spring 5, Friday,620,21.5
switch,lgw,Year 1, spring 5, Friday,630,19.4
switch,lgw,Year 1, spring 5, Friday,640,30.7
switch,lgw,Year 1, spring 5, Friday,650,17.1
switch,lgw,Year 1, spring 5, Friday,700,21.6
switchdetail,lgw,Year 1, spring 5, Friday,600,0,0.0
switchdetail,lgw,Year 1, spring 5, Friday,610,0,0.0
switchdetail,lgw,Year 1, spring 5, Friday,620,0,0.0
switchdetail,lgw,Year 1, spring 5, Friday,630,0,0.0
switchdetail,lgw,Year 1, spring 5, Friday,640,0,0.0
switchdetail,lgw,Year 1, spring 5, Friday,650,0,0.0
lag,lgw,Year 1, spring 5, Friday,2,187.9
lag,lgw,Year 1, spring 5, Friday,30,260.9
lag,lgw,Year 1, spring 5, Friday,56,58.0
lag,lgw,Year 1, spring 5, Friday,60,102.0
lag,lgw,Year 1, spring 5, Friday,65,77.4
lag,lgw,Year 1, spring 5, Friday,755,119.6
lag,lgw,Year 1, spring 5, Friday,783,108.0
lag,lgw,Year 1, spring 5, Friday,1152,111.1
lag,lgw,Year 1, spring 5, Friday,1281,576.0
lag,lgw,Year 1, spring 5, Friday,1311,75.3
lag,lgw,Year 1, spring 5, Friday,2099,3492.6
lag,lgw,Year 1, spring 5, Friday,2100,115.7
lag,lgw,Year 1, spring 5, Friday,2172,124.3
lag,lgw,Year 1, spring 5, Friday,2342,57.5
lag,lgw,Year 1, spring 5, Friday,2343,94.0
lag,lgw,Year 1, spring 5, Friday,2433,73.2
lag,lgw,Year 1, spring 5, Friday,2810,114.1
frame,lgw,Year 1, spring 5, Friday,3072,16.7
frame,lgw,Year 1, spring 5, Friday,3073,16.7
frame,lgw,Year 1, spring 5, Friday,3074,16.7
frame,lgw,Year 1, spring 5, Friday,3075,16.7
frame,lgw,Year 1, spring 5, Friday,3076,16.8
frame,lgw,Year 1, spring 5, Friday,3077,16.6
frame,lgw,Year 1, spring 5, Friday,3078,16.7
frame,lgw,Year 1, spring 5, Friday,3079,16.7
frame,lgw,Year 1, spring 5, Friday,3080,16.8
frame,lgw,Year 1, spring 5, Friday,3081,16.5
frame,lgw,Year 1, spring 5, Friday,3082,16.7
frame,lgw,Year 1, spring 5, Friday,3083,16.6
frame,lgw,Year 1, spring 5, Friday,3084,16.6
frame,lgw,Year 1, spring 5, Friday,3085,20.1
frame,lgw,Year 1, spring 5, Friday,3086,17.2
frame,lgw,Year 1, spring 5, Friday,3087,16.5
frame,lgw,Year 1, spring 5, Friday,3088,12.9
frame,lgw,Year 1, spring 5, Friday,3089,16.7
frame,lgw,Year 1, spring 5, Friday,3090,16.6
frame,lgw,Year 1, spring 5, Friday,3091,16.7
frame,lgw,Year 1, spring 5, Friday,3092,16.7
frame,lgw,Year 1, spring 5, Friday,3093,16.7
frame,lgw,Year 1, spring 5, Friday,3094,16.7
frame,lgw,Year 1, spring 5, Friday,3095,16.6
frame,lgw,Year 1, spring 5, Friday,3096,16.9
frame,lgw,Year 1, spring 5, Friday,3097,16.5
frame,lgw,Year 1, spring 5, Friday,3098,16.6
frame,lgw,Year 1, spring 5, Friday,3099,16.7
frame,lgw,Year 1, spring 5, Friday,3100,16.7
frame,lgw,Year 1, spring 5, Friday,3101,16.7
frame,lgw,Year 1, spring 5, Friday,3102,16.6
