kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 8, Monday,4174,16.7
frame,lgw,Year 1, spring 8, Monday,4175,16.7
frame,lgw,Year 1, spring 8, Monday,4176,16.8
frame,lgw,Year 1, spring 8, Monday,4177,16.5
frame,lgw,Year 1, spring 8, Monday,4178,16.7
frame,lgw,Year 1, spring 8, Monday,4179,16.7
frame,lgw,Year 1, spring 8, Monday,4180,16.7
frame,lgw,Year 1, spring 8, Monday,4181,16.7
frame,lgw,Year 1, spring 8, Monday,4182,16.5
frame,lgw,Year 1, spring 8, Monday,4183,17.1
frame,lgw,Year 1, spring 8, Monday,4184,16.4
frame,lgw,Year 1, spring 8, Monday,4185,17.5
frame,lgw,Year 1, spring 8, Monday,4186,15.9
frame,lgw,Year 1, spring 8, Monday,4187,16.5
frame,lgw,Year 1, spring 8, Monday,4188,16.8
frame,lgw,Year 1, spring 8, Monday,4189,16.6
frame,lgw,Year 1, spring 8, Monday,4190,16.6
frame,lgw,Year 1, spring 8, Monday,4191,16.6
frame,lgw,Year 1, spring 8, Monday,4192,16.7
frame,lgw,Year 1, spring 8, Monday,4193,16.7
frame,lgw,Year 1, spring 8, Monday,4194,19.3
frame,lgw,Year 1, spring 8, Monday,4195,14.1
frame,lgw,Year 1, spring 8, Monday,4196,16.6
frame,lgw,Year 1, spring 8, Monday,4197,16.7
frame,lgw,Year 1, spring 8, Monday,4198,16.6
frame,lgw,Year 1, spring 8, Monday,4199,16.6
frame,lgw,Year 1, spring 8, Monday,4200,19.6
frame,lgw,Year 1, spring 8, Monday,4201,13.7
frame,lgw,Year 1, spring 8, Monday,4202,16.6
frame,lgw,Year 1, spring 8, Monday,4203,16.9
frame,lgw,Year 1, spring 8, Monday,4204,16.5
frame,lgw,Year 1, spring 8, Monday,4205,18.1
frame,lgw,Year 1, spring 8, Monday,4206,16.2
frame,lgw,Year 1, spring 8, Monday,4207,16.3
frame,lgw,Year 1, spring 8, Monday,4208,16.0
frame,lgw,Year 1, spring 8, Monday,4209,16.6
frame,lgw,Year 1, spring 8, Monday,4210,16.7
frame,lgw,Year 1, spring 8, Monday,4211,16.6
frame,lgw,Year 1, spring 8, Monday,4212,16.8
frame,lgw,Year 1, spring 8, Monday,4213,16.7
frame,lgw,Year 1, spring 8, Monday,4214,16.6
frame,lgw,Year 1, spring 8, Monday,4215,16.6
frame,lgw,Year 1, spring 8, Monday,4216,16.7
frame,lgw,Year 1, spring 8, Monday,4217,16.7
frame,lgw,Year 1, spring 8, Monday,4218,16.9
frame,lgw,Year 1, spring 8, Monday,4219,16.8
frame,lgw,Year 1, spring 8, Monday,4220,16.4
frame,lgw,Year 1, spring 8, Monday,4221,16.7
frame,lgw,Year 1, spring 8, Monday,4222,16.6
frame,lgw,Year 1, spring 8, Monday,4223,16.6
frame,lgw,Year 1, spring 8, Monday,4224,16.8
frame,lgw,Year 1, spring 8, Monday,4225,16.7
frame,lgw,Year 1, spring 8, Monday,4226,16.6
frame,lgw,Year 1, spring 8, Monday,4227,16.9
frame,lgw,Year 1, spring 8, Monday,4228,17.2
frame,lgw,Year 1, spring 8, Monday,4229,15.9
frame,lgw,Year 1, spring 8, Monday,4230,16.6
frame,lgw,Year 1, spring 8, Monday,4231,16.6
frame,lgw,Year 1, spring 8, Monday,4232,16.7
frame,lgw,Year 1, spring 8, Monday,4233,16.7
frame,lgw,Year 1, spring 8, Monday,4234,16.5
frame,lgw,Year 1, spring 8, Monday,4235,16.7
frame,lgw,Year 1, spring 8, Monday,4236,16.7
frame,lgw,Year 1, spring 8, Monday,4237,16.6
frame,lgw,Year 1, spring 8, Monday,4238,16.7
frame,lgw,Year 1, spring 8, Monday,4239,16.7
frame,lgw,Year 1, spring 8, Monday,4240,16.7
frame,lgw,Year 1, spring 8, Monday,4241,16.7
frame,lgw,Year 1, spring 8, Monday,4242,16.6
frame,lgw,Year 1, spring 8, Monday,4243,16.6
frame,lgw,Year 1, spring 8, Monday,4244,17.2
frame,lgw,Year 1, spring 8, Monday,4245,16.0
frame,lgw,Year 1, spring 8, Monday,4246,16.7
frame,lgw,Year 1, spring 8, Monday,4247,17.0
frame,lgw,Year 1, spring 8, Monday,4248,16.4
frame,lgw,Year 1, spring 8, Monday,4249,16.7
frame,lgw,Year 1, spring 8, Monday,4250,16.7
frame,lgw,Year 1, spring 8, Monday,4251,16.5
frame,lgw,Year 1, spring 8, Monday,4252,16.7
frame,lgw,Year 1, spring 8, Monday,4253,16.7
frame,lgw,Year 1, spring 8, Monday,4254,16.7
frame,lgw,Year 1, spring 8, Monday,4255,16.8
frame,lgw,Year 1, spring 8, Monday,4256,16.6
frame,lgw,Year 1, spring 8, Monday,4257,16.6
frame,lgw,Year 1, spring 8, Monday,4258,16.6
frame,lgw,Year 1, spring 8, Monday,4259,16.8
frame,lgw,Year 1, spring 8, Monday,4260,16.7
frame,lgw,Year 1, spring 8, Monday,4261,16.6
frame,lgw,Year 1, spring 8, Monday,4262,16.6
frame,lgw,Year 1, spring 8, Monday,4263,16.7
frame,lgw,Year 1, spring 8, Monday,4264,16.6
frame,lgw,Year 1, spring 8, Monday,4265,18.2
frame,lgw,Year 1, spring 8, Monday,4266,15.3
frame,lgw,Year 1, spring 8, Monday,4267,16.6
frame,lgw,Year 1, spring 8, Monday,4268,16.6
frame,lgw,Year 1, spring 8, Monday,4269,17.9
frame,lgw,Year 1, spring 8, Monday,4270,16.4
frame,lgw,Year 1, spring 8, Monday,4271,15.5
frame,lgw,Year 1, spring 8, Monday,4272,16.8
frame,lgw,Year 1, spring 8, Monday,4273,16.8
frame,lgw,Year 1, spring 8, Monday,4274,16.5
frame,lgw,Year 1, spring 8, Monday,4275,16.7
frame,lgw,Year 1, spring 8, Monday,4276,16.7
frame,lgw,Year 1, spring 8, Monday,4277,17.8
frame,lgw,Year 1, spring 8, Monday,4278,16.5
frame,lgw,Year 1, spring 8, Monday,4279,15.9
frame,lgw,Year 1, spring 8, Monday,4280,16.4
frame,lgw,Year 1, spring 8, Monday,4281,16.7
frame,lgw,Year 1, spring 8, Monday,4282,16.6
frame,lgw,Year 1, spring 8, Monday,4283,16.7
frame,lgw,Year 1, spring 8, Monday,4284,17.6
frame,lgw,Year 1, spring 8, Monday,4285,15.8
frame,lgw,Year 1, spring 8, Monday,4286,16.8
frame,lgw,Year 1, spring 8, Monday,4287,16.8
frame,lgw,Year 1, spring 8, Monday,4288,16.6
frame,lgw,Year 1, spring 8, Monday,4289,16.3
frame,lgw,Year 1, spring 8, Monday,4290,16.8
frame,lgw,Year 1, spring 8, Monday,4291,16.6
frame,lgw,Year 1, spring 8, Monday,4292,16.8
frame,lgw,Year 1, spring 8, Monday,4293,16.5
frame,lgw,Year 1, spring 8, Monday,4294,16.6
frame,lgw,Year 1, spring 8, Monday,4295,16.7
frame,lgw,Year 1, spring 8, Monday,4296,16.7
frame,lgw,Year 1, spring 8, Monday,4297,16.7
frame,lgw,Year 1, spring 8, Monday,4298,16.7
frame,lgw,Year 1, spring 8, Monday,4299,16.7
frame,lgw,Year 1, spring 8, Monday,4300,16.6
frame,lgw,Year 1, spring 8, Monday,4301,16.6
frame,lgw,Year 1, spring 8, Monday,4302,16.8
frame,lgw,Year 1, spring 8, Monday,4303,16.6
frame,lgw,Year 1, spring 8, Monday,4304,16.7
frame,lgw,Year 1, spring 8, Monday,4305,16.7
frame,lgw,Year 1, spring 8, Monday,4306,17.2
frame,lgw,Year 1, spring 8, Monday,4307,16.5
frame,lgw,Year 1, spring 8, Monday,4308,16.4
frame,lgw,Year 1, spring 8, Monday,4309,16.7
frame,lgw,Year 1, spring 8, Monday,4310,16.6
frame,lgw,Year 1, spring 8, Monday,4311,16.6
frame,lgw,Year 1, spring 8, Monday,4312,17.2
frame,lgw,Year 1, spring 8, Monday,4313,16.2
frame,lgw,Year 1, spring 8, Monday,4314,16.6
frame,lgw,Year 1, spring 8, Monday,4315,16.7
frame,lgw,Year 1, spring 8, Monday,4316,16.7
frame,lgw,Year 1, spring 8, Monday,4317,16.6
frame,lgw,Year 1, spring 8, Monday,4318,16.7
frame,lgw,Year 1, spring 8, Monday,4319,17.2
frame,lgw,Year 1, spring 8, Monday,4320,16.3
frame,lgw,Year 1, spring 8, Monday,4321,16.5
frame,lgw,Year 1, spring 8, Monday,4322,16.7
frame,lgw,Year 1, spring 8, Monday,4323,16.7
frame,lgw,Year 1, spring 8, Monday,4324,16.6
frame,lgw,Year 1, spring 8, Monday,4325,20.8
frame,lgw,Year 1, spring 8, Monday,4326,12.8
frame,lgw,Year 1, spring 8, Monday,4327,16.4
frame,lgw,Year 1, spring 8, Monday,4328,16.7
frame,lgw,Year 1, spring 8, Monday,4329,16.7
frame,lgw,Year 1, spring 8, Monday,4330,16.6
frame,lgw,Year 1, spring 8, Monday,4331,16.8
frame,lgw,Year 1, spring 8, Monday,4332,16.6
frame,lgw,Year 1, spring 8, Monday,4333,16.6
frame,lgw,Year 1, spring 8, Monday,4334,16.7
frame,lgw,Year 1, spring 8, Monday,4335,16.7
frame,lgw,Year 1, spring 8, Monday,4336,16.6
frame,lgw,Year 1, spring 8, Monday,4337,16.6
frame,lgw,Year 1, spring 8, Monday,4338,16.7
frame,lgw,Year 1, spring 8, Monday,4339,17.2
frame,lgw,Year 1, spring 8, Monday,4340,16.2
frame,lgw,Year 1, spring 8, Monday,4341,16.7
frame,lgw,Year 1, spring 8, Monday,4342,16.7
frame,lgw,Year 1, spring 8, Monday,4343,16.6
frame,lgw,Year 1, spring 8, Monday,4344,16.7
frame,lgw,Year 1, spring 8, Monday,4345,16.6
frame,lgw,Year 1, spring 8, Monday,4346,16.6
frame,lgw,Year 1, spring 8, Monday,4347,16.7
frame,lgw,Year 1, spring 8, Monday,4348,16.6
frame,lgw,Year 1, spring 8, Monday,4349,16.7
frame,lgw,Year 1, spring 8, Monday,4350,16.7
frame,lgw,Year 1, spring 8, Monday,4351,16.6
frame,lgw,Year 1, spring 8, Monday,4352,16.8
frame,lgw,Year 1, spring 8, Monday,4353,16.7
frame,lgw,Year 1, spring 8, Monday,4354,16.5
frame,lgw,Year 1, spring 8, Monday,4355,16.7
frame,lgw,Year 1, spring 8, Monday,4356,16.6
frame,lgw,Year 1, spring 8, Monday,4357,16.7
frame,lgw,Year 1, spring 8, Monday,4358,16.6
frame,lgw,Year 1, spring 8, Monday,4359,16.7
frame,lgw,Year 1, spring 8, Monday,4360,16.7
frame,lgw,Year 1, spring 8, Monday,4361,16.6
frame,lgw,Year 1, spring 8, Monday,4362,16.7
frame,lgw,Year 1, spring 8, Monday,4363,16.7
frame,lgw,Year 1, spring 8, Monday,4364,16.8
frame,lgw,Year 1, spring 8, Monday,4365,16.7
frame,lgw,Year 1, spring 8, Monday,4366,16.6
frame,lgw,Year 1, spring 8, Monday,4367,16.6
frame,lgw,Year 1, spring 8, Monday,4368,16.8
frame,lgw,Year 1, spring 8, Monday,4369,16.7
frame,lgw,Year 1, spring 8, Monday,4370,17.2
frame,lgw,Year 1, spring 8, Monday,4371,16.3
frame,lgw,Year 1, spring 8, Monday,4372,16.4
frame,lgw,Year 1, spring 8, Monday,4373,16.6
frame,lgw,Year 1, spring 8, Monday,4374,16.7
frame,lgw,Year 1, spring 8, Monday,4375,16.9
frame,lgw,Year 1, spring 8, Monday,4376,16.4
frame,lgw,Year 1, spring 8, Monday,4377,16.8
frame,lgw,Year 1, spring 8, Monday,4378,16.6
frame,lgw,Year 1, spring 8, Monday,4379,16.7
frame,lgw,Year 1, spring 8, Monday,4380,16.7
frame,lgw,Year 1, spring 8, Monday,4381,16.7
frame,lgw,Year 1, spring 8, Monday,4382,16.7
frame,lgw,Year 1, spring 8, Monday,4383,16.6
frame,lgw,Year 1, spring 8, Monday,4384,16.6
frame,lgw,Year 1, spring 8, Monday,4385,16.7
frame,lgw,Year 1, spring 8, Monday,4386,16.6
frame,lgw,Year 1, spring 8, Monday,4387,16.8
frame,lgw,Year 1, spring 8, Monday,4388,16.5
frame,lgw,Year 1, spring 8, Monday,4389,16.7
frame,lgw,Year 1, spring 8, Monday,4390,16.6
frame,lgw,Year 1, spring 8, Monday,4391,16.6
frame,lgw,Year 1, spring 8, Monday,4392,16.8
frame,lgw,Year 1, spring 8, Monday,4393,16.6
frame,lgw,Year 1, spring 8, Monday,4394,16.7
frame,lgw,Year 1, spring 8, Monday,4395,16.7
frame,lgw,Year 1, spring 8, Monday,4396,16.7
frame,lgw,Year 1, spring 8, Monday,4397,16.7
frame,lgw,Year 1, spring 8, Monday,4398,16.7
frame,lgw,Year 1, spring 8, Monday,4399,17.4
frame,lgw,Year 1, spring 8, Monday,4400,15.9
frame,lgw,Year 1, spring 8, Monday,4401,17.2
frame,lgw,Year 1, spring 8, Monday,4402,16.1
frame,lgw,Year 1, spring 8, Monday,4403,16.8
frame,lgw,Year 1, spring 8, Monday,4404,16.6
frame,lgw,Year 1, spring 8, Monday,4405,16.7
frame,lgw,Year 1, spring 8, Monday,4406,16.6
frame,lgw,Year 1, spring 8, Monday,4407,16.8
frame,lgw,Year 1, spring 8, Monday,4408,16.6
frame,lgw,Year 1, spring 8, Monday,4409,17.5
frame,lgw,Year 1, spring 8, Monday,4410,15.8
frame,lgw,Year 1, spring 8, Monday,4411,16.7
frame,lgw,Year 1, spring 8, Monday,4412,16.7
frame,lgw,Year 1, spring 8, Monday,4413,16.6
