kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,,Year 1, spring 0, Sunday,2,320.8
lag,,Year 1, spring 0, Sunday,7,66.3
lag,,Year 1, spring 0, Sunday,31,424.3
lag,,Year 1, spring 0, Sunday,62,63.9
lag,,Year 1, spring 0, Sunday,102,208.9
lag,,Year 1, spring 0, Sunday,276,75.7
lag,,Year 1, spring 0, Sunday,319,86.8
lag,,Year 1, spring 0, Sunday,615,76.1
frame,,Year 1, spring 0, Sunday,5120,20.8
frame,,Year 1, spring 0, Sunday,5121,0.0
frame,,Year 1, spring 0, Sunday,5122,20.7
frame,,Year 1, spring 0, Sunday,5123,20.6
frame,,Year 1, spring 0, Sunday,5124,21.3
frame,,Year 1, spring 0, Sunday,5125,20.6
frame,,Year 1, spring 0, Sunday,5126,0.0
frame,,Year 1, spring 0, Sunday,5127,20.8
frame,,Year 1, spring 0, Sunday,5128,21.0
frame,,Year 1, spring 0, Sunday,5129,20.6
frame,,Year 1, spring 0, Sunday,5130,20.6
frame,,Year 1, spring 0, Sunday,5131,0.1
frame,,Year 1, spring 0, Sunday,5132,21.5
frame,,Year 1, spring 0, Sunday,5133,20.6
frame,,Year 1, spring 0, Sunday,5134,20.7
frame,,Year 1, spring 0, Sunday,5135,20.7
frame,,Year 1, spring 0, Sunday,5136,0.0
frame,,Year 1, spring 0, Sunday,5137,20.5
frame,,Year 1, spring 0, Sunday,5138,20.9
frame,,Year 1, spring 0, Sunday,5139,21.1
frame,,Year 1, spring 0, Sunday,5140,20.6
frame,,Year 1, spring 0, Sunday,5141,0.0
frame,,Year 1, spring 0, Sunday,5142,20.7
frame,,Year 1, spring 0, Sunday,5143,20.7
frame,,Year 1, spring 0, Sunday,5144,21.0
frame,,Year 1, spring 0, Sunday,5145,20.5
frame,,Year 1, spring 0, Sunday,5146,0.0
frame,,Year 1, spring 0, Sunday,5147,20.4
frame,,Year 1, spring 0, Sunday,5148,20.4
frame,,Year 1, spring 0, Sunday,5149,20.8
frame,,Year 1, spring 0, Sunday,5150,22.0
frame,,Year 1, spring 0, Sunday,5151,21.0
frame,,Year 1, spring 0, Sunday,5152,0.0
frame,,Year 1, spring 0, Sunday,5153,20.8
frame,,Year 1, spring 0, Sunday,5154,20.7
frame,,Year 1, spring 0, Sunday,5155,20.5
frame,,Year 1, spring 0, Sunday,5156,0.1
frame,,Year 1, spring 0, Sunday,5157,20.6
frame,,Year 1, spring 0, Sunday,5158,21.2
frame,,Year 1, spring 0, Sunday,5159,20.8
frame,,Year 1, spring 0, Sunday,5160,20.5
frame,,Year 1, spring 0, Sunday,5161,0.1
frame,,Year 1, spring 0, Sunday,5162,21.5
frame,,Year 1, spring 0, Sunday,5163,20.4
frame,,Year 1, spring 0, Sunday,5164,20.7
frame,,Year 1, spring 0, Sunday,5165,20.9
frame,,Year 1, spring 0, Sunday,5166,0.0
frame,,Year 1, spring 0, Sunday,5167,20.4
frame,,Year 1, spring 0, Sunday,5168,20.8
frame,,Year 1, spring 0, Sunday,5169,21.2
frame,,Year 1, spring 0, Sunday,5170,20.5
frame,,Year 1, spring 0, Sunday,5171,20.7
frame,,Year 1, spring 0, Sunday,5172,0.0
frame,,Year 1, spring 0, Sunday,5173,20.8
frame,,Year 1, spring 0, Sunday,5174,20.4
frame,,Year 1, spring 0, Sunday,5175,20.5
frame,,Year 1, spring 0, Sunday,5176,21.1
frame,,Year 1, spring 0, Sunday,5177,0.0
frame,,Year 1, spring 0, Sunday,5178,20.5
frame,,Year 1, spring 0, Sunday,5179,20.7
frame,,Year 1, spring 0, Sunday,5180,21.3
frame,,Year 1, spring 0, Sunday,5181,21.7
frame,,Year 1, spring 0, Sunday,5182,0.1
frame,,Year 1, spring 0, Sunday,5183,20.5
frame,,Year 1, spring 0, Sunday,5184,21.7
frame,,Year 1, spring 0, Sunday,5185,20.5
frame,,Year 1, spring 0, Sunday,5186,0.0
frame,,Year 1, spring 0, Sunday,5187,20.6
frame,,Year 1, spring 0, Sunday,5188,20.5
frame,,Year 1, spring 0, Sunday,5189,20.8
frame,,Year 1, spring 0, Sunday,5190,20.5
frame,,Year 1, spring 0, Sunday,5191,22.4
frame,,Year 1, spring 0, Sunday,5192,0.1
frame,,Year 1, spring 0, Sunday,5193,21.2
frame,,Year 1, spring 0, Sunday,5194,21.3
frame,,Year 1, spring 0, Sunday,5195,20.4
frame,,Year 1, spring 0, Sunday,5196,0.0
frame,,Year 1, spring 0, Sunday,5197,21.3
frame,,Year 1, spring 0, Sunday,5198,21.3
frame,,Year 1, spring 0, Sunday,5199,21.2
frame,,Year 1, spring 0, Sunday,5200,20.9
frame,,Year 1, spring 0, Sunday,5201,0.0
frame,,Year 1, spring 0, Sunday,5202,20.6
frame,,Year 1, spring 0, Sunday,5203,20.7
frame,,Year 1, spring 0, Sunday,5204,20.9
frame,,Year 1, spring 0, Sunday,5205,20.9
frame,,Year 1, spring 0, Sunday,5206,0.1
frame,,Year 1, spring 0, Sunday,5207,20.9
frame,,Year 1, spring 0, Sunday,5208,20.6
frame,,Year 1, spring 0, Sunday,5209,20.7
frame,,Year 1, spring 0, Sunday,5210,20.7
frame,,Year 1, spring 0, Sunday,5211,0.0
frame,,Year 1, spring 0, Sunday,5212,20.4
frame,,Year 1, spring 0, Sunday,5213,20.8
frame,,Year 1, spring 0, Sunday,5214,20.7
frame,,Year 1, spring 0, Sunday,5215,20.7
frame,,Year 1, spring 0, Sunday,5216,0.0
frame,,Year 1, spring 0, Sunday,5217,20.6
frame,,Year 1, spring 0, Sunday,5218,20.7
frame,,Year 1, spring 0, Sunday,5219,20.6
frame,,Year 1, spring 0, Sunday,5220,20.5
frame,,Year 1, spring 0, Sunday,5221,0.1
frame,,Year 1, spring 0, Sunday,5222,21.1
frame,,Year 1, spring 0, Sunday,5223,21.1
frame,,Year 1, spring 0, Sunday,5224,20.6
frame,,Year 1, spring 0, Sunday,5225,20.5
frame,,Year 1, spring 0, Sunday,5226,0.0
frame,,Year 1, spring 0, Sunday,5227,21.2
frame,,Year 1, spring 0, Sunday,5228,20.5
frame,,Year 1, spring 0, Sunday,5229,20.4
frame,,Year 1, spring 0, Sunday,5230,20.7
frame,,Year 1, spring 0, Sunday,5231,0.0
frame,,Year 1, spring 0, Sunday,5232,20.8
frame,,Year 1, spring 0, Sunday,5233,20.4
frame,,Year 1, spring 0, Sunday,5234,20.7
frame,,Year 1, spring 0, Sunday,5235,20.9
frame,,Year 1, spring 0, Sunday,5236,20.6
frame,,Year 1, spring 0, Sunday,5237,0.0
frame,,Year 1, spring 0, Sunday,5238,20.4
frame,,Year 1, spring 0, Sunday,5239,20.6
frame,,Year 1, spring 0, Sunday,5240,21.3
frame,,Year 1, spring 0, Sunday,5241,20.7
frame,,Year 1, spring 0, Sunday,5242,0.0
frame,,Year 1, spring 0, Sunday,5243,20.7
frame,,Year 1, spring 0, Sunday,5244,20.3
frame,,Year 1, spring 0, Sunday,5245,20.3
frame,,Year 1, spring 0, Sunday,5246,20.4
frame,,Year 1, spring 0, Sunday,5247,0.0
frame,,Year 1, spring 0, Sunday,5248,20.6
frame,,Year 1, spring 0, Sunday,5249,20.8
frame,,Year 1, spring 0, Sunday,5250,21.0
frame,,Year 1, spring 0, Sunday,5251,20.5
frame,,Year 1, spring 0, Sunday,5252,0.0
frame,,Year 1, spring 0, Sunday,5253,20.6
frame,,Year 1, spring 0, Sunday,5254,21.2
frame,,Year 1, spring 0, Sunday,5255,20.8
frame,,Year 1, spring 0, Sunday,5256,20.7
frame,,Year 1, spring 0, Sunday,5257,0.0
frame,,Year 1, spring 0, Sunday,5258,20.5
frame,,Year 1, spring 0, Sunday,5259,21.1
frame,,Year 1, spring 0, Sunday,5260,20.5
frame,,Year 1, spring 0, Sunday,5261,20.5
frame,,Year 1, spring 0, Sunday,5262,0.0
frame,,Year 1, spring 0, Sunday,5263,20.4
frame,,Year 1, spring 0, Sunday,5264,20.5
frame,,Year 1, spring 0, Sunday,5265,20.6
frame,,Year 1, spring 0, Sunday,5266,20.6
frame,,Year 1, spring 0, Sunday,5267,20.3
frame,,Year 1, spring 0, Sunday,5268,0.0
frame,,Year 1, spring 0, Sunday,5269,20.5
frame,,Year 1, spring 0, Sunday,5270,20.7
frame,,Year 1, spring 0, Sunday,5271,21.1
frame,,Year 1, spring 0, Sunday,5272,20.5
frame,,Year 1, spring 0, Sunday,5273,0.0
frame,,Year 1, spring 0, Sunday,5274,20.3
