kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,lgw,Year 1, spring 1, Monday,2,3314.6
lag,lgw,Year 1, spring 1, Monday,21,367.7
lag,lgw,Year 1, spring 1, Monday,124,70.9
lag,lgw,Year 1, spring 1, Monday,620,97.9
lag,lgw,Year 1, spring 1, Monday,5636,55.9
frame,lgw,Year 1, spring 1, Monday,5120,20.9
frame,lgw,Year 1, spring 1, Monday,5121,21.7
frame,lgw,Year 1, spring 1, Monday,5122,0.2
frame,lgw,Year 1, spring 1, Monday,5123,21.1
frame,lgw,Year 1, spring 1, Monday,5124,21.3
frame,lgw,Year 1, spring 1, Monday,5125,21.1
frame,lgw,Year 1, spring 1, Monday,5126,0.2
frame,lgw,Year 1, spring 1, Monday,5127,21.1
frame,lgw,Year 1, spring 1, Monday,5128,21.3
frame,lgw,Year 1, spring 1, Monday,5129,21.1
frame,lgw,Year 1, spring 1, Monday,5130,21.1
frame,lgw,Year 1, spring 1, Monday,5131,0.1
frame,lgw,Year 1, spring 1, Monday,5132,21.3
frame,lgw,Year 1, spring 1, Monday,5133,21.2
frame,lgw,Year 1, spring 1, Monday,5134,21.0
frame,lgw,Year 1, spring 1, Monday,5135,21.2
frame,lgw,Year 1, spring 1, Monday,5136,0.1
frame,lgw,Year 1, spring 1, Monday,5137,21.0
frame,lgw,Year 1, spring 1, Monday,5138,20.9
frame,lgw,Year 1, spring 1, Monday,5139,21.6
frame,lgw,Year 1, spring 1, Monday,5140,0.1
frame,lgw,Year 1, spring 1, Monday,5141,21.3
frame,lgw,Year 1, spring 1, Monday,5142,21.8
frame,lgw,Year 1, spring 1, Monday,5143,21.2
frame,lgw,Year 1, spring 1, Monday,5144,21.6
frame,lgw,Year 1, spring 1, Monday,5145,0.1
frame,lgw,Year 1, spring 1, Monday,5146,22.0
frame,lgw,Year 1, spring 1, Monday,5147,21.1
frame,lgw,Year 1, spring 1, Monday,5148,21.0
frame,lgw,Year 1, spring 1, Monday,5149,0.2
frame,lgw,Year 1, spring 1, Monday,5150,21.1
frame,lgw,Year 1, spring 1, Monday,5151,21.2
frame,lgw,Year 1, spring 1, Monday,5152,21.4
frame,lgw,Year 1, spring 1, Monday,5153,21.1
frame,lgw,Year 1, spring 1, Monday,5154,0.1
frame,lgw,Year 1, spring 1, Monday,5155,20.8
frame,lgw,Year 1, spring 1, Monday,5156,20.9
frame,lgw,Year 1, spring 1, Monday,5157,21.2
frame,lgw,Year 1, spring 1, Monday,5158,21.1
frame,lgw,Year 1, spring 1, Monday,5159,0.1
frame,lgw,Year 1, spring 1, Monday,5160,21.0
frame,lgw,Year 1, spring 1, Monday,5161,20.9
frame,lgw,Year 1, spring 1, Monday,5162,21.9
frame,lgw,Year 1, spring 1, Monday,5163,0.1
frame,lgw,Year 1, spring 1, Monday,5164,21.3
frame,lgw,Year 1, spring 1, Monday,5165,21.0
frame,lgw,Year 1, spring 1, Monday,5166,21.1
frame,lgw,Year 1, spring 1, Monday,5167,21.8
frame,lgw,Year 1, spring 1, Monday,5168,0.1
frame,lgw,Year 1, spring 1, Monday,5169,20.9
frame,lgw,Year 1, spring 1, Monday,5170,21.1
frame,lgw,Year 1, spring 1, Monday,5171,21.5
frame,lgw,Year 1, spring 1, Monday,5172,21.4
frame,lgw,Year 1, spring 1, Monday,5173,0.1
frame,lgw,Year 1, spring 1, Monday,5174,21.1
frame,lgw,Year 1, spring 1, Monday,5175,21.2
frame,lgw,Year 1, spring 1, Monday,5176,20.9
frame,lgw,Year 1, spring 1, Monday,5177,0.2
frame,lgw,Year 1, spring 1, Monday,5178,21.4
frame,lgw,Year 1, spring 1, Monday,5179,21.3
frame,lgw,Year 1, spring 1, Monday,5180,21.2
frame,lgw,Year 1, spring 1, Monday,5181,21.4
frame,lgw,Year 1, spring 1, Monday,5182,0.1
frame,lgw,Year 1, spring 1, Monday,5183,20.9
frame,lgw,Year 1, spring 1, Monday,5184,21.2
frame,lgw,Year 1, spring 1, Monday,5185,21.1
frame,lgw,Year 1, spring 1, Monday,5186,21.3
frame,lgw,Year 1, spring 1, Monday,5187,0.1
frame,lgw,Year 1, spring 1, Monday,5188,21.3
frame,lgw,Year 1, spring 1, Monday,5189,21.3
frame,lgw,Year 1, spring 1, Monday,5190,21.1
frame,lgw,Year 1, spring 1, Monday,5191,0.2
frame,lgw,Year 1, spring 1, Monday,5192,21.6
frame,lgw,Year 1, spring 1, Monday,5193,21.5
frame,lgw,Year 1, spring 1, Monday,5194,21.6
frame,lgw,Year 1, spring 1, Monday,5195,21.0
frame,lgw,Year 1, spring 1, Monday,5196,0.1
frame,lgw,Year 1, spring 1, Monday,5197,22.0
frame,lgw,Year 1, spring 1, Monday,5198,21.3
frame,lgw,Year 1, spring 1, Monday,5199,20.8
frame,lgw,Year 1, spring 1, Monday,5200,0.1
frame,lgw,Year 1, spring 1, Monday,5201,20.8
frame,lgw,Year 1, spring 1, Monday,5202,22.3
frame,lgw,Year 1, spring 1, Monday,5203,21.4
frame,lgw,Year 1, spring 1, Monday,5204,21.1
frame,lgw,Year 1, spring 1, Monday,5205,0.1
frame,lgw,Year 1, spring 1, Monday,5206,21.7
frame,lgw,Year 1, spring 1, Monday,5207,21.9
frame,lgw,Year 1, spring 1, Monday,5208,21.2
frame,lgw,Year 1, spring 1, Monday,5209,0.1
frame,lgw,Year 1, spring 1, Monday,5210,21.3
frame,lgw,Year 1, spring 1, Monday,5211,20.9
frame,lgw,Year 1, spring 1, Monday,5212,21.7
frame,lgw,Year 1, spring 1, Monday,5213,21.3
frame,lgw,Year 1, spring 1, Monday,5214,0.1
frame,lgw,Year 1, spring 1, Monday,5215,21.3
frame,lgw,Year 1, spring 1, Monday,5216,21.4
frame,lgw,Year 1, spring 1, Monday,5217,21.3
frame,lgw,Year 1, spring 1, Monday,5218,0.2
frame,lgw,Year 1, spring 1, Monday,5219,21.1
frame,lgw,Year 1, spring 1, Monday,5220,21.4
frame,lgw,Year 1, spring 1, Monday,5221,21.7
frame,lgw,Year 1, spring 1, Monday,5222,20.9
frame,lgw,Year 1, spring 1, Monday,5223,0.1
frame,lgw,Year 1, spring 1, Monday,5224,21.2
frame,lgw,Year 1, spring 1, Monday,5225,21.4
frame,lgw,Year 1, spring 1, Monday,5226,21.4
frame,lgw,Year 1, spring 1, Monday,5227,0.1
frame,lgw,Year 1, spring 1, Monday,5228,21.2
frame,lgw,Year 1, spring 1, Monday,5229,21.1
frame,lgw,Year 1, spring 1, Monday,5230,21.3
frame,lgw,Year 1, spring 1, Monday,5231,21.5
frame,lgw,Year 1, spring 1, Monday,5232,0.1
frame,lgw,Year 1, spring 1, Monday,5233,20.8
frame,lgw,Year 1, spring 1, Monday,5234,20.8
frame,lgw,Year 1, spring 1, Monday,5235,21.1
frame,lgw,Year 1, spring 1, Monday,5236,21.1
frame,lgw,Year 1, spring 1, Monday,5237,0.1
