kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 1, summer 7, Sunday,610,100.6
switch,lgw,Year 1, summer 7, Sunday,620,21.0
switch,lgw,Year 1, summer 7, Sunday,630,18.8
switchdetail,lgw,Year 1, summer 7, Sunday,600,0,0.0
switchdetail,lgw,Year 1, summer 7, Sunday,610,0,0.0
switchdetail,lgw,Year 1, summer 7, Sunday,620,0,0.0
lag,lgw,Year 1, summer 7, Sunday,2,199.8
lag,lgw,Year 1, summer 7, Sunday,25,319.3
lag,lgw,Year 1, summer 7, Sunday,60,72.9
lag,lgw,Year 1, summer 7, Sunday,1438,99.1
lag,lgw,Year 1, summer 7, Sunday,1475,130.4
lag,lgw,Year 1, summer 7, Sunday,1634,737.7
lag,lgw,Year 1, summer 7, Sunday,1664,67.2
lag,lgw,Year 1, summer 7, Sunday,1872,4106.9
lag,lgw,Year 1, summer 7, Sunday,1873,102.8
lag,lgw,Year 1, summer 7, Sunday,1876,111.8
lag,lgw,Year 1, summer 7, Sunday,1943,125.8
lag,lgw,Year 1, summer 7, Sunday,2122,89.8
lag,lgw,Year 1, summer 7, Sunday,2212,100.6
lag,lgw,Year 1, summer 7, Sunday,3147,82.1
lag,lgw,Year 1, summer 7, Sunday,3200,243.8
lag,lgw,Year 1, summer 7, Sunday,3237,87.2
lag,lgw,Year 1, summer 7, Sunday,3349,189.4
lag,lgw,Year 1, summer 7, Sunday,3371,71.4
lag,lgw,Year 1, summer 7, Sunday,3613,69.7
lag,lgw,Year 1, summer 7, Sunday,3775,59.2
lag,lgw,Year 1, summer 7, Sunday,3861,64.7
lag,lgw,Year 1, summer 7, Sunday,3942,96.4
lag,lgw,Year 1, summer 7, Sunday,3970,76.8
lag,lgw,Year 1, summer 7, Sunday,5329,65.8
frame,lgw,Year 1, summer 7, Sunday,5120,21.9
frame,lgw,Year 1, summer 7, Sunday,5121,22.1
frame,lgw,Year 1, summer 7, Sunday,5122,0.2
frame,lgw,Year 1, summer 7, Sunday,5123,22.3
frame,lgw,Year 1, summer 7, Sunday,5124,22.1
frame,lgw,Year 1, summer 7, Sunday,5125,21.5
frame,lgw,Year 1, summer 7, Sunday,5126,21.3
frame,lgw,Year 1, summer 7, Sunday,5127,0.1
frame,lgw,Year 1, summer 7, Sunday,5128,21.0
frame,lgw,Year 1, summer 7, Sunday,5129,21.9
frame,lgw,Year 1, summer 7, Sunday,5130,21.0
frame,lgw,Year 1, summer 7, Sunday,5131,0.1
frame,lgw,Year 1, summer 7, Sunday,5132,21.8
frame,lgw,Year 1, summer 7, Sunday,5133,21.8
frame,lgw,Year 1, summer 7, Sunday,5134,21.4
frame,lgw,Year 1, summer 7, Sunday,5135,0.1
frame,lgw,Year 1, summer 7, Sunday,5136,21.5
frame,lgw,Year 1, summer 7, Sunday,5137,21.0
frame,lgw,Year 1, summer 7, Sunday,5138,21.4
frame,lgw,Year 1, summer 7, Sunday,5139,21.6
frame,lgw,Year 1, summer 7, Sunday,5140,0.1
frame,lgw,Year 1, summer 7, Sunday,5141,21.4
frame,lgw,Year 1, summer 7, Sunday,5142,21.3
frame,lgw,Year 1, summer 7, Sunday,5143,20.9
frame,lgw,Year 1, summer 7, Sunday,5144,21.3
frame,lgw,Year 1, summer 7, Sunday,5145,0.1
frame,lgw,Year 1, summer 7, Sunday,5146,21.1
frame,lgw,Year 1, summer 7, Sunday,5147,21.6
frame,lgw,Year 1, summer 7, Sunday,5148,21.0
frame,lgw,Year 1, summer 7, Sunday,5149,0.1
frame,lgw,Year 1, summer 7, Sunday,5150,21.4
frame,lgw,Year 1, summer 7, Sunday,5151,21.5
frame,lgw,Year 1, summer 7, Sunday,5152,21.2
frame,lgw,Year 1, summer 7, Sunday,5153,21.5
frame,lgw,Year 1, summer 7, Sunday,5154,0.1
frame,lgw,Year 1, summer 7, Sunday,5155,21.6
frame,lgw,Year 1, summer 7, Sunday,5156,21.9
frame,lgw,Year 1, summer 7, Sunday,5157,21.6
frame,lgw,Year 1, summer 7, Sunday,5158,0.1
frame,lgw,Year 1, summer 7, Sunday,5159,21.7
frame,lgw,Year 1, summer 7, Sunday,5160,21.1
frame,lgw,Year 1, summer 7, Sunday,5161,21.6
frame,lgw,Year 1, summer 7, Sunday,5162,20.9
frame,lgw,Year 1, summer 7, Sunday,5163,0.1
frame,lgw,Year 1, summer 7, Sunday,5164,21.4
frame,lgw,Year 1, summer 7, Sunday,5165,21.2
frame,lgw,Year 1, summer 7, Sunday,5166,21.3
frame,lgw,Year 1, summer 7, Sunday,5167,0.1
frame,lgw,Year 1, summer 7, Sunday,5168,21.8
frame,lgw,Year 1, summer 7, Sunday,5169,21.6
frame,lgw,Year 1, summer 7, Sunday,5170,22.3
frame,lgw,Year 1, summer 7, Sunday,5171,0.1
frame,lgw,Year 1, summer 7, Sunday,5172,21.8
frame,lgw,Year 1, summer 7, Sunday,5173,22.0
frame,lgw,Year 1, summer 7, Sunday,5174,22.9
frame,lgw,Year 1, summer 7, Sunday,5175,0.2
frame,lgw,Year 1, summer 7, Sunday,5176,22.5
frame,lgw,Year 1, summer 7, Sunday,5177,21.0
