kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,lgw,Year 1, spring 1, Monday,2,3411.5
lag,lgw,Year 1, spring 1, Monday,22,375.0
lag,lgw,Year 1, spring 1, Monday,3865,175.4
lag,lgw,Year 1, spring 1, Monday,3892,58.9
lag,lgw,Year 1, spring 1, Monday,5704,132.2
frame,lgw,Year 1, spring 1, Monday,5120,0.1
frame,lgw,Year 1, spring 1, Monday,5121,21.3
frame,lgw,Year 1, spring 1, Monday,5122,21.0
frame,lgw,Year 1, spring 1, Monday,5123,21.1
frame,lgw,Year 1, spring 1, Monday,5124,20.7
frame,lgw,Year 1, spring 1, Monday,5125,0.1
frame,lgw,Year 1, spring 1, Monday,5126,20.9
frame,lgw,Year 1, spring 1, Monday,5127,21.8
frame,lgw,Year 1, spring 1, Monday,5128,21.9
frame,lgw,Year 1, spring 1, Monday,5129,0.1
frame,lgw,Year 1, spring 1, Monday,5130,21.3
frame,lgw,Year 1, spring 1, Monday,5131,21.3
frame,lgw,Year 1, spring 1, Monday,5132,21.0
frame,lgw,Year 1, spring 1, Monday,5133,21.2
frame,lgw,Year 1, spring 1, Monday,5134,0.1
frame,lgw,Year 1, spring 1, Monday,5135,21.1
frame,lgw,Year 1, spring 1, Monday,5136,21.2
frame,lgw,Year 1, spring 1, Monday,5137,21.1
frame,lgw,Year 1, spring 1, Monday,5138,22.0
frame,lgw,Year 1, spring 1, Monday,5139,0.1
frame,lgw,Year 1, spring 1, Monday,5140,21.2
frame,lgw,Year 1, spring 1, Monday,5141,21.3
frame,lgw,Year 1, spring 1, Monday,5142,21.8
frame,lgw,Year 1, spring 1, Monday,5143,0.1
frame,lgw,Year 1, spring 1, Monday,5144,20.9
frame,lgw,Year 1, spring 1, Monday,5145,20.9
frame,lgw,Year 1, spring 1, Monday,5146,21.1
frame,lgw,Year 1, spring 1, Monday,5147,21.6
frame,lgw,Year 1, spring 1, Monday,5148,0.1
frame,lgw,Year 1, spring 1, Monday,5149,21.3
frame,lgw,Year 1, spring 1, Monday,5150,21.0
frame,lgw,Year 1, spring 1, Monday,5151,21.3
frame,lgw,Year 1, spring 1, Monday,5152,0.1
frame,lgw,Year 1, spring 1, Monday,5153,21.7
frame,lgw,Year 1, spring 1, Monday,5154,21.1
frame,lgw,Year 1, spring 1, Monday,5155,21.3
frame,lgw,Year 1, spring 1, Monday,5156,21.2
frame,lgw,Year 1, spring 1, Monday,5157,0.1
frame,lgw,Year 1, spring 1, Monday,5158,21.1
frame,lgw,Year 1, spring 1, Monday,5159,21.0
frame,lgw,Year 1, spring 1, Monday,5160,20.9
frame,lgw,Year 1, spring 1, Monday,5161,21.4
frame,lgw,Year 1, spring 1, Monday,5162,0.2
frame,lgw,Year 1, spring 1, Monday,5163,21.2
frame,lgw,Year 1, spring 1, Monday,5164,21.5
frame,lgw,Year 1, spring 1, Monday,5165,21.0
frame,lgw,Year 1, spring 1, Monday,5166,0.1
frame,lgw,Year 1, spring 1, Monday,5167,21.3
frame,lgw,Year 1, spring 1, Monday,5168,21.1
frame,lgw,Year 1, spring 1, Monday,5169,20.9
frame,lgw,Year 1, spring 1, Monday,5170,20.9
frame,lgw,Year 1, spring 1, Monday,5171,0.1
frame,lgw,Year 1, spring 1, Monday,5172,21.2
frame,lgw,Year 1, spring 1, Monday,5173,21.3
frame,lgw,Year 1, spring 1, Monday,5174,22.4
frame,lgw,Year 1, spring 1, Monday,5175,0.1
frame,lgw,Year 1, spring 1, Monday,5176,21.0
frame,lgw,Year 1, spring 1, Monday,5177,21.3
frame,lgw,Year 1, spring 1, Monday,5178,20.9
frame,lgw,Year 1, spring 1, Monday,5179,21.2
frame,lgw,Year 1, spring 1, Monday,5180,0.1
frame,lgw,Year 1, spring 1, Monday,5181,21.4
frame,lgw,Year 1, spring 1, Monday,5182,21.3
frame,lgw,Year 1, spring 1, Monday,5183,21.1
frame,lgw,Year 1, spring 1, Monday,5184,21.3
frame,lgw,Year 1, spring 1, Monday,5185,0.1
frame,lgw,Year 1, spring 1, Monday,5186,20.9
frame,lgw,Year 1, spring 1, Monday,5187,21.2
frame,lgw,Year 1, spring 1, Monday,5188,22.6
frame,lgw,Year 1, spring 1, Monday,5189,0.1
frame,lgw,Year 1, spring 1, Monday,5190,21.4
frame,lgw,Year 1, spring 1, Monday,5191,21.1
frame,lgw,Year 1, spring 1, Monday,5192,21.2
frame,lgw,Year 1, spring 1, Monday,5193,21.7
frame,lgw,Year 1, spring 1, Monday,5194,0.4
frame,lgw,Year 1, spring 1, Monday,5195,21.9
frame,lgw,Year 1, spring 1, Monday,5196,21.2
frame,lgw,Year 1, spring 1, Monday,5197,20.9
frame,lgw,Year 1, spring 1, Monday,5198,0.3
frame,lgw,Year 1, spring 1, Monday,5199,21.0
frame,lgw,Year 1, spring 1, Monday,5200,21.5
frame,lgw,Year 1, spring 1, Monday,5201,21.3
frame,lgw,Year 1, spring 1, Monday,5202,21.3
frame,lgw,Year 1, spring 1, Monday,5203,0.1
frame,lgw,Year 1, spring 1, Monday,5204,21.1
frame,lgw,Year 1, spring 1, Monday,5205,21.4
