kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,lgw,Year 1, spring 1, Monday,2,3489.1
lag,lgw,Year 1, spring 1, Monday,20,401.9
lag,lgw,Year 1, spring 1, Monday,402,331.7
lag,lgw,Year 1, spring 1, Monday,588,88.0
frame,lgw,Year 1, spring 1, Monday,5120,21.2
frame,lgw,Year 1, spring 1, Monday,5121,21.8
frame,lgw,Year 1, spring 1, Monday,5122,21.0
frame,lgw,Year 1, spring 1, Monday,5123,0.1
frame,lgw,Year 1, spring 1, Monday,5124,20.9
frame,lgw,Year 1, spring 1, Monday,5125,20.9
frame,lgw,Year 1, spring 1, Monday,5126,22.1
frame,lgw,Year 1, spring 1, Monday,5127,20.8
frame,lgw,Year 1, spring 1, Monday,5128,0.1
frame,lgw,Year 1, spring 1, Monday,5129,21.3
frame,lgw,Year 1, spring 1, Monday,5130,21.1
frame,lgw,Year 1, spring 1, Monday,5131,21.7
frame,lgw,Year 1, spring 1, Monday,5132,20.9
frame,lgw,Year 1, spring 1, Monday,5133,0.1
frame,lgw,Year 1, spring 1, Monday,5134,21.4
frame,lgw,Year 1, spring 1, Monday,5135,21.2
frame,lgw,Year 1, spring 1, Monday,5136,20.9
frame,lgw,Year 1, spring 1, Monday,5137,0.1
frame,lgw,Year 1, spring 1, Monday,5138,21.0
frame,lgw,Year 1, spring 1, Monday,5139,21.7
frame,lgw,Year 1, spring 1, Monday,5140,21.3
frame,lgw,Year 1, spring 1, Monday,5141,21.2
frame,lgw,Year 1, spring 1, Monday,5142,0.1
frame,lgw,Year 1, spring 1, Monday,5143,21.1
frame,lgw,Year 1, spring 1, Monday,5144,21.3
frame,lgw,Year 1, spring 1, Monday,5145,21.8
frame,lgw,Year 1, spring 1, Monday,5146,0.1
frame,lgw,Year 1, spring 1, Monday,5147,21.5
frame,lgw,Year 1, spring 1, Monday,5148,20.7
frame,lgw,Year 1, spring 1, Monday,5149,20.8
frame,lgw,Year 1, spring 1, Monday,5150,20.9
frame,lgw,Year 1, spring 1, Monday,5151,0.1
frame,lgw,Year 1, spring 1, Monday,5152,21.5
frame,lgw,Year 1, spring 1, Monday,5153,20.8
frame,lgw,Year 1, spring 1, Monday,5154,21.0
frame,lgw,Year 1, spring 1, Monday,5155,21.3
