kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 2, summer 28, Sunday,610,148.3
switch,lgw,Year 2, summer 28, Sunday,620,19.5
switch,lgw,Year 2, summer 28, Sunday,630,28.0
switch,lgw,Year 2, summer 28, Sunday,640,19.3
switch,lgw,Year 2, summer 28, Sunday,650,19.7
switch,lgw,Year 2, summer 28, Sunday,700,23.1
switch,lgw,Year 2, summer 28, Sunday,710,19.7
switch,lgw,Year 2, summer 28, Sunday,720,26.9
switch,lgw,Year 2, summer 28, Sunday,730,18.4
switch,lgw,Year 2, summer 28, Sunday,740,19.3
switch,lgw,Year 2, summer 28, Sunday,750,19.7
switch,lgw,Year 2, summer 28, Sunday,800,18.7
switch,lgw,Year 2, summer 28, Sunday,810,19.5
switch,lgw,Year 2, summer 28, Sunday,820,18.1
switch,lgw,Year 2, summer 28, Sunday,830,20.1
switch,lgw,Year 2, summer 28, Sunday,840,18.2
switch,lgw,Year 2, summer 28, Sunday,850,18.9
switch,lgw,Year 2, summer 28, Sunday,900,18.5
switchdetail,lgw,Year 2, summer 28, Sunday,600,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,610,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,620,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,630,443,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,640,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,650,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,700,443,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,710,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,720,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,730,443,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,740,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,750,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,800,444,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,810,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,820,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,830,443,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,840,442,0.0
switchdetail,lgw,Year 2, summer 28, Sunday,850,442,0.0
lag,lgw,Year 2, summer 28, Sunday,2,194.0
