kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 18, Thursday,5209,21.1
frame,lgw,Year 1, spring 18, Thursday,5210,21.4
frame,lgw,Year 1, spring 18, Thursday,5211,21.0
frame,lgw,Year 1, spring 18, Thursday,5212,0.1
frame,lgw,Year 1, spring 18, Thursday,5213,20.7
frame,lgw,Year 1, spring 18, Thursday,5214,20.9
frame,lgw,Year 1, spring 18, Thursday,5215,21.2
frame,lgw,Year 1, spring 18, Thursday,5216,21.1
frame,lgw,Year 1, spring 18, Thursday,5217,0.1
frame,lgw,Year 1, spring 18, Thursday,5218,21.0
frame,lgw,Year 1, spring 18, Thursday,5219,21.3
frame,lgw,Year 1, spring 18, Thursday,5220,21.1
frame,lgw,Year 1, spring 18, Thursday,5221,21.4
frame,lgw,Year 1, spring 18, Thursday,5222,0.1
frame,lgw,Year 1, spring 18, Thursday,5223,22.0
frame,lgw,Year 1, spring 18, Thursday,5224,20.8
frame,lgw,Year 1, spring 18, Thursday,5225,20.9
frame,lgw,Year 1, spring 18, Thursday,5226,0.1
frame,lgw,Year 1, spring 18, Thursday,5227,20.7
frame,lgw,Year 1, spring 18, Thursday,5228,21.5
frame,lgw,Year 1, spring 18, Thursday,5229,20.9
frame,lgw,Year 1, spring 18, Thursday,5230,21.4
frame,lgw,Year 1, spring 18, Thursday,5231,0.1
frame,lgw,Year 1, spring 18, Thursday,5232,21.1
frame,lgw,Year 1, spring 18, Thursday,5233,20.9
frame,lgw,Year 1, spring 18, Thursday,5234,21.5
frame,lgw,Year 1, spring 18, Thursday,5235,21.1
frame,lgw,Year 1, spring 18, Thursday,5236,0.1
frame,lgw,Year 1, spring 18, Thursday,5237,21.1
frame,lgw,Year 1, spring 18, Thursday,5238,21.2
frame,lgw,Year 1, spring 18, Thursday,5239,21.5
frame,lgw,Year 1, spring 18, Thursday,5240,0.1
frame,lgw,Year 1, spring 18, Thursday,5241,21.3
frame,lgw,Year 1, spring 18, Thursday,5242,22.0
frame,lgw,Year 1, spring 18, Thursday,5243,21.5
frame,lgw,Year 1, spring 18, Thursday,5244,22.4
frame,lgw,Year 1, spring 18, Thursday,5245,0.1
frame,lgw,Year 1, spring 18, Thursday,5246,20.9
frame,lgw,Year 1, spring 18, Thursday,5247,21.1
frame,lgw,Year 1, spring 18, Thursday,5248,21.2
frame,lgw,Year 1, spring 18, Thursday,5249,0.2
frame,lgw,Year 1, spring 18, Thursday,5250,21.1
frame,lgw,Year 1, spring 18, Thursday,5251,21.1
frame,lgw,Year 1, spring 18, Thursday,5252,21.3
frame,lgw,Year 1, spring 18, Thursday,5253,20.9
frame,lgw,Year 1, spring 18, Thursday,5254,0.1
frame,lgw,Year 1, spring 18, Thursday,5255,21.1
frame,lgw,Year 1, spring 18, Thursday,5256,21.0
frame,lgw,Year 1, spring 18, Thursday,5257,21.8
frame,lgw,Year 1, spring 18, Thursday,5258,0.1
frame,lgw,Year 1, spring 18, Thursday,5259,21.9
frame,lgw,Year 1, spring 18, Thursday,5260,21.6
frame,lgw,Year 1, spring 18, Thursday,5261,21.2
frame,lgw,Year 1, spring 18, Thursday,5262,21.1
frame,lgw,Year 1, spring 18, Thursday,5263,0.1
frame,lgw,Year 1, spring 18, Thursday,5264,20.9
frame,lgw,Year 1, spring 18, Thursday,5265,21.1
frame,lgw,Year 1, spring 18, Thursday,5266,21.2
frame,lgw,Year 1, spring 18, Thursday,5267,20.8
frame,lgw,Year 1, spring 18, Thursday,5268,0.1
frame,lgw,Year 1, spring 18, Thursday,5269,21.0
frame,lgw,Year 1, spring 18, Thursday,5270,21.7
frame,lgw,Year 1, spring 18, Thursday,5271,20.8
frame,lgw,Year 1, spring 18, Thursday,5272,0.1
frame,lgw,Year 1, spring 18, Thursday,5273,21.5
frame,lgw,Year 1, spring 18, Thursday,5274,22.1
frame,lgw,Year 1, spring 18, Thursday,5275,21.5
frame,lgw,Year 1, spring 18, Thursday,5276,21.1
frame,lgw,Year 1, spring 18, Thursday,5277,0.1
frame,lgw,Year 1, spring 18, Thursday,5278,21.0
frame,lgw,Year 1, spring 18, Thursday,5279,21.2
frame,lgw,Year 1, spring 18, Thursday,5280,21.6
frame,lgw,Year 1, spring 18, Thursday,5281,0.1
frame,lgw,Year 1, spring 18, Thursday,5282,20.9
frame,lgw,Year 1, spring 18, Thursday,5283,22.2
frame,lgw,Year 1, spring 18, Thursday,5284,21.1
frame,lgw,Year 1, spring 18, Thursday,5285,21.3
frame,lgw,Year 1, spring 18, Thursday,5286,0.1
frame,lgw,Year 1, spring 18, Thursday,5287,20.9
frame,lgw,Year 1, spring 18, Thursday,5288,21.6
frame,lgw,Year 1, spring 18, Thursday,5289,20.8
frame,lgw,Year 1, spring 18, Thursday,5290,20.6
frame,lgw,Year 1, spring 18, Thursday,5291,0.1
frame,lgw,Year 1, spring 18, Thursday,5292,21.4
