kind,player,date,name,calls,total_ms,avg_ms,max_ms
switch,lgw,Year 1, spring 4, Thursday,610,79.8
switch,lgw,Year 1, spring 4, Thursday,620,23.2
switch,lgw,Year 1, spring 4, Thursday,630,19.2
switchdetail,lgw,Year 1, spring 4, Thursday,600,0,0.0
switchdetail,lgw,Year 1, spring 4, Thursday,610,0,0.0
switchdetail,lgw,Year 1, spring 4, Thursday,620,0,0.0
lag,lgw,Year 1, spring 4, Thursday,2,185.2
lag,lgw,Year 1, spring 4, Thursday,7,55.3
lag,lgw,Year 1, spring 4, Thursday,30,273.1
lag,lgw,Year 1, spring 4, Thursday,58,94.6
lag,lgw,Year 1, spring 4, Thursday,64,101.4
lag,lgw,Year 1, spring 4, Thursday,70,111.1
lag,lgw,Year 1, spring 4, Thursday,2659,692.8
lag,lgw,Year 1, spring 4, Thursday,3106,65.1
lag,lgw,Year 1, spring 4, Thursday,3110,97.9
lag,lgw,Year 1, spring 4, Thursday,3251,227.1
lag,lgw,Year 1, spring 4, Thursday,3665,84.9
lag,lgw,Year 1, spring 4, Thursday,3723,3469.7
lag,lgw,Year 1, spring 4, Thursday,3724,106.3
lag,lgw,Year 1, spring 4, Thursday,3951,92.1
lag,lgw,Year 1, spring 4, Thursday,4042,79.8
lag,lgw,Year 1, spring 4, Thursday,4479,50.4
lag,lgw,Year 1, spring 4, Thursday,5492,60.7
frame,lgw,Year 1, spring 4, Thursday,5120,16.8
frame,lgw,Year 1, spring 4, Thursday,5121,16.6
frame,lgw,Year 1, spring 4, Thursday,5122,16.7
frame,lgw,Year 1, spring 4, Thursday,5123,16.9
frame,lgw,Year 1, spring 4, Thursday,5124,16.5
frame,lgw,Year 1, spring 4, Thursday,5125,16.7
frame,lgw,Year 1, spring 4, Thursday,5126,16.7
frame,lgw,Year 1, spring 4, Thursday,5127,16.7
frame,lgw,Year 1, spring 4, Thursday,5128,16.7
frame,lgw,Year 1, spring 4, Thursday,5129,16.7
frame,lgw,Year 1, spring 4, Thursday,5130,16.6
frame,lgw,Year 1, spring 4, Thursday,5131,16.8
frame,lgw,Year 1, spring 4, Thursday,5132,16.6
frame,lgw,Year 1, spring 4, Thursday,5133,16.7
frame,lgw,Year 1, spring 4, Thursday,5134,16.6
frame,lgw,Year 1, spring 4, Thursday,5135,16.7
frame,lgw,Year 1, spring 4, Thursday,5136,16.8
frame,lgw,Year 1, spring 4, Thursday,5137,16.6
frame,lgw,Year 1, spring 4, Thursday,5138,16.6
frame,lgw,Year 1, spring 4, Thursday,5139,16.7
frame,lgw,Year 1, spring 4, Thursday,5140,16.7
frame,lgw,Year 1, spring 4, Thursday,5141,16.7
frame,lgw,Year 1, spring 4, Thursday,5142,16.8
frame,lgw,Year 1, spring 4, Thursday,5143,16.5
frame,lgw,Year 1, spring 4, Thursday,5144,16.7
frame,lgw,Year 1, spring 4, Thursday,5145,16.7
frame,lgw,Year 1, spring 4, Thursday,5146,16.7
frame,lgw,Year 1, spring 4, Thursday,5147,16.6
frame,lgw,Year 1, spring 4, Thursday,5148,16.8
frame,lgw,Year 1, spring 4, Thursday,5149,16.6
frame,lgw,Year 1, spring 4, Thursday,5150,16.7
frame,lgw,Year 1, spring 4, Thursday,5151,16.9
frame,lgw,Year 1, spring 4, Thursday,5152,16.8
frame,lgw,Year 1, spring 4, Thursday,5153,16.4
frame,lgw,Year 1, spring 4, Thursday,5154,16.8
frame,lgw,Year 1, spring 4, Thursday,5155,16.6
frame,lgw,Year 1, spring 4, Thursday,5156,16.6
frame,lgw,Year 1, spring 4, Thursday,5157,16.7
frame,lgw,Year 1, spring 4, Thursday,5158,16.7
frame,lgw,Year 1, spring 4, Thursday,5159,16.7
frame,lgw,Year 1, spring 4, Thursday,5160,16.7
frame,lgw,Year 1, spring 4, Thursday,5161,16.6
frame,lgw,Year 1, spring 4, Thursday,5162,16.7
frame,lgw,Year 1, spring 4, Thursday,5163,16.7
frame,lgw,Year 1, spring 4, Thursday,5164,16.6
frame,lgw,Year 1, spring 4, Thursday,5165,16.7
frame,lgw,Year 1, spring 4, Thursday,5166,16.7
frame,lgw,Year 1, spring 4, Thursday,5167,16.7
frame,lgw,Year 1, spring 4, Thursday,5168,16.7
frame,lgw,Year 1, spring 4, Thursday,5169,16.8
frame,lgw,Year 1, spring 4, Thursday,5170,16.6
frame,lgw,Year 1, spring 4, Thursday,5171,16.7
frame,lgw,Year 1, spring 4, Thursday,5172,16.5
frame,lgw,Year 1, spring 4, Thursday,5173,16.7
frame,lgw,Year 1, spring 4, Thursday,5174,16.7
frame,lgw,Year 1, spring 4, Thursday,5175,16.7
frame,lgw,Year 1, spring 4, Thursday,5176,16.6
frame,lgw,Year 1, spring 4, Thursday,5177,16.7
frame,lgw,Year 1, spring 4, Thursday,5178,16.7
frame,lgw,Year 1, spring 4, Thursday,5179,16.7
frame,lgw,Year 1, spring 4, Thursday,5180,16.6
frame,lgw,Year 1, spring 4, Thursday,5181,16.6
frame,lgw,Year 1, spring 4, Thursday,5182,16.7
frame,lgw,Year 1, spring 4, Thursday,5183,16.7
frame,lgw,Year 1, spring 4, Thursday,5184,16.7
frame,lgw,Year 1, spring 4, Thursday,5185,16.7
frame,lgw,Year 1, spring 4, Thursday,5186,16.6
frame,lgw,Year 1, spring 4, Thursday,5187,16.7
frame,lgw,Year 1, spring 4, Thursday,5188,16.6
frame,lgw,Year 1, spring 4, Thursday,5189,16.6
frame,lgw,Year 1, spring 4, Thursday,5190,16.8
frame,lgw,Year 1, spring 4, Thursday,5191,16.6
frame,lgw,Year 1, spring 4, Thursday,5192,16.7
frame,lgw,Year 1, spring 4, Thursday,5193,16.6
frame,lgw,Year 1, spring 4, Thursday,5194,16.7
frame,lgw,Year 1, spring 4, Thursday,5195,16.6
frame,lgw,Year 1, spring 4, Thursday,5196,16.7
frame,lgw,Year 1, spring 4, Thursday,5197,16.6
frame,lgw,Year 1, spring 4, Thursday,5198,16.7
frame,lgw,Year 1, spring 4, Thursday,5199,16.7
frame,lgw,Year 1, spring 4, Thursday,5200,16.7
frame,lgw,Year 1, spring 4, Thursday,5201,16.7
frame,lgw,Year 1, spring 4, Thursday,5202,16.7
frame,lgw,Year 1, spring 4, Thursday,5203,16.9
frame,lgw,Year 1, spring 4, Thursday,5204,16.4
frame,lgw,Year 1, spring 4, Thursday,5205,16.6
frame,lgw,Year 1, spring 4, Thursday,5206,16.7
frame,lgw,Year 1, spring 4, Thursday,5207,16.6
frame,lgw,Year 1, spring 4, Thursday,5208,16.6
frame,lgw,Year 1, spring 4, Thursday,5209,16.7
frame,lgw,Year 1, spring 4, Thursday,5210,16.6
