kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,,Year 1, spring 0, Sunday,2,162.1
lag,,Year 1, spring 0, Sunday,26,306.1
lag,,Year 1, spring 0, Sunday,74,159.4
lag,,Year 1, spring 0, Sunday,193,176.4
lag,,Year 1, spring 0, Sunday,384,115.0
frame,,Year 1, spring 0, Sunday,5120,20.8
frame,,Year 1, spring 0, Sunday,5121,0.0
frame,,Year 1, spring 0, Sunday,5122,21.1
frame,,Year 1, spring 0, Sunday,5123,20.9
frame,,Year 1, spring 0, Sunday,5124,20.8
frame,,Year 1, spring 0, Sunday,5125,20.7
frame,,Year 1, spring 0, Sunday,5126,0.0
frame,,Year 1, spring 0, Sunday,5127,20.3
frame,,Year 1, spring 0, Sunday,5128,20.7
frame,,Year 1, spring 0, Sunday,5129,20.4
frame,,Year 1, spring 0, Sunday,5130,21.3
frame,,Year 1, spring 0, Sunday,5131,0.0
frame,,Year 1, spring 0, Sunday,5132,20.8
frame,,Year 1, spring 0, Sunday,5133,20.4
frame,,Year 1, spring 0, Sunday,5134,21.0
frame,,Year 1, spring 0, Sunday,5135,20.8
frame,,Year 1, spring 0, Sunday,5136,20.7
frame,,Year 1, spring 0, Sunday,5137,0.1
frame,,Year 1, spring 0, Sunday,5138,21.3
frame,,Year 1, spring 0, Sunday,5139,20.6
frame,,Year 1, spring 0, Sunday,5140,20.9
frame,,Year 1, spring 0, Sunday,5141,0.1
frame,,Year 1, spring 0, Sunday,5142,21.0
frame,,Year 1, spring 0, Sunday,5143,20.9
frame,,Year 1, spring 0, Sunday,5144,20.5
frame,,Year 1, spring 0, Sunday,5145,21.0
frame,,Year 1, spring 0, Sunday,5146,0.0
frame,,Year 1, spring 0, Sunday,5147,20.7
frame,,Year 1, spring 0, Sunday,5148,21.1
frame,,Year 1, spring 0, Sunday,5149,20.7
frame,,Year 1, spring 0, Sunday,5150,20.5
frame,,Year 1, spring 0, Sunday,5151,20.8
frame,,Year 1, spring 0, Sunday,5152,0.1
frame,,Year 1, spring 0, Sunday,5153,21.5
frame,,Year 1, spring 0, Sunday,5154,20.3
frame,,Year 1, spring 0, Sunday,5155,21.0
frame,,Year 1, spring 0, Sunday,5156,0.0
