kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 3, Wednesday,5194,16.8
frame,lgw,Year 1, spring 3, Wednesday,5195,17.4
frame,lgw,Year 1, spring 3, Wednesday,5196,15.9
frame,lgw,Year 1, spring 3, Wednesday,5197,16.7
frame,lgw,Year 1, spring 3, Wednesday,5198,16.7
frame,lgw,Year 1, spring 3, Wednesday,5199,16.6
frame,lgw,Year 1, spring 3, Wednesday,5200,16.7
frame,lgw,Year 1, spring 3, Wednesday,5201,16.8
frame,lgw,Year 1, spring 3, Wednesday,5202,16.6
frame,lgw,Year 1, spring 3, Wednesday,5203,16.8
frame,lgw,Year 1, spring 3, Wednesday,5204,16.6
frame,lgw,Year 1, spring 3, Wednesday,5205,16.6
frame,lgw,Year 1, spring 3, Wednesday,5206,16.8
frame,lgw,Year 1, spring 3, Wednesday,5207,16.5
frame,lgw,Year 1, spring 3, Wednesday,5208,16.9
frame,lgw,Year 1, spring 3, Wednesday,5209,16.5
frame,lgw,Year 1, spring 3, Wednesday,5210,16.7
frame,lgw,Year 1, spring 3, Wednesday,5211,16.7
frame,lgw,Year 1, spring 3, Wednesday,5212,16.7
frame,lgw,Year 1, spring 3, Wednesday,5213,18.4
frame,lgw,Year 1, spring 3, Wednesday,5214,18.9
frame,lgw,Year 1, spring 3, Wednesday,5215,12.7
frame,lgw,Year 1, spring 3, Wednesday,5216,16.7
frame,lgw,Year 1, spring 3, Wednesday,5217,17.1
frame,lgw,Year 1, spring 3, Wednesday,5218,16.7
frame,lgw,Year 1, spring 3, Wednesday,5219,16.1
frame,lgw,Year 1, spring 3, Wednesday,5220,16.7
frame,lgw,Year 1, spring 3, Wednesday,5221,16.7
frame,lgw,Year 1, spring 3, Wednesday,5222,16.7
frame,lgw,Year 1, spring 3, Wednesday,5223,16.8
frame,lgw,Year 1, spring 3, Wednesday,5224,16.6
frame,lgw,Year 1, spring 3, Wednesday,5225,16.5
frame,lgw,Year 1, spring 3, Wednesday,5226,20.6
frame,lgw,Year 1, spring 3, Wednesday,5227,13.4
frame,lgw,Year 1, spring 3, Wednesday,5228,17.4
frame,lgw,Year 1, spring 3, Wednesday,5229,15.5
frame,lgw,Year 1, spring 3, Wednesday,5230,16.8
frame,lgw,Year 1, spring 3, Wednesday,5231,16.4
frame,lgw,Year 1, spring 3, Wednesday,5232,17.8
frame,lgw,Year 1, spring 3, Wednesday,5233,15.5
frame,lgw,Year 1, spring 3, Wednesday,5234,16.7
frame,lgw,Year 1, spring 3, Wednesday,5235,16.7
frame,lgw,Year 1, spring 3, Wednesday,5236,16.7
frame,lgw,Year 1, spring 3, Wednesday,5237,16.8
frame,lgw,Year 1, spring 3, Wednesday,5238,16.6
frame,lgw,Year 1, spring 3, Wednesday,5239,16.8
frame,lgw,Year 1, spring 3, Wednesday,5240,16.6
frame,lgw,Year 1, spring 3, Wednesday,5241,16.9
frame,lgw,Year 1, spring 3, Wednesday,5242,16.3
frame,lgw,Year 1, spring 3, Wednesday,5243,16.7
frame,lgw,Year 1, spring 3, Wednesday,5244,18.2
frame,lgw,Year 1, spring 3, Wednesday,5245,15.2
frame,lgw,Year 1, spring 3, Wednesday,5246,16.7
frame,lgw,Year 1, spring 3, Wednesday,5247,17.2
frame,lgw,Year 1, spring 3, Wednesday,5248,16.2
frame,lgw,Year 1, spring 3, Wednesday,5249,16.6
frame,lgw,Year 1, spring 3, Wednesday,5250,17.1
frame,lgw,Year 1, spring 3, Wednesday,5251,16.7
frame,lgw,Year 1, spring 3, Wednesday,5252,16.2
frame,lgw,Year 1, spring 3, Wednesday,5253,16.6
frame,lgw,Year 1, spring 3, Wednesday,5254,16.7
frame,lgw,Year 1, spring 3, Wednesday,5255,16.9
frame,lgw,Year 1, spring 3, Wednesday,5256,18.3
frame,lgw,Year 1, spring 3, Wednesday,5257,14.8
frame,lgw,Year 1, spring 3, Wednesday,5258,16.6
frame,lgw,Year 1, spring 3, Wednesday,5259,16.7
frame,lgw,Year 1, spring 3, Wednesday,5260,16.7
frame,lgw,Year 1, spring 3, Wednesday,5261,16.7
frame,lgw,Year 1, spring 3, Wednesday,5262,16.6
frame,lgw,Year 1, spring 3, Wednesday,5263,16.7
frame,lgw,Year 1, spring 3, Wednesday,5264,16.9
frame,lgw,Year 1, spring 3, Wednesday,5265,16.4
frame,lgw,Year 1, spring 3, Wednesday,5266,16.7
frame,lgw,Year 1, spring 3, Wednesday,5267,17.1
frame,lgw,Year 1, spring 3, Wednesday,5268,16.4
frame,lgw,Year 1, spring 3, Wednesday,5269,16.6
frame,lgw,Year 1, spring 3, Wednesday,5270,16.6
frame,lgw,Year 1, spring 3, Wednesday,5271,17.4
frame,lgw,Year 1, spring 3, Wednesday,5272,15.9
frame,lgw,Year 1, spring 3, Wednesday,5273,16.6
frame,lgw,Year 1, spring 3, Wednesday,5274,18.0
frame,lgw,Year 1, spring 3, Wednesday,5275,15.3
frame,lgw,Year 1, spring 3, Wednesday,5276,17.0
frame,lgw,Year 1, spring 3, Wednesday,5277,16.5
frame,lgw,Year 1, spring 3, Wednesday,5278,16.5
frame,lgw,Year 1, spring 3, Wednesday,5279,16.6
frame,lgw,Year 1, spring 3, Wednesday,5280,16.9
frame,lgw,Year 1, spring 3, Wednesday,5281,18.0
frame,lgw,Year 1, spring 3, Wednesday,5282,15.0
frame,lgw,Year 1, spring 3, Wednesday,5283,16.7
frame,lgw,Year 1, spring 3, Wednesday,5284,17.0
frame,lgw,Year 1, spring 3, Wednesday,5285,16.4
frame,lgw,Year 1, spring 3, Wednesday,5286,16.7
frame,lgw,Year 1, spring 3, Wednesday,5287,16.8
frame,lgw,Year 1, spring 3, Wednesday,5288,16.6
frame,lgw,Year 1, spring 3, Wednesday,5289,16.6
frame,lgw,Year 1, spring 3, Wednesday,5290,16.7
frame,lgw,Year 1, spring 3, Wednesday,5291,17.0
frame,lgw,Year 1, spring 3, Wednesday,5292,16.3
frame,lgw,Year 1, spring 3, Wednesday,5293,16.7
frame,lgw,Year 1, spring 3, Wednesday,5294,17.7
frame,lgw,Year 1, spring 3, Wednesday,5295,15.8
frame,lgw,Year 1, spring 3, Wednesday,5296,16.5
frame,lgw,Year 1, spring 3, Wednesday,5297,16.7
frame,lgw,Year 1, spring 3, Wednesday,5298,16.6
frame,lgw,Year 1, spring 3, Wednesday,5299,16.7
frame,lgw,Year 1, spring 3, Wednesday,5300,16.7
frame,lgw,Year 1, spring 3, Wednesday,5301,16.6
frame,lgw,Year 1, spring 3, Wednesday,5302,16.7
frame,lgw,Year 1, spring 3, Wednesday,5303,18.7
frame,lgw,Year 1, spring 3, Wednesday,5304,14.6
frame,lgw,Year 1, spring 3, Wednesday,5305,17.1
frame,lgw,Year 1, spring 3, Wednesday,5306,16.3
frame,lgw,Year 1, spring 3, Wednesday,5307,16.8
frame,lgw,Year 1, spring 3, Wednesday,5308,17.7
frame,lgw,Year 1, spring 3, Wednesday,5309,15.6
frame,lgw,Year 1, spring 3, Wednesday,5310,16.5
frame,lgw,Year 1, spring 3, Wednesday,5311,16.7
frame,lgw,Year 1, spring 3, Wednesday,5312,16.7
frame,lgw,Year 1, spring 3, Wednesday,5313,17.6
frame,lgw,Year 1, spring 3, Wednesday,5314,15.7
frame,lgw,Year 1, spring 3, Wednesday,5315,16.7
frame,lgw,Year 1, spring 3, Wednesday,5316,16.7
