kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,,Year 1, spring 0, Sunday,2,293.9
lag,,Year 1, spring 0, Sunday,7,86.9
lag,,Year 1, spring 0, Sunday,31,405.9
lag,,Year 1, spring 0, Sunday,112,204.3
lag,,Year 1, spring 0, Sunday,204,92.3
lag,,Year 1, spring 0, Sunday,2920,76.1
lag,,Year 1, spring 0, Sunday,4223,57.2
lag,,Year 1, spring 0, Sunday,4462,62.4
lag,,Year 1, spring 0, Sunday,4466,53.3
frame,,Year 1, spring 0, Sunday,5120,20.4
frame,,Year 1, spring 0, Sunday,5121,20.9
frame,,Year 1, spring 0, Sunday,5122,25.7
frame,,Year 1, spring 0, Sunday,5123,0.0
frame,,Year 1, spring 0, Sunday,5124,20.7
frame,,Year 1, spring 0, Sunday,5125,21.0
frame,,Year 1, spring 0, Sunday,5126,20.9
frame,,Year 1, spring 0, Sunday,5127,0.0
frame,,Year 1, spring 0, Sunday,5128,20.6
frame,,Year 1, spring 0, Sunday,5129,20.9
frame,,Year 1, spring 0, Sunday,5130,20.5
frame,,Year 1, spring 0, Sunday,5131,20.5
frame,,Year 1, spring 0, Sunday,5132,0.0
frame,,Year 1, spring 0, Sunday,5133,20.8
frame,,Year 1, spring 0, Sunday,5134,20.5
frame,,Year 1, spring 0, Sunday,5135,20.8
frame,,Year 1, spring 0, Sunday,5136,20.8
frame,,Year 1, spring 0, Sunday,5137,0.0
frame,,Year 1, spring 0, Sunday,5138,20.8
frame,,Year 1, spring 0, Sunday,5139,20.8
frame,,Year 1, spring 0, Sunday,5140,20.8
frame,,Year 1, spring 0, Sunday,5141,20.6
frame,,Year 1, spring 0, Sunday,5142,0.0
frame,,Year 1, spring 0, Sunday,5143,20.5
frame,,Year 1, spring 0, Sunday,5144,21.1
frame,,Year 1, spring 0, Sunday,5145,21.3
frame,,Year 1, spring 0, Sunday,5146,20.5
frame,,Year 1, spring 0, Sunday,5147,0.0
frame,,Year 1, spring 0, Sunday,5148,20.6
frame,,Year 1, spring 0, Sunday,5149,20.4
frame,,Year 1, spring 0, Sunday,5150,20.7
frame,,Year 1, spring 0, Sunday,5151,20.8
frame,,Year 1, spring 0, Sunday,5152,0.0
frame,,Year 1, spring 0, Sunday,5153,20.4
frame,,Year 1, spring 0, Sunday,5154,20.8
frame,,Year 1, spring 0, Sunday,5155,20.7
frame,,Year 1, spring 0, Sunday,5156,21.3
frame,,Year 1, spring 0, Sunday,5157,0.1
frame,,Year 1, spring 0, Sunday,5158,20.5
frame,,Year 1, spring 0, Sunday,5159,20.7
frame,,Year 1, spring 0, Sunday,5160,20.4
frame,,Year 1, spring 0, Sunday,5161,20.4
frame,,Year 1, spring 0, Sunday,5162,20.8
frame,,Year 1, spring 0, Sunday,5163,0.0
frame,,Year 1, spring 0, Sunday,5164,20.7
frame,,Year 1, spring 0, Sunday,5165,20.4
frame,,Year 1, spring 0, Sunday,5166,20.7
frame,,Year 1, spring 0, Sunday,5167,20.9
frame,,Year 1, spring 0, Sunday,5168,0.0
frame,,Year 1, spring 0, Sunday,5169,20.4
frame,,Year 1, spring 0, Sunday,5170,20.8
frame,,Year 1, spring 0, Sunday,5171,20.5
frame,,Year 1, spring 0, Sunday,5172,21.2
frame,,Year 1, spring 0, Sunday,5173,0.0
frame,,Year 1, spring 0, Sunday,5174,20.9
frame,,Year 1, spring 0, Sunday,5175,20.6
frame,,Year 1, spring 0, Sunday,5176,20.7
frame,,Year 1, spring 0, Sunday,5177,21.1
frame,,Year 1, spring 0, Sunday,5178,0.1
frame,,Year 1, spring 0, Sunday,5179,20.8
frame,,Year 1, spring 0, Sunday,5180,21.0
frame,,Year 1, spring 0, Sunday,5181,20.7
frame,,Year 1, spring 0, Sunday,5182,20.7
frame,,Year 1, spring 0, Sunday,5183,0.0
frame,,Year 1, spring 0, Sunday,5184,20.8
frame,,Year 1, spring 0, Sunday,5185,20.5
frame,,Year 1, spring 0, Sunday,5186,20.7
frame,,Year 1, spring 0, Sunday,5187,20.8
frame,,Year 1, spring 0, Sunday,5188,0.0
frame,,Year 1, spring 0, Sunday,5189,21.4
frame,,Year 1, spring 0, Sunday,5190,20.5
frame,,Year 1, spring 0, Sunday,5191,21.0
frame,,Year 1, spring 0, Sunday,5192,20.6
frame,,Year 1, spring 0, Sunday,5193,0.0
frame,,Year 1, spring 0, Sunday,5194,20.9
frame,,Year 1, spring 0, Sunday,5195,20.9
frame,,Year 1, spring 0, Sunday,5196,21.3
frame,,Year 1, spring 0, Sunday,5197,22.0
frame,,Year 1, spring 0, Sunday,5198,0.0
frame,,Year 1, spring 0, Sunday,5199,20.8
frame,,Year 1, spring 0, Sunday,5200,20.5
frame,,Year 1, spring 0, Sunday,5201,20.8
frame,,Year 1, spring 0, Sunday,5202,21.6
frame,,Year 1, spring 0, Sunday,5203,0.0
frame,,Year 1, spring 0, Sunday,5204,20.6
frame,,Year 1, spring 0, Sunday,5205,21.3
frame,,Year 1, spring 0, Sunday,5206,20.9
frame,,Year 1, spring 0, Sunday,5207,0.0
frame,,Year 1, spring 0, Sunday,5208,21.0
frame,,Year 1, spring 0, Sunday,5209,21.0
frame,,Year 1, spring 0, Sunday,5210,20.4
frame,,Year 1, spring 0, Sunday,5211,20.4
frame,,Year 1, spring 0, Sunday,5212,20.7
frame,,Year 1, spring 0, Sunday,5213,0.0
frame,,Year 1, spring 0, Sunday,5214,20.9
frame,,Year 1, spring 0, Sunday,5215,20.8
frame,,Year 1, spring 0, Sunday,5216,20.4
frame,,Year 1, spring 0, Sunday,5217,21.0
frame,,Year 1, spring 0, Sunday,5218,0.0
frame,,Year 1, spring 0, Sunday,5219,20.5
frame,,Year 1, spring 0, Sunday,5220,20.8
frame,,Year 1, spring 0, Sunday,5221,20.8
frame,,Year 1, spring 0, Sunday,5222,21.2
frame,,Year 1, spring 0, Sunday,5223,0.0
frame,,Year 1, spring 0, Sunday,5224,20.4
frame,,Year 1, spring 0, Sunday,5225,20.9
frame,,Year 1, spring 0, Sunday,5226,21.2
frame,,Year 1, spring 0, Sunday,5227,20.8
frame,,Year 1, spring 0, Sunday,5228,0.0
frame,,Year 1, spring 0, Sunday,5229,21.7
frame,,Year 1, spring 0, Sunday,5230,20.5
frame,,Year 1, spring 0, Sunday,5231,20.5
frame,,Year 1, spring 0, Sunday,5232,20.6
frame,,Year 1, spring 0, Sunday,5233,0.0
frame,,Year 1, spring 0, Sunday,5234,21.3
frame,,Year 1, spring 0, Sunday,5235,20.9
frame,,Year 1, spring 0, Sunday,5236,20.8
frame,,Year 1, spring 0, Sunday,5237,20.8
frame,,Year 1, spring 0, Sunday,5238,0.0
frame,,Year 1, spring 0, Sunday,5239,21.0
frame,,Year 1, spring 0, Sunday,5240,20.7
frame,,Year 1, spring 0, Sunday,5241,20.9
frame,,Year 1, spring 0, Sunday,5242,20.8
frame,,Year 1, spring 0, Sunday,5243,0.0
frame,,Year 1, spring 0, Sunday,5244,20.5
frame,,Year 1, spring 0, Sunday,5245,20.5
frame,,Year 1, spring 0, Sunday,5246,21.5
frame,,Year 1, spring 0, Sunday,5247,20.7
frame,,Year 1, spring 0, Sunday,5248,0.0
frame,,Year 1, spring 0, Sunday,5249,20.8
frame,,Year 1, spring 0, Sunday,5250,20.7
frame,,Year 1, spring 0, Sunday,5251,20.5
frame,,Year 1, spring 0, Sunday,5252,20.4
frame,,Year 1, spring 0, Sunday,5253,0.0
frame,,Year 1, spring 0, Sunday,5254,20.6
frame,,Year 1, spring 0, Sunday,5255,20.6
frame,,Year 1, spring 0, Sunday,5256,20.6
frame,,Year 1, spring 0, Sunday,5257,20.5
frame,,Year 1, spring 0, Sunday,5258,0.0
frame,,Year 1, spring 0, Sunday,5259,20.6
frame,,Year 1, spring 0, Sunday,5260,20.8
frame,,Year 1, spring 0, Sunday,5261,20.8
frame,,Year 1, spring 0, Sunday,5262,20.7
frame,,Year 1, spring 0, Sunday,5263,0.1
frame,,Year 1, spring 0, Sunday,5264,21.6
frame,,Year 1, spring 0, Sunday,5265,20.5
frame,,Year 1, spring 0, Sunday,5266,20.9
frame,,Year 1, spring 0, Sunday,5267,21.3
