kind,player,date,name,calls,total_ms,avg_ms,max_ms
lag,,Year 1, spring 0, Sunday,2,177.2
lag,,Year 1, spring 0, Sunday,20,227.0
lag,,Year 1, spring 0, Sunday,86,70.2
frame,,Year 1, spring 0, Sunday,5120,16.7
frame,,Year 1, spring 0, Sunday,5121,16.7
frame,,Year 1, spring 0, Sunday,5122,16.7
frame,,Year 1, spring 0, Sunday,5123,16.6
frame,,Year 1, spring 0, Sunday,5124,16.7
frame,,Year 1, spring 0, Sunday,5125,16.7
frame,,Year 1, spring 0, Sunday,5126,16.6
frame,,Year 1, spring 0, Sunday,5127,17.0
frame,,Year 1, spring 0, Sunday,5128,16.5
frame,,Year 1, spring 0, Sunday,5129,16.6
frame,,Year 1, spring 0, Sunday,5130,16.7
frame,,Year 1, spring 0, Sunday,5131,16.7
frame,,Year 1, spring 0, Sunday,5132,16.7
frame,,Year 1, spring 0, Sunday,5133,16.7
frame,,Year 1, spring 0, Sunday,5134,16.7
frame,,Year 1, spring 0, Sunday,5135,16.6
frame,,Year 1, spring 0, Sunday,5136,16.7
frame,,Year 1, spring 0, Sunday,5137,16.6
frame,,Year 1, spring 0, Sunday,5138,16.7
frame,,Year 1, spring 0, Sunday,5139,16.7
frame,,Year 1, spring 0, Sunday,5140,16.6
frame,,Year 1, spring 0, Sunday,5141,16.7
frame,,Year 1, spring 0, Sunday,5142,16.6
frame,,Year 1, spring 0, Sunday,5143,16.7
frame,,Year 1, spring 0, Sunday,5144,16.7
frame,,Year 1, spring 0, Sunday,5145,16.7
frame,,Year 1, spring 0, Sunday,5146,16.6
frame,,Year 1, spring 0, Sunday,5147,16.7
frame,,Year 1, spring 0, Sunday,5148,16.7
frame,,Year 1, spring 0, Sunday,5149,16.6
frame,,Year 1, spring 0, Sunday,5150,16.6
frame,,Year 1, spring 0, Sunday,5151,16.7
frame,,Year 1, spring 0, Sunday,5152,16.6
frame,,Year 1, spring 0, Sunday,5153,16.7
frame,,Year 1, spring 0, Sunday,5154,16.7
frame,,Year 1, spring 0, Sunday,5155,16.7
frame,,Year 1, spring 0, Sunday,5156,16.8
frame,,Year 1, spring 0, Sunday,5157,16.6
frame,,Year 1, spring 0, Sunday,5158,16.7
frame,,Year 1, spring 0, Sunday,5159,16.7
frame,,Year 1, spring 0, Sunday,5160,16.7
frame,,Year 1, spring 0, Sunday,5161,16.7
frame,,Year 1, spring 0, Sunday,5162,16.6
frame,,Year 1, spring 0, Sunday,5163,16.7
frame,,Year 1, spring 0, Sunday,5164,16.7
frame,,Year 1, spring 0, Sunday,5165,16.7
frame,,Year 1, spring 0, Sunday,5166,16.7
frame,,Year 1, spring 0, Sunday,5167,16.7
frame,,Year 1, spring 0, Sunday,5168,16.7
frame,,Year 1, spring 0, Sunday,5169,16.7
frame,,Year 1, spring 0, Sunday,5170,16.6
frame,,Year 1, spring 0, Sunday,5171,16.7
frame,,Year 1, spring 0, Sunday,5172,16.6
frame,,Year 1, spring 0, Sunday,5173,16.7
frame,,Year 1, spring 0, Sunday,5174,16.7
frame,,Year 1, spring 0, Sunday,5175,16.7
frame,,Year 1, spring 0, Sunday,5176,16.6
frame,,Year 1, spring 0, Sunday,5177,16.7
frame,,Year 1, spring 0, Sunday,5178,16.6
frame,,Year 1, spring 0, Sunday,5179,16.7
frame,,Year 1, spring 0, Sunday,5180,16.6
frame,,Year 1, spring 0, Sunday,5181,16.7
frame,,Year 1, spring 0, Sunday,5182,16.7
frame,,Year 1, spring 0, Sunday,5183,16.7
frame,,Year 1, spring 0, Sunday,5184,16.6
frame,,Year 1, spring 0, Sunday,5185,16.7
frame,,Year 1, spring 0, Sunday,5186,16.7
frame,,Year 1, spring 0, Sunday,5187,16.7
frame,,Year 1, spring 0, Sunday,5188,16.7
frame,,Year 1, spring 0, Sunday,5189,16.7
frame,,Year 1, spring 0, Sunday,5190,16.7
frame,,Year 1, spring 0, Sunday,5191,16.7
frame,,Year 1, spring 0, Sunday,5192,16.7
frame,,Year 1, spring 0, Sunday,5193,16.7
frame,,Year 1, spring 0, Sunday,5194,16.7
frame,,Year 1, spring 0, Sunday,5195,16.7
frame,,Year 1, spring 0, Sunday,5196,16.6
frame,,Year 1, spring 0, Sunday,5197,16.7
frame,,Year 1, spring 0, Sunday,5198,16.7
frame,,Year 1, spring 0, Sunday,5199,16.7
frame,,Year 1, spring 0, Sunday,5200,16.7
frame,,Year 1, spring 0, Sunday,5201,16.7
frame,,Year 1, spring 0, Sunday,5202,16.6
frame,,Year 1, spring 0, Sunday,5203,16.7
frame,,Year 1, spring 0, Sunday,5204,16.7
frame,,Year 1, spring 0, Sunday,5205,16.7
frame,,Year 1, spring 0, Sunday,5206,16.6
frame,,Year 1, spring 0, Sunday,5207,16.7
frame,,Year 1, spring 0, Sunday,5208,16.6
frame,,Year 1, spring 0, Sunday,5209,16.7
frame,,Year 1, spring 0, Sunday,5210,16.7
frame,,Year 1, spring 0, Sunday,5211,16.7
frame,,Year 1, spring 0, Sunday,5212,16.7
frame,,Year 1, spring 0, Sunday,5213,16.7
frame,,Year 1, spring 0, Sunday,5214,16.6
frame,,Year 1, spring 0, Sunday,5215,16.7
frame,,Year 1, spring 0, Sunday,5216,16.7
frame,,Year 1, spring 0, Sunday,5217,16.7
frame,,Year 1, spring 0, Sunday,5218,16.7
frame,,Year 1, spring 0, Sunday,5219,16.7
frame,,Year 1, spring 0, Sunday,5220,16.7
frame,,Year 1, spring 0, Sunday,5221,16.7
frame,,Year 1, spring 0, Sunday,5222,16.7
frame,,Year 1, spring 0, Sunday,5223,16.6
frame,,Year 1, spring 0, Sunday,5224,16.7
frame,,Year 1, spring 0, Sunday,5225,16.7
frame,,Year 1, spring 0, Sunday,5226,16.7
frame,,Year 1, spring 0, Sunday,5227,16.7
frame,,Year 1, spring 0, Sunday,5228,16.7
frame,,Year 1, spring 0, Sunday,5229,16.7
frame,,Year 1, spring 0, Sunday,5230,16.7
frame,,Year 1, spring 0, Sunday,5231,16.7
frame,,Year 1, spring 0, Sunday,5232,16.7
frame,,Year 1, spring 0, Sunday,5233,16.7
frame,,Year 1, spring 0, Sunday,5234,16.7
frame,,Year 1, spring 0, Sunday,5235,16.6
frame,,Year 1, spring 0, Sunday,5236,16.6
frame,,Year 1, spring 0, Sunday,5237,16.7
frame,,Year 1, spring 0, Sunday,5238,16.7
frame,,Year 1, spring 0, Sunday,5239,16.6
frame,,Year 1, spring 0, Sunday,5240,16.7
frame,,Year 1, spring 0, Sunday,5241,16.7
frame,,Year 1, spring 0, Sunday,5242,16.7
frame,,Year 1, spring 0, Sunday,5243,16.7
frame,,Year 1, spring 0, Sunday,5244,16.7
frame,,Year 1, spring 0, Sunday,5245,16.7
frame,,Year 1, spring 0, Sunday,5246,16.7
frame,,Year 1, spring 0, Sunday,5247,16.6
frame,,Year 1, spring 0, Sunday,5248,16.7
frame,,Year 1, spring 0, Sunday,5249,16.7
frame,,Year 1, spring 0, Sunday,5250,16.7
frame,,Year 1, spring 0, Sunday,5251,16.6
frame,,Year 1, spring 0, Sunday,5252,16.7
frame,,Year 1, spring 0, Sunday,5253,16.7
frame,,Year 1, spring 0, Sunday,5254,16.7
frame,,Year 1, spring 0, Sunday,5255,16.7
frame,,Year 1, spring 0, Sunday,5256,16.7
frame,,Year 1, spring 0, Sunday,5257,16.7
frame,,Year 1, spring 0, Sunday,5258,16.6
frame,,Year 1, spring 0, Sunday,5259,16.7
frame,,Year 1, spring 0, Sunday,5260,16.7
frame,,Year 1, spring 0, Sunday,5261,16.6
frame,,Year 1, spring 0, Sunday,5262,16.7
frame,,Year 1, spring 0, Sunday,5263,16.7
frame,,Year 1, spring 0, Sunday,5264,16.6
frame,,Year 1, spring 0, Sunday,5265,16.7
frame,,Year 1, spring 0, Sunday,5266,16.7
frame,,Year 1, spring 0, Sunday,5267,16.7
frame,,Year 1, spring 0, Sunday,5268,16.7
frame,,Year 1, spring 0, Sunday,5269,16.7
frame,,Year 1, spring 0, Sunday,5270,16.7
frame,,Year 1, spring 0, Sunday,5271,16.7
frame,,Year 1, spring 0, Sunday,5272,16.6
frame,,Year 1, spring 0, Sunday,5273,16.7
frame,,Year 1, spring 0, Sunday,5274,16.7
frame,,Year 1, spring 0, Sunday,5275,16.6
frame,,Year 1, spring 0, Sunday,5276,16.7
frame,,Year 1, spring 0, Sunday,5277,16.7
frame,,Year 1, spring 0, Sunday,5278,16.6
frame,,Year 1, spring 0, Sunday,5279,16.7
frame,,Year 1, spring 0, Sunday,5280,16.7
frame,,Year 1, spring 0, Sunday,5281,16.7
frame,,Year 1, spring 0, Sunday,5282,16.7
frame,,Year 1, spring 0, Sunday,5283,16.7
frame,,Year 1, spring 0, Sunday,5284,16.7
frame,,Year 1, spring 0, Sunday,5285,16.7
frame,,Year 1, spring 0, Sunday,5286,16.7
frame,,Year 1, spring 0, Sunday,5287,16.7
